var,beta,OR,CIlo,CIhi,p
(Intercept),-0.4829393991617343,0.6169672109708434,0.5023796625506637,0.7576909811207849,4.086081494967854e-06
AgeAtFirstHFDate,0.7608353108360254,2.140063091986876,1.6455609067745434,2.7831665293151686,1.384396978852011e-08
sex_male,0.010491664512272134,1.010546895008678,0.8133180573440294,1.2556035339317633,0.9245473529204481
HD_binary,0.3232780724906811,1.3816494962096932,1.0813474464123558,1.7653487199788949,0.009725577677383053
IHD_binary,-0.06957644275055949,0.9327888257155846,0.7262001022681097,1.1981477152954523,0.5859601009163525
AFIB_binary,0.13356303622455476,1.1428933075436527,0.9267927253383872,1.409382137684727,0.21166007562073164
Diabetes mellitus_binary,-0.06341837718896969,0.9385507233226358,0.762986656797961,1.1545122741021923,0.548377777315189
HTN_binary,-0.22424663816756765,0.7991180170586405,0.6496442052413026,0.9829836086208714,0.03380389149836649
COPD_binary,0.029581769676663747,1.030023656729839,0.8429215647701574,1.2586565319543133,0.7724082394984332
MI_binary,0.0031241170307661965,1.0031290021703017,0.7989174796627698,1.2595390895940086,0.9785390303207803
CABG_binary,0.029628868349968047,1.030072170620004,0.8286893827554025,1.2803937141776895,0.7895092684722875
albumin-numeric result,-0.41420951777435744,0.6608624743249518,0.5282279475704587,0.8268006491887528,0.0002901064408346778
creatinine-numeric result,-0.3312776701524366,0.718005772586305,0.515675864161616,0.9997215795728724,0.049807576190408015
GFR,0.3274855685420607,1.3874750278659824,0.9870015349215212,1.9504396749542814,0.05947469631413716
hb-numeric result,-0.15117907018668278,0.8596937393564598,0.6980345043154045,1.0587919664709653,0.15489804994902318
crp-numeric result,0.09369026515551646,1.0982195363752107,0.8896235002845981,1.3557264951862735,0.38335035899706627
LV_EF,-0.47352620504910026,0.6228022632426172,0.4937670641598208,0.7855579832165107,6.399877345045632e-05
