var,n,events,beta_added,OR_per_SD_added,CIlo,CIhi,p_added,LR_chi2,p_LR,AUC_base,AUC_full,delta_AUC,IDI,IDI_event,IDI_nonevent,NRI_cont,AIC_base,AIC_full,delta_AIC,p_LR_FDR
TricuspidRegurgitation_ord,470,197,0.2908500433603945,1.337563992308843,1.0586781116826751,1.689916334132563,0.014772170683660239,6.007532866766496,0.01424493070962718,0.7537234339264796,0.7614956955058478,0.007772261579368278,0.011651294337535367,0.006767666710951414,0.004883627626583953,0.22119335824919573,577.1782528097192,573.1707199429527,-4.007532866766496,0.1890177134728121
TissueDopplerSVelocitySeptal,359,139,-0.3815559319898497,0.6827981947283494,0.49472006078364755,0.9423781481304812,0.020288051219730003,5.755584888439046,0.016436322910679313,0.7834859385219097,0.7943427076520602,0.010856769130150434,0.012773855528379396,0.007827989460288176,0.00494586606809122,0.19274035317200788,423.30387439090833,419.5482895024693,-3.7555848884390457,0.1890177134728121
LeftVentricleScoreIndex,500,206,0.23406399059903554,1.263725356163041,0.9195017449751531,1.7368121208432934,0.14910794712917616,2.0864961937826365,0.1486065583676417,0.7685753913215772,0.7698963080377783,0.0013209167162011592,0.002837867148407669,0.0016686658832637535,0.0011692012651439154,0.283600818968364,596.9963864301055,596.9098902363229,-0.08649619378263651,0.7675541546245398
LACavitySize_ord,472,199,0.19324982381792158,1.213185838381624,0.9091846102233748,1.6188350109535146,0.18916106294230994,1.7318283002044836,0.1881775750517577,0.7647394481565335,0.7659359066394241,0.0011964584828906277,0.0027669374381620315,0.0016003684758860715,0.00116656896227596,0.1773703683251422,571.577032518419,571.8452042182145,0.26817169979551636,0.7675541546245398
RVSize_ord,242,124,0.22884890018120557,1.2571520692081448,0.8554304253651973,1.8475276051113192,0.2440071299424338,1.3664658202660576,0.24242003398311318,0.7765855658829961,0.778225806451613,0.0016402405686168908,0.004002268238403106,0.001951519223684084,0.002050749014719022,0.17195188627665398,307.76598350342465,308.3995176831586,0.6335341797339424,0.7675541546245398
LeftVentricleWallThickness_ord,314,142,-0.2249931407791904,0.7985216959772262,0.5331647048395561,1.1959473182648657,0.2749582751923303,1.1993216366257116,0.27345730343037167,0.7657631837536849,0.767605633802817,0.0018424500491320828,0.0033674358166708163,0.0018445826766477769,0.0015228531400230394,0.13036357680969535,396.33008297871913,397.1307613420934,0.8006783633742884,0.7675541546245398
LeftVentricleInterventricularSeptumThickness,498,205,-0.1123675588431177,0.8937157040124433,0.7200026224661255,1.109340069988475,0.3082096043627435,1.047442379016502,0.3060968661054485,0.7680512777824025,0.7704153833347207,0.002364105552318252,0.0022670897568476955,0.0013338499975027451,0.0009332397593449504,0.04927994672438196,595.6882303098798,596.6407879308633,0.952557620983498,0.7675541546245398
TissueDopplerEERatioLateral,406,158,-0.12460273063090453,0.8828475612206697,0.6924559691398889,1.125587547929458,0.3147096954111466,1.0289045391402851,0.310416098842768,0.7928746427113108,0.7941761943650469,0.0013015516537361327,0.0018640695376699878,0.0011386434614338858,0.000725426076236102,0.12413229889750915,468.7429330308379,469.7140284916976,0.9710954608597149,0.7675541546245398
LeftVentricleEndSystolicDiameter,498,205,0.16997680886454833,1.18527736307375,0.8500850853697005,1.652637426057277,0.3162157605502949,1.008516441225538,0.31525851626840073,0.7680512777824025,0.7684508449180054,0.00039956713560296286,0.0016620612471633933,0.0009778794084716047,0.0006841818386917886,0.0443519520519437,595.6882303098798,596.6797138686543,0.9914835587744619,0.7675541546245398
TissueDopplerSVelocityLateral,403,156,0.1308996424656541,1.1398533826967017,0.8657827211659732,1.5006833727235358,0.35088747457017966,0.8720286047076797,0.35039431668378596,0.7816619952247484,0.7820772345063843,0.00041523928163589297,0.0011583018579489068,0.0007099269451944501,0.00044837491275445673,0.16261808367071517,473.27324863382285,474.40122002911517,1.1279713952923203,0.7675541546245398
MitralInflowPeakEWave,459,185,0.09286068233964395,1.0973088501168422,0.8808246127450213,1.3669993947970005,0.40755598845521535,0.6862844567484672,0.40743105727813544,0.7723614125073979,0.7732886170842376,0.0009272045768397019,0.0015173203656587142,0.0009057642269945099,0.0006115561386642043,-0.00891694614322347,545.2090488269494,546.5227643702008,1.3137155432514191,0.7675541546245398
LeftVentricleEndDiastolicDiameter,498,205,0.11031767902927142,1.116632744926029,0.8572441471214374,1.4545082532530917,0.4133999165643967,0.6694827147190381,0.4132320143531619,0.7680512777824025,0.7680845750437026,3.3297261300191394e-05,0.0010450256812407632,0.0006148444269147291,0.00043018125432603416,0.09116790144010656,595.6882303098798,597.0187475951608,1.330517285280962,0.7675541546245398
LeftVentricleEstimatedMassIndex,460,183,-0.08902035677521503,0.9148269504583082,0.7280715953858435,1.149486334295635,0.44479326795844365,0.5876256299632132,0.4433387444116662,0.7581621984178651,0.7597009331044959,0.0015387346866307938,0.0008691736974583142,0.0005233937265129995,0.00034577997094531465,0.04304511649010667,557.2959462422596,558.7083206122963,1.4123743700367868,0.7675541546245398
ECHO_SPAP_ord,418,183,0.07977463451720562,1.0830429596697395,0.8734718100121396,1.3428962893191558,0.4671943056256108,0.528574285919035,0.4672068767279808,0.7471921869550053,0.7474712242762469,0.0002790373212415709,0.0012024091762337652,0.0006759955895093706,0.0005264135867243946,0.16156260899895353,525.1182557769216,526.5896814910025,1.4714257140808513,0.7675541546245398
RVSystolicFunction_ord,244,125,0.10816154849529734,1.1142277326613694,0.8027747517175832,1.5465153052900924,0.5178717540918312,0.4199161992652307,0.5169788621596567,0.7848739495798319,0.7838655462184874,-0.0010084033613445564,0.0010946460180984996,0.0005338642465315679,0.0005607817715669317,0.07327731092436968,308.4740981384905,310.05418193922526,1.5800838007347693,0.7927009219781402
