var,n,total_hosp,IRR_per_SD,CIlo,CIhi,p_added,LR_chi2,p_LR,AIC_base,AIC_full,delta_AIC,p_LR_FDR
EeRatio_avg,428,811,1.3281461247719075,1.1590418230228872,1.521922758702559,4.426023032858734e-05,55.10293648628431,1.1435297153639112e-13,2213.4399066835213,2160.336970197237,-53.10293648628431,2.630118345336996e-12
TissueDopplerEERatioSeptal,425,804,1.319985786636446,1.138842812601817,1.529941145206519,0.00022754640665594182,48.89712894478407,2.6973978606292803e-12,2174.548787349003,2127.651658404219,-46.89712894478407,3.1020075397236724e-11
TissueDopplerEERatioLateral,425,809,1.2823324223224248,1.1262645896864214,1.4600267613821822,0.00017279209432923348,45.496673633699174,1.5289880472835193e-11,2208.0002811612167,2164.5036075275175,-43.496673633699174,1.1722241695840316e-10
MitralInflowPeakEWave,480,923,1.2351221765059008,1.072086673289522,1.4229509879232478,0.0034591602963802786,38.18821357724437,6.423928056165096e-10,2532.66331518567,2496.4751016084256,-36.18821357724437,3.69375863229493e-09
RVSystolicFunction_ord,252,442,1.409519025575585,1.017288054858795,1.9529806468978124,0.03911451827194093,28.14493704059123,1.1256173937379543e-07,1370.613551108616,1344.4686140680249,-26.14493704059123,5.17784001119459e-07
LeftVentricleSystolicFunction_ord,468,847,0.5652547720197129,0.38402708356156817,0.8320063114502506,0.0038224297470817294,24.411080548868995,7.781981192778176e-07,2417.2647384253105,2394.8536578764415,-22.411080548868995,2.9830927905649673e-06
TricuspidRegurgitation_ord,494,908,1.1976892524481388,1.0362110210589814,1.3843314887384621,0.014632014002037255,22.5553991745478,2.041699105004291e-06,2588.0311594688023,2567.4757602942545,-20.5553991745478,6.70843991644267e-06
LeftVentriclePosteriorWallThickness,518,963,1.0979631790016608,0.9554755950024506,1.261699564854235,0.18758505708136497,7.675248822341928,0.005598337323967528,2715.757182791982,2710.08193396964,-5.675248822341928,0.016095219806406644
RVSize_ord,250,457,1.1880583678592211,0.8957381518988958,1.5757760037886988,0.23175405691965256,6.192718684525744,0.012827697196020393,1345.6190171978237,1341.426298513298,-4.192718684525744,0.03278189283427434
TissueDopplerSVelocitySeptal,360,737,0.9049705647862392,0.7805029666800742,1.0492871367460397,0.18594372824010097,5.515499292879667,0.018848692275976076,1965.2592807698088,1961.7437814769291,-3.5154992928796673,0.04335199223474497
ECHO_SPAP_ord,440,824,1.0594755553024295,0.9159699250666127,1.2254643100883031,0.4365673976098755,2.7010556920522504,0.10028182463364643,2349.562272092183,2348.8612164001306,-0.7010556920522504,0.20968017877944253
LeftVentricleEndSystolicDiameter,522,968,1.0877014398003573,0.8755278165769143,1.3512927856128676,0.4476638647136081,2.257576626507671,0.13296198426933326,2738.408839883802,2738.1512632572944,-0.2575766265076709,0.25246680313971503
MitralRegurgitation_ord,487,910,0.9471664978227904,0.8224754309896144,1.0907613051960188,0.45103742491939214,2.148614319902663,0.14269862786157805,2547.696605873045,2547.5479915531423,-0.14861431990266283,0.25246680313971503
LeftVentricleEstimatedMassIndex,481,903,1.0501743007507092,0.9156951050533491,1.2044031423461494,0.48377823996247893,1.8572406159664752,0.17294361082679766,2564.173202933094,2564.3159623171277,0.14275938403352484,0.2658430943480328
TissueDopplerSVelocityLateral,418,817,0.9461552302923871,0.8152392229518172,1.098094515826,0.46635101932532275,1.8535081096952126,0.17337593109654315,2222.4663265956196,2222.6128184859244,0.14649189030478738,0.2658430943480328
LeftVentricleEstimatedMass,515,955,1.0232591838052578,0.8970572772470967,1.1672157216705656,0.7320754621473857,0.46254623276854545,0.49643638604622886,2697.3778158211016,2698.915269588333,1.5374537672314545,0.713627304941454
LeftVentricleCavitySize_ord,467,839,1.0249772966747273,0.8325580070383394,1.2618681819370845,0.8161080144009104,0.24186111220660678,0.6228651411539448,2406.2627136723804,2408.020852560174,1.7581388877933932,0.8268620669040064
LeftVentricleInterventricularSeptumThickness,522,968,1.01691942862274,0.8769506441661007,1.1792284220211249,0.8242626086103462,0.20956388206195697,0.647109443664005,2738.408839883802,2740.19927600174,1.790436117938043,0.8268620669040064
LACavitySize_ord,493,936,1.0139687422887262,0.8437887118328851,1.2184716338587451,0.882353767075118,0.08316444229785702,0.7730539938287453,2637.8306199465715,2639.7474555042736,1.916835557702143,0.8974975515740024
LeftVentricleScoreIndex,524,975,1.015685443643072,0.8109080572091223,1.2721749540618805,0.8922357846472828,0.0777044933279285,0.7804326535426107,2750.2199826538126,2752.1422781604847,1.9222955066720715,0.8974975515740024
LeftVentricleWallThickness_ord,327,575,0.985977267008093,0.7602859470553412,1.2786651848846882,0.9152006032394656,0.042963442660493456,0.8357941233002301,1603.3814002174427,1605.3384367747822,1.9570365573395065,0.9153935636145377
EstimatedSysPAPressure,450,840,1.004014400603236,0.8610001744758028,1.170783638031661,0.9592460979583051,0.01052648314544058,0.918281513697723,2384.9190415018256,2386.90851501868,1.9894735168545594,0.9361113788273827
LeftVentricleEndDiastolicDiameter,522,968,0.9966802059407991,0.8528817467966849,1.1647235230970414,0.9666341767317069,0.006425348291031696,0.9361113788273827,2738.408839883802,2740.402414535511,1.9935746517089683,0.9361113788273827
