n,events,OR,CIlo,CIhi,p,p_LR,group,var,outcome,IRR
154,74.0,1.2541501428379707,0.8054626701833737,1.9527814745560006,0.316160744874184,0.3115069569558049,HFrEF (EF<40),TricuspidRegurgitation_ord,1y_mort,
158,,,0.8843403252789531,1.638284046638302,0.23859072502976786,0.020939890453539944,HFrEF (EF<40),TricuspidRegurgitation_ord,hosp_rate,1.2036613505066263
114,55.0,0.6331914761567958,0.3295369482813645,1.2166509630212992,0.17023639368710197,0.1386246530233961,HFrEF (EF<40),TissueDopplerSVelocitySeptal,1y_mort,
114,,,0.6416356919219194,1.125703224843309,0.2566759777362041,0.0605411687795101,HFrEF (EF<40),TissueDopplerSVelocitySeptal,hosp_rate,0.8498772661808719
127,62.0,1.2427344892573424,0.7432032024208781,2.0780171637569396,0.40739163128011635,0.4065052197755641,HFrEF (EF<40),EeRatio_avg,1y_mort,
129,,,0.9958291977148778,1.9304428900238053,0.05296417061779946,5.036538018443615e-05,HFrEF (EF<40),EeRatio_avg,hosp_rate,1.3865032976544975
126,62.0,1.253453118672456,0.7385753528827731,2.127263947513665,0.4025477557538579,0.40099991368261145,HFrEF (EF<40),TissueDopplerEERatioSeptal,1y_mort,
128,,,1.035264592419399,1.997912602190632,0.030265240250064402,6.013978846364232e-06,HFrEF (EF<40),TissueDopplerEERatioSeptal,hosp_rate,1.4381822470731815
126,61.0,1.0824070335713292,0.6655422388529411,1.7603766041114688,0.7496304081482781,0.7501693203251145,HFrEF (EF<40),TissueDopplerEERatioLateral,1y_mort,
128,,,1.0113815186523982,1.8690904300592792,0.04213339480891347,0.0001598562301877715,HFrEF (EF<40),TissueDopplerEERatioLateral,hosp_rate,1.374904912221939
149,71.0,0.9520242945239434,0.6146829880138263,1.4745003116035893,0.8256670866693301,0.825419237710355,HFrEF (EF<40),MitralInflowPeakEWave,1y_mort,
152,,,0.8639454296911949,1.5095176978337894,0.35099557304571694,0.05236803098511744,HFrEF (EF<40),MitralInflowPeakEWave,hosp_rate,1.1419898931608268
109,57.0,1.4544508611739297,0.8625046996573683,2.4526559778861996,0.15997282744832775,0.15380791979610686,HFrEF (EF<40),RVSystolicFunction_ord,1y_mort,
111,,,1.1383728829650661,2.895753527226129,0.012276616990667566,8.415679264572873e-10,HFrEF (EF<40),RVSystolicFunction_ord,hosp_rate,1.8156120982039825
159,77.0,1.4331113238687334,0.7585437531136388,2.7075670429957515,0.267606472169295,0.28105114467665493,HFrEF (EF<40),LeftVentricleSystolicFunction_ord,1y_mort,
163,,,0.3937881758275714,0.8366660850861248,0.003882519586418602,6.641570581278344e-06,HFrEF (EF<40),LeftVentricleSystolicFunction_ord,hosp_rate,0.573994086574819
51,25.0,0.9492794222501038,0.31379572243025855,2.871713529198182,0.9265689890665394,0.9264637413092996,HFmrEF (40-49),TricuspidRegurgitation_ord,1y_mort,
55,,,0.5679581053601419,1.199660502191916,0.31457979896244215,0.24974680255104953,HFmrEF (40-49),TricuspidRegurgitation_ord,hosp_rate,0.825443460147524
43,20.0,1.4385814844602918,0.22784426335725125,9.083031790829216,0.6989123898368862,0.6925367852366655,HFmrEF (40-49),EeRatio_avg,1y_mort,
46,,,1.2314073371023484,2.4646610785203196,0.0017134012245787675,0.0049883786126835306,HFmrEF (40-49),EeRatio_avg,hosp_rate,1.7421256371342764
43,20.0,2.9126152167046317,0.4565468862435493,18.581503140630023,0.25818483938611303,0.22521751791490863,HFmrEF (40-49),TissueDopplerEERatioSeptal,1y_mort,
46,,,1.153914795484056,2.5792263486934415,0.00786849581121048,0.010121361578421584,HFmrEF (40-49),TissueDopplerEERatioSeptal,hosp_rate,1.7251688162784768
42,20.0,0.4824835610888799,0.06623973522387074,3.5143616733105016,0.4719100353770248,0.45609082057843486,HFmrEF (40-49),TissueDopplerEERatioLateral,1y_mort,
45,,,1.22650351319019,2.690797022317282,0.0028955656288291855,0.0037922916321521116,HFmrEF (40-49),TissueDopplerEERatioLateral,hosp_rate,1.8166650767694767
51,25.0,1.3881248692473405,0.4554557694714261,4.230686669880539,0.564083234669054,0.5549896784591072,HFmrEF (40-49),MitralInflowPeakEWave,1y_mort,
55,,,1.0707744588058976,1.69825524980038,0.01104891514007242,0.036544524087189556,HFmrEF (40-49),MitralInflowPeakEWave,hosp_rate,1.3484985524720732
52,26.0,0.05833564261721016,0.002278888145121996,1.4932927738674466,0.08587196364801647,0.042943474191683206,HFmrEF (40-49),LeftVentricleSystolicFunction_ord,1y_mort,
56,,,0.33391452046049896,1.9335641858561001,0.6253676928425969,0.542515541252443,HFmrEF (40-49),LeftVentricleSystolicFunction_ord,hosp_rate,0.8035204775858141
263,97.0,1.4335874944080547,1.026517162340851,2.0020835301346396,0.03455460840786154,0.03296404652213514,HFpEF (>=50),TricuspidRegurgitation_ord,1y_mort,
279,,,1.0816190026716184,1.5582130711764046,0.005072545629123556,1.9334274459215095e-07,HFpEF (>=50),TricuspidRegurgitation_ord,hosp_rate,1.2982268168527804
205,67.0,0.7689144525391396,0.5163198532993069,1.1450836754495923,0.19593364678707093,0.18833353198197944,HFpEF (>=50),TissueDopplerSVelocitySeptal,1y_mort,
206,,,0.8789916302647691,1.3248006107264299,0.46689523799344645,0.17178688813813459,HFpEF (>=50),TissueDopplerSVelocitySeptal,hosp_rate,1.0791147522845688
237,77.0,0.9988828494512576,0.701576291160303,1.4221788271631948,0.9950524923157656,0.9950524073881977,HFpEF (>=50),EeRatio_avg,1y_mort,
251,,,1.105217162714996,1.6579632530218624,0.0034231062253502554,6.465673552114026e-09,HFpEF (>=50),EeRatio_avg,hosp_rate,1.353665188438614
235,77.0,1.0846025961384032,0.7623203812547718,1.5431343834909448,0.6516782338653745,0.6517918657344166,HFpEF (>=50),TissueDopplerEERatioSeptal,1y_mort,
249,,,1.0500664463912055,1.5878513730895663,0.015390521197480052,1.576535143765767e-06,HFpEF (>=50),TissueDopplerEERatioSeptal,hosp_rate,1.2912588620170462
236,76.0,0.8705475747909296,0.6139627801798289,1.2343632292374385,0.4364895216592336,0.4322947198171435,HFpEF (>=50),TissueDopplerEERatioLateral,1y_mort,
250,,,1.0813967634764683,1.6284963489358173,0.006744160649954231,2.3372898727558322e-08,HFpEF (>=50),TissueDopplerEERatioLateral,hosp_rate,1.3270458473890185
257,88.0,1.2089103594133161,0.8871802007440437,1.6473138781401566,0.22947312645726337,0.22802058136675407,HFpEF (>=50),MitralInflowPeakEWave,1y_mort,
271,,,1.0689024587513494,1.586711630312489,0.008763047606546188,8.709384990979174e-09,HFpEF (>=50),MitralInflowPeakEWave,hosp_rate,1.3023209907585693
111,53.0,0.9073599458684539,0.48620184582347803,1.6933339073856877,0.7600661447789105,0.760115137123825,HFpEF (>=50),RVSystolicFunction_ord,1y_mort,
117,,,0.7954179983052381,1.7660425566365259,0.4036605366695982,0.12382876231241047,HFpEF (>=50),RVSystolicFunction_ord,hosp_rate,1.1852181382858138
237,89.0,1.769097627194233,0.7473273961996163,4.187865225414939,0.19445273534648577,0.20251686354673448,HFpEF (>=50),LeftVentricleSystolicFunction_ord,1y_mort,
248,,,0.5863054336249877,1.350486317211377,0.5834342588269039,0.4831470839245703,HFpEF (>=50),LeftVentricleSystolicFunction_ord,hosp_rate,0.8898300207439784
