n,events,OR_per_SD,CIlo,CIhi,p,p_LR,AUC_base,AUC_full,dAUC,cohort,var,outcome,total_hosp,IRR_per_SD,HR_per_SD,C_base,C_full,dC
470,197.0,1.337563992308843,1.0586781116826751,1.689916334132563,0.014772170683660239,0.01424493070962718,0.7537234339264796,0.7614956955058478,0.007772261579368278,primary_365d,TricuspidRegurgitation_ord,1y_mortality,,,,,,
359,139.0,0.6827981947283494,0.49472006078364755,0.9423781481304812,0.020288051219730003,0.016436322910679313,0.7834859385219097,0.7943427076520602,0.010856769130150434,primary_365d,TissueDopplerSVelocitySeptal,1y_mortality,,,,,,
501,205.0,0.6231187076092782,0.493903791542904,0.7861387792948915,6.626838083410225e-05,4.632677491733794e-05,0.7471160184574819,0.7665622940013185,0.0194462755438366,primary_365d,LV_EF,1y_mortality,,,,,,
409,160.0,0.9883179285071779,0.7748908581500227,1.2605289087300233,0.9245779302881253,0.9245602235566768,0.7893574297188755,0.7894578313253012,0.00010040160642577067,primary_365d,EeRatio_avg,1y_mortality,,,,,,
406,160.0,1.0488586668541955,0.8192500188832164,1.3428190145601684,0.7051195962013759,0.7051612692986517,0.7885162601626017,0.7891514227642277,0.0006351626016259937,primary_365d,TissueDopplerEERatioSeptal,1y_mortality,,,,,,
406,158.0,0.8828475612206697,0.6924559691398889,1.125587547929458,0.3147096954111466,0.310416098842768,0.7928746427113108,0.7941761943650469,0.0013015516537361327,primary_365d,TissueDopplerEERatioLateral,1y_mortality,,,,,,
459,185.0,1.0973088501168422,0.8808246127450213,1.3669993947970005,0.40755598845521535,0.40743105727813544,0.7723614125073979,0.7732886170842376,0.0009272045768397019,primary_365d,MitralInflowPeakEWave,1y_mortality,,,,,,
244,125.0,1.1142277326613694,0.8027747517175832,1.5465153052900924,0.5178717540918312,0.5169788621596567,0.7848739495798319,0.7838655462184874,-0.0010084033613445564,primary_365d,RVSystolicFunction_ord,1y_mortality,,,,,,
449,193.0,1.0650529260721473,0.5515314065001753,2.0567056054576325,0.8511071409150597,0.8512599086012032,0.7734779792746114,0.7743685233160621,0.0008905440414507249,primary_365d,LeftVentricleSystolicFunction_ord,1y_mortality,,,,,,
494,,,1.0362110210589814,1.3843314887384621,0.014632014002037255,2.041699105004291e-06,,,,primary_365d,TricuspidRegurgitation_ord,hosp_rate,908.0,1.1976892524481388,,,,
360,,,0.7805029666800742,1.0492871367460397,0.18594372824010097,0.018848692275976076,,,,primary_365d,TissueDopplerSVelocitySeptal,hosp_rate,737.0,0.9049705647862392,,,,
526,,,0.7861500887447663,1.0390618550902018,0.15518526420896062,0.0060384152133348135,,,,primary_365d,LV_EF,hosp_rate,966.0,0.9038022845680705,,,,
428,,,1.1590418230228872,1.521922758702559,4.426023032858734e-05,1.1435297153639112e-13,,,,primary_365d,EeRatio_avg,hosp_rate,811.0,1.3281461247719075,,,,
425,,,1.138842812601817,1.529941145206519,0.00022754640665594182,2.6973978606292803e-12,,,,primary_365d,TissueDopplerEERatioSeptal,hosp_rate,804.0,1.319985786636446,,,,
425,,,1.1262645896864214,1.4600267613821822,0.00017279209432923348,1.5289880472835193e-11,,,,primary_365d,TissueDopplerEERatioLateral,hosp_rate,809.0,1.2823324223224248,,,,
480,,,1.072086673289522,1.4229509879232478,0.0034591602963802786,6.423928056165096e-10,,,,primary_365d,MitralInflowPeakEWave,hosp_rate,923.0,1.2351221765059008,,,,
252,,,1.017288054858795,1.9529806468978124,0.03911451827194093,1.1256173937379543e-07,,,,primary_365d,RVSystolicFunction_ord,hosp_rate,442.0,1.409519025575585,,,,
468,,,0.38402708356156817,0.8320063114502506,0.0038224297470817294,7.781981192778176e-07,,,,primary_365d,LeftVentricleSystolicFunction_ord,hosp_rate,847.0,0.5652547720197129,,,,
494,397.0,,1.1009254001364372,1.3743004268771288,0.0002528903536221594,0.00032479103803706444,,,,primary_365d,TricuspidRegurgitation_ord,full_FU_Cox,,,1.2300415632682415,0.6820510396975425,0.6890264650283554,0.006975425330812857
360,315.0,,0.6880455642770482,0.9055021599403714,0.0007333253306407943,0.0005334379771202435,,,,primary_365d,TissueDopplerSVelocitySeptal,full_FU_Cox,,,0.7893204321378352,0.6975075286730313,0.7039789837893253,0.006471455116293989
526,420.0,,0.6669556307920526,0.8230565596214265,2.2752197869539887e-08,3.9742580337787103e-08,,,,primary_365d,LV_EF,full_FU_Cox,,,0.7409063415168243,0.6587870665103033,0.6841179427039705,0.02533087619366725
428,342.0,,1.009639081898406,1.271428407200234,0.033748064083397096,0.03643135704723777,,,,primary_365d,EeRatio_avg,full_FU_Cox,,,1.132997709505715,0.702228699213548,0.7014749114299355,-0.0007537877836125695
425,339.0,,1.0164510706651704,1.2848746267406959,0.025555139837755297,0.027906851487892514,,,,primary_365d,TissueDopplerEERatioSeptal,full_FU_Cox,,,1.1428089035447226,0.7031269926288672,0.7032162624021221,8.926977325485197e-05
425,339.0,,0.9745229537696423,1.2287015368008298,0.12763931782239285,0.13262255662297973,,,,primary_365d,TissueDopplerEERatioLateral,full_FU_Cox,,,1.0942567573218105,0.7025650842266462,0.7014420622766717,-0.0011230219499744898
480,385.0,,1.0262349024528004,1.2664728572978932,0.014582683861715793,0.01501404834203357,,,,primary_365d,MitralInflowPeakEWave,full_FU_Cox,,,1.1400432663580022,0.6891277922802542,0.6911105354402886,0.001982743160034328
252,219.0,,0.9792698631698982,1.3643693957157257,0.08682993712864354,0.08791743196895352,,,,primary_365d,RVSystolicFunction_ord,full_FU_Cox,,,1.1558917905477724,0.6931422722620266,0.6944046400545889,0.00126236779256228
468,384.0,,0.5607773095995436,1.0845736592652402,0.13954367311208166,0.13901997267961286,,,,primary_365d,LeftVentricleSystolicFunction_ord,full_FU_Cox,,,0.7798745403622903,0.692495694589104,0.6898557300636272,-0.002639964525476768
199,80.0,1.4886699830644219,1.0208921407271214,2.1707859528613875,0.038696369915650064,0.03637801595154433,0.8051470588235294,0.8167016806722689,0.011554621848739455,90d,TricuspidRegurgitation_ord,1y_mortality,,,,,,
147,54.0,0.848965132573637,0.5130932841392697,1.404699337538281,0.5239296218592462,0.5210587348977014,0.800079649542015,0.805057745917961,0.0049780963759459285,90d,TissueDopplerSVelocitySeptal,1y_mortality,,,,,,
214,86.0,0.7082399485914477,0.49527719216456995,1.012773922797851,0.058703453442227424,0.05622614175840168,0.8037790697674417,0.8107739825581395,0.006994912790697749,90d,LV_EF,1y_mortality,,,,,,
167,61.0,1.0507924470695567,0.7061347981778797,1.563674201678815,0.8070025775929092,0.8072404657313222,0.8108567893597278,0.8110114444788122,0.00015465511908441254,90d,EeRatio_avg,1y_mortality,,,,,,
166,61.0,0.9978620653773911,0.663237816603284,1.501314726923704,0.9918065410813458,0.9918062733158357,0.8087431693989071,0.8087431693989071,0.0,90d,TissueDopplerEERatioSeptal,1y_mortality,,,,,,
166,61.0,1.1011798760745275,0.7370555166612995,1.6451910230104674,0.6379764316262614,0.6392128110653137,0.8140515222482435,0.8134270101483215,-0.0006245120999219811,90d,TissueDopplerEERatioLateral,1y_mortality,,,,,,
191,72.0,1.0817779881200027,0.7505152513772481,1.5592536106807715,0.6734620275795261,0.6733553296628298,0.8022875816993464,0.8031045751633987,0.0008169934640522847,90d,MitralInflowPeakEWave,1y_mortality,,,,,,
102,53.0,1.424165229304061,0.7666482183247897,2.6456027052285207,0.26313725555820267,0.2568796300900428,0.8321139776665383,0.8375048132460531,0.005390835579514808,90d,RVSystolicFunction_ord,1y_mortality,,,,,,
194,82.0,0.8391596167475812,0.2823752673412443,2.493805031192589,0.7523423552549013,0.7514743008025415,0.8258928571428572,0.8258928571428571,-1.1102230246251565e-16,90d,LeftVentricleSystolicFunction_ord,1y_mortality,,,,,,
208,,,1.1331859668264272,1.627197998612281,0.0009179460083086325,3.555682193123744e-08,,,,90d,TricuspidRegurgitation_ord,hosp_rate,403.0,1.357909399509218,,,,
147,,,0.619880747709463,1.0237887647175743,0.07568581500411685,0.0028852635482784494,,,,90d,TissueDopplerSVelocitySeptal,hosp_rate,311.0,0.7966347625917899,,,,
224,,,0.7142848111043305,1.042064386828329,0.12544627551359783,0.008565850099303884,,,,90d,LV_EF,hosp_rate,436.0,0.862746059802201,,,,
173,,,1.0871245081512066,1.6655506170448782,0.006381184068129332,2.3410992788797103e-07,,,,90d,EeRatio_avg,hosp_rate,346.0,1.3456080021149741,,,,
172,,,1.0655352504616684,1.620261527902333,0.010659572465579442,8.968422221644623e-06,,,,90d,TissueDopplerEERatioSeptal,hosp_rate,339.0,1.3139428347332383,,,,
172,,,1.168968602482495,1.700525726780482,0.00032723133713545766,5.304673367234614e-10,,,,90d,TissueDopplerEERatioLateral,hosp_rate,344.0,1.4099153103360886,,,,
199,,,1.0745050121452857,1.6927516769272586,0.009887401635879556,2.5986298890501303e-08,,,,90d,MitralInflowPeakEWave,hosp_rate,400.0,1.3486549451863796,,,,
105,,,1.0701992144353218,1.9541031604093673,0.01632031006754179,0.0002198557260707501,,,,90d,RVSystolicFunction_ord,hosp_rate,221.0,1.446125743908767,,,,
202,,,0.3053786430746307,1.0194058684198584,0.0577669460875723,0.0016772621489653528,,,,90d,LeftVentricleSystolicFunction_ord,hosp_rate,379.0,0.5579469337135673,,,,
208,166.0,,1.1205880294222146,1.567525886707456,0.0010031692393509526,0.0014134820819787786,,,,90d,TricuspidRegurgitation_ord,full_FU_Cox,,,1.3253492914902916,0.6804959209961357,0.6935916702447402,0.013095749248604571
147,130.0,,0.620869054972044,0.9898726800631245,0.04080517696638906,0.038152790806536774,,,,90d,TissueDopplerSVelocitySeptal,full_FU_Cox,,,0.7839523680769365,0.6801840667241875,0.6844022624868181,0.0042181957626306055
224,177.0,,0.608213455375862,0.8444108731655137,6.880737763464017e-05,9.418924398496564e-05,,,,90d,LV_EF,full_FU_Cox,,,0.7166463946221636,0.6575668486630267,0.6785197629380746,0.020952914275047863
173,137.0,,0.9635109077043521,1.3812734654230956,0.11984733454278801,0.12626881444993987,,,,90d,EeRatio_avg,full_FU_Cox,,,1.1536342793354153,0.6810291382517049,0.6833539987600744,0.002324860508369553
172,136.0,,0.9327696198892664,1.3366892497227891,0.22947695007027014,0.23511200841766255,,,,90d,TissueDopplerEERatioSeptal,full_FU_Cox,,,1.1166123424779053,0.6819216579009342,0.6824711515817569,0.000549493680822688
172,136.0,,0.9956885911495623,1.442480849112286,0.05558527522161375,0.062069940974655236,,,,90d,TissueDopplerEERatioLateral,full_FU_Cox,,,1.1984413729560728,0.6808477237048666,0.6847723704866562,0.003924646781789609
199,156.0,,0.9732980249194998,1.3678837659421423,0.09930565515441546,0.09888773449411836,,,,90d,MitralInflowPeakEWave,full_FU_Cox,,,1.153845122930688,0.6759938476100331,0.6800165641268339,0.004022716516800751
105,94.0,,1.0583510353614711,1.846096052021566,0.01829772528106361,0.018691672803275106,,,,90d,RVSystolicFunction_ord,full_FU_Cox,,,1.3977902804189721,0.7006232956758862,0.712115309700039,0.011492014024152786
202,162.0,,0.371310220025371,1.1020326352244736,0.10742378083269555,0.10419764895272443,,,,90d,LeftVentricleSystolicFunction_ord,full_FU_Cox,,,0.6396842817049194,0.6934194864818909,0.6926826503429122,-0.0007368361389786804
121,51.0,1.4895766857359536,0.9088780383589399,2.4412942210534854,0.11389726163963164,0.11206492975288695,0.7991596638655463,0.8148459383753501,0.015686274509803866,30d,TricuspidRegurgitation_ord,1y_mortality,,,,,,
82,32.0,0.9562196728415018,0.4782178175081497,1.9120075188614787,0.899235227622972,0.8991988173129333,0.7975,0.794375,-0.0031249999999999334,30d,TissueDopplerSVelocitySeptal,1y_mortality,,,,,,
128,53.0,0.8298324900986421,0.5196655676226296,1.3251252430936045,0.4347310290475681,0.4346690756014452,0.8050314465408804,0.809559748427673,0.004528301886792541,30d,LV_EF,1y_mortality,,,,,,
96,36.0,0.8186726974513453,0.4780671266883386,1.4019474423916933,0.46602614543093024,0.4620040502995979,0.7986111111111112,0.8069444444444445,0.008333333333333304,30d,EeRatio_avg,1y_mortality,,,,,,
96,36.0,0.6651062384393774,0.3701106415871246,1.1952272069616898,0.17268117799417537,0.15819556989844763,0.7986111111111112,0.8138888888888889,0.015277777777777724,30d,TissueDopplerEERatioSeptal,1y_mortality,,,,,,
95,36.0,1.053231041948711,0.6242391524669134,1.777036290243207,0.8459206550469816,0.8461501999007943,0.8107344632768362,0.8088512241054614,-0.0018832391713747842,30d,TissueDopplerEERatioLateral,1y_mortality,,,,,,
114,46.0,0.8337027189725413,0.5105664446971396,1.361351163675685,0.4672431802861067,0.46552041682370104,0.8001918158567776,0.7953964194373402,-0.004795396419437381,30d,MitralInflowPeakEWave,1y_mortality,,,,,,
