column,dtype,vtype,n_missing,pct_missing,n_unique,clinical_axis,proposed_status,sample_or_top_levels
patient number,int64,continuous,0,0.0,645,Admin,Excluded,"min=1, max=645, median=323.0"
HD/PD,str,categorical,0,0.0,2,Clinical,Candidate covariate (full base),HD: 513 (79.5%); PD: 132 (20.5%)
m/f,str,categorical,1,0.2,2,Clinical,Core clinical,m: 447 (69.3%); f: 197 (30.5%); nan: 1 (0.2%)
AgeAtFirstHFDate,float64,continuous,0,0.0,435,Clinical,Core clinical,"min=26.0, max=95.4391244870039, median=71.0"
DeathDate,datetime64[us],date,139,21.6,494,Admin,Excluded — date kept for derivations,"min=2012-02-17 00:00:00, max=2025-08-16 00:00:00"
Dialysis_Start_Date,datetime64[us],date,0,0.0,615,Admin,Excluded — date kept for derivations,"min=2009-04-13 00:00:00, max=2025-06-12 15:12:00"
Echo_Date,datetime64[us],date,0,0.0,644,Admin,Excluded — date kept for derivations,"min=2009-02-12 15:30:07, max=2025-06-03 12:53:36"
LeftVentricleCavitySize,str,categorical,74,11.5,5,Echo: LV structure / mass,Sensitivity (categorical),Normal: 363 (56.3%); Mildly dilated: 140 (21.7%); nan: 74 (11.5%); Moderately dilated: 37 (5.7%); Severely dilated: 27 (4.2%); Small: 4 (0.6%)
LeftVentricleWallThickness,str,categorical,249,38.6,4,Echo: LV structure / mass,Sensitivity (categorical),nan: 249 (38.6%); Mildly increased: 210 (32.6%); Normal: 142 (22.0%); Moderately increased: 39 (6.0%); Severely increased: 5 (0.8%)
LeftVentricleSystolicFunction,str,categorical,75,11.6,7,Echo: LV systolic (other),Candidate (categorical),Normal: 292 (45.3%); Severely reduced: 112 (17.4%); nan: 75 (11.6%); Moderately reduced: 47 (7.3%); Mildly reduced: 36 (5.6%); Mild-moderately reduced: 36 (5.6%); Moderate-severely reduced: 34 (5.3%); Increased (hyperdynamic): 13 (2.0%)
