column,level,n,pct
HD/PD,HD,513,79.53
HD/PD,PD,132,20.47
m/f,m,447,69.3
m/f,f,197,30.54
m/f,nan,1,0.16
LeftVentricleCavitySize,Normal,363,56.28
LeftVentricleCavitySize,Mildly dilated,140,21.71
LeftVentricleCavitySize,No Value,45,6.98
LeftVentricleCavitySize,Moderately dilated,37,5.74
LeftVentricleCavitySize,nan,29,4.5
LeftVentricleCavitySize,Severely dilated,27,4.19
LeftVentricleCavitySize,Small,4,0.62
LeftVentricleWallThickness,Mildly increased,215,33.33
LeftVentricleWallThickness,Normal,143,22.17
LeftVentricleWallThickness,No Value,143,22.17
LeftVentricleWallThickness,nan,100,15.5
LeftVentricleWallThickness,Moderately increased,39,6.05
LeftVentricleWallThickness,Severely increased,5,0.78
LeftVentricleSystolicFunction,Normal,292,45.27
LeftVentricleSystolicFunction,Severely reduced,112,17.36
LeftVentricleSystolicFunction,Moderately reduced,47,7.29
LeftVentricleSystolicFunction,No Value,46,7.13
LeftVentricleSystolicFunction,Mildly reduced,36,5.58
LeftVentricleSystolicFunction,Mild-moderately reduced,36,5.58
LeftVentricleSystolicFunction,Moderate-severely reduced,34,5.27
LeftVentricleSystolicFunction,nan,29,4.5
LeftVentricleSystolicFunction,Increased (hyperdynamic),13,2.02
LeftVentricleSummary,nan,450,69.77
LeftVentricleSummary,Normal left ventricle structure and function.,53,8.22
LeftVentricleSummary,Hypertrophy of interventricular septum.,20,3.1
LeftVentricleSummary,Regional LV dysfunction.,12,1.86
LeftVentricleSummary,Hypertrophy of LV.,8,1.24
LeftVentricleSummary,Regional LV dysfunction,8,1.24
LeftVentricleSummary,C/W LV diastolic dysfunction: Pseudo-normal filling pattern .   ,6,0.93
LeftVentricleSummary,C/W LV diastolic dysfunction: Pseudo-normal filling pattern .,6,0.93
LeftVentricleSummary,Hypertrophy of interventricular septum   ,5,0.78
LeftVentricleSummary,C/W LV diastolic dysfunction: impaired relaxation pattern .,5,0.78
LeftVentricleSummary,Hypertrophy of interventricular septum,5,0.78
LeftVentricleSummary,Hypertrophy of basal interventricular septum   ,4,0.62
LeftVentricleSummary,Hypertrophy of LV,4,0.62
LeftVentricleSummary,C/W LV diastolic dysfunction: Restricitive filling pattern .,4,0.62
LeftVentricleSummary,Hypertrophy of basal interventricular septum,4,0.62
LeftVentricleSummary,C/W LV diastolic dysfunction: impaired relaxation pattern .  ,3,0.47
LeftVentricleSummary,Regional LV dysfunction   ,3,0.47
LeftVentricleSummary,Hypertrophy of LV   ,3,0.47
LeftVentricleSummary,C/W LV diastolic dysfunction: Pseudo-normal filling pattern .  ,2,0.31
LeftVentricleSummary,Hypertrophy of basal interventricular septum.,2,0.31
LeftVentricleSummary,  ,2,0.31
LeftVentricleSummary,Hypertrophy of interventricular septum - mild.,2,0.31
LeftVentricleSummary,mild hypertrophy of the interventricular septum,2,0.31
LeftVentricleSummary,Hypertrophy of interventricular septum. Nonsignificant interventricular dyssynchrony. Nonsignificant left ventricular dyssynchrony (intraventricular).,2,0.31
LeftVentricleSummary,Hypertrophy of interventricular septum. Regional LV dysfunction.,2,0.31
LeftVentricleSummary,mild hypertrophy of the septum ,1,0.16
LeftVentricleSummary,Significant left ventricular dyssynchrony (intraventricular)  Nonsignificant interventricular dyssynchrony  ,1,0.16
LeftVentricleSummary,Nonsignificant interventricular dyssynchrony   Significant left ventricular dyssynchrony (intraventricular)   ,1,0.16
LeftVentricleSummary,Hypertrophy of basal interventricular septum   C/W LV diastolic dysfunction: Pseudo-normal filling pattern .   ,1,0.16
LeftVentricleSummary,Hypertrophy of interventricular septum  Regional LV dysfunction  ,1,0.16
LeftVentricleSummary,Normal left ventricle structure and function.  C/W LV diastolic dysfunction: Pseudo-normal filling pattern .,1,0.16
LeftVentricleSummary,Apical Hypertrophy   Hypertrophy of basal interventricular septum   ,1,0.16
LeftVentricleSummary,Hypertrophy of  interventricular septum.  ,1,0.16
LeftVentricleSummary,Hypertrophy of interventricular septum - mild.  Regional LV dysfunction.,1,0.16
LeftVentricleSummary,C/W LV diastolic dysfunction: Restricitive filling pattern .   ,1,0.16
LeftVentricleSummary,Hypertrophy of basal interventricular septum.   Regional LV dysfunction.,1,0.16
LeftVentricleSummary,Regional LV dysfunction.  ,1,0.16
LeftVentricleSummary,Nonsignificant interventricular dyssynchrony Significant left ventricular dyssynchrony (intraventricular),1,0.16
LeftVentricleSummary,Normal global left ventricle systolic function. Regional LV dysfunction.,1,0.16
LeftVentricleSummary,Hypertrophy of interventricular septum -mild.,1,0.16
LeftVentricleSummary,Preserved LV systolic function,1,0.16
LeftVentricleSummary,mild Hypertrophy of interventricular septum.,1,0.16
LeftVentricleSummary,Hypertrophy of interventricular septum- mild.,1,0.16
LeftVentricleSummary,Paradoxical septal motion consistent with paced rhythm,1,0.16
LeftVentricleSummary,Regional LV dysfunction Hypertrophy of basal interventricular septum C/W LV diastolic dysfunction: impaired relaxation pattern .,1,0.16
LeftVentricleSummary,"Hypertrophy of basal interventricular septum Regional LV dysfunction ,localized apical aneurysm",1,0.16
LeftVentricleSummary,Hypertrophy of basal interventricular septum Regional LV dysfunction,1,0.16
LeftVentricleSummary,Normal left ventricle structure and global function.,1,0.16
LeftVentricleSummary,Hypertrophy of interventricular septum - mild,1,0.16
LeftVentricleSummary,Normal left ventricle structure and function. Hypertrophy of LV.,1,0.16
LeftVentricleSummary,Hypertrophy of interventricular septum-mild. Regional LV dysfunction.,1,0.16
LeftVentricleSummary,Dilated LV cavity with normal systolic function,1,0.16
LeftVentricleSummary,Nonsignificant interventricular dyssynchrony Nonsignificant left ventricular dyssynchrony (intraventricular),1,0.16
RVSize,No Value,195,30.23
RVSize,Normal,152,23.57
RVSize,nan,150,23.26
RVSize,Dilated,90,13.95
RVSize,Mildly dilated,57,8.84
RVSize,RVH,1,0.16
RVSystolicFunction,No Value,194,30.08
RVSystolicFunction,nan,147,22.79
RVSystolicFunction,Normal,144,22.33
RVSystolicFunction,Moderately reduced,62,9.61
RVSystolicFunction,Mildly reduced,57,8.84
RVSystolicFunction,Severely reduced,41,6.36
LACavitySize,Mildly dilated,324,50.23
LACavitySize,Moderately dilated,170,26.36
LACavitySize,Normal,68,10.54
LACavitySize,Severely dilated,40,6.2
LACavitySize,No Value,29,4.5
LACavitySize,nan,14,2.17
AorticValveStructure,Calcified,298,46.2
AorticValveStructure,No Value,106,16.43
AorticValveStructure,nan,88,13.64
AorticValveStructure,Thickened,65,10.08
AorticValveStructure,Normal,31,4.81
AorticValveStructure,Bioprosthesis,24,3.72
AorticValveStructure,Focal calcification,21,3.26
AorticValveStructure,Prosthetic,10,1.55
AorticValveStructure,Bicuspid,1,0.16
AorticValveStructure,Not well seen,1,0.16
AorticValveRegurgitation,nan,187,28.99
AorticValveRegurgitation,No Value,156,24.19
AorticValveRegurgitation,Trivial,141,21.86
AorticValveRegurgitation,Mild (I),128,19.84
AorticValveRegurgitation,Mild-to-moderate (I-II),23,3.57
AorticValveRegurgitation,Moderate (II),6,0.93
AorticValveRegurgitation,Moderately-severe (III),3,0.47
AorticValveRegurgitation,Severe (IV),1,0.16
AorticValveSummary,nan,507,78.6
AorticValveSummary,Normal aortic valve structure and function.,24,3.72
AorticValveSummary,Moderate aortic stenosis.,17,2.64
AorticValveSummary,Mild aortic stenosis.,14,2.17
AorticValveSummary,Severe aortic stenosis.,11,1.71
AorticValveSummary,Mild aortic stenosis,5,0.78
AorticValveSummary,S/P Percutaneous aortic valve implantation.,5,0.78
AorticValveSummary,Moderate-Severe aortic stenosis   ,4,0.62
AorticValveSummary,Normally functioning bioprosthetic valve in aortic position.,4,0.62
AorticValveSummary,Normally functioning prosthetic valve in aortic position.,4,0.62
AorticValveSummary,Mild-moderate aortic stenosis,4,0.62
AorticValveSummary,Moderate-Severe aortic stenosis.,3,0.47
AorticValveSummary,Mild aortic stenosis   ,3,0.47
AorticValveSummary,Moderate aortic stenosis,3,0.47
AorticValveSummary,S/P Percutaneous aortic valve implantation. Normally functioning bioprosthetic valve in aortic position.,3,0.47
AorticValveSummary,Mild-moderate aortic stenosis.,3,0.47
AorticValveSummary,Severe aortic stenosis   ,2,0.31
AorticValveSummary,Mild to moderate aortic stenosis,2,0.31
AorticValveSummary,Minimal aortic stenosis.,2,0.31
AorticValveSummary,Increased gradient on prosthetic AV.,2,0.31
AorticValveSummary,mild aortic stenosis,1,0.16
AorticValveSummary,severely calcified aortic valve with restricted opening,1,0.16
AorticValveSummary,Severe aortic stenosis  ,1,0.16
AorticValveSummary,Moderate aortic stenosis  ,1,0.16
AorticValveSummary,Mild aortic stenosis  ,1,0.16
AorticValveSummary,Minimal aortic stenosis,1,0.16
AorticValveSummary,Probalby low flow moderate severe aortic  stenosis ,1,0.16
AorticValveSummary,Mild-moderate aortic stenosis   ,1,0.16
AorticValveSummary,Minimal aortic stenosis   ,1,0.16
AorticValveSummary,  ,1,0.16
AorticValveSummary,Moderate-Severe aortic stenosis,1,0.16
AorticValveSummary,S/P Percutaneous aortic valve implantation (Core-valve 29 mm),1,0.16
AorticValveSummary,moderate to sever aortic stenosis.,1,0.16
AorticValveSummary,S/P Percutaneous aortic valve implantation. Paravalvular leak.,1,0.16
AorticValveSummary,small mobile mass (6mm) on left coronary cusp most consistant with papillary fibroelastoma,1,0.16
AorticValveSummary,Thickened and restricted aortic valve Aortic sclerosis without significant stenosis Moderate aortic regurgitation,1,0.16
AorticValveSummary,Calcified aortic valve annulus,1,0.16
AorticValveSummary,mild to moderate aortic stenosis.,1,0.16
AorticValveSummary,Calcified aortic valve with normal opening,1,0.16
AorticValveSummary,Severe aortic stenosis,1,0.16
AorticValveSummary,Increased gradient on prosthetic AV,1,0.16
AorticValveSummary,"Thickened aortic valve with restricted leaflet opening Moderate aortic stenosis, mean gradient of 21 mmHg Mild aortic regurgitation",1,0.16
AorticValveSummary,severe aortic stenosis,1,0.16
MitralValveStructure,No Value,261,40.47
MitralValveStructure,nan,197,30.54
MitralValveStructure,Thickened / sclerotic,65,10.08
MitralValveStructure,Calcified,62,9.61
MitralValveStructure,Normal,20,3.1
MitralValveStructure,Prosthetic,14,2.17
MitralValveStructure,S/P Repair,10,1.55
MitralValveStructure,Bioprosthetic,6,0.93
MitralValveStructure,See below,5,0.78
MitralValveStructure,Rheumatic,3,0.47
MitralValveStructure,Rheumatic ,2,0.31
MitralRegurgitation,Mild (I),229,35.5
MitralRegurgitation,Trivial,137,21.24
MitralRegurgitation,Mild-to-moderate (I-II),106,16.43
MitralRegurgitation,Moderate (II),67,10.39
MitralRegurgitation,Severe (IV),34,5.27
MitralRegurgitation,No Value,29,4.5
MitralRegurgitation,Moderately-severe (III),24,3.72
MitralRegurgitation,nan,19,2.95
MitralValveSummary,nan,443,68.68
MitralValveSummary,mitral annular calcification.,60,9.3
MitralValveSummary,Mild mitral annular calcification.,31,4.81
MitralValveSummary,Mitral annular calcification.,11,1.71
MitralValveSummary,Mild mitral annular calcification.   ,9,1.4
MitralValveSummary,Severe mitral annular calcification.,8,1.24
MitralValveSummary,Mild mitral annulus calcification.,6,0.93
MitralValveSummary,mitral annular calcification.   ,5,0.78
MitralValveSummary,mitral annulus calcification.,5,0.78
MitralValveSummary,Normally functioning prosthetic artificial valve in mitral position.,5,0.78
MitralValveSummary,Mild mitral annulus calcification.   ,3,0.47
MitralValveSummary,mitral annulus calcification.   ,3,0.47
MitralValveSummary,Normal mitral valve structure and function.,3,0.47
MitralValveSummary,S\P Mitral clip.,3,0.47
MitralValveSummary,Mild mitral annular calcification.  ,2,0.31
MitralValveSummary,MAC,2,0.31
MitralValveSummary,Moderate mitral annular calcification.   ,2,0.31
MitralValveSummary,Moderate mitral stenosis.,2,0.31
MitralValveSummary,Mitral annulus calcification.,2,0.31
MitralValveSummary,Mild mitral stenosis.,2,0.31
MitralValveSummary,Mild annular calcification.  ,1,0.16
MitralValveSummary, Severe mitral stenosis.  Severe mitral annular calcification.,1,0.16
MitralValveSummary,Calcifications in papillary muscles,1,0.16
MitralValveSummary,Moderate mitral annulus calcification.   Thickening in mitral leaflets  ,1,0.16
MitralValveSummary,Moderate mitral annular calcification.  ,1,0.16
MitralValveSummary,Mild to moderate  mitral annular calcification.,1,0.16
MitralValveSummary,Moderate mitral annulus calcification.   ,1,0.16
MitralValveSummary,Moderate mitral annulus calcification.  ,1,0.16
MitralValveSummary,Mild mitral annulus calcification.  ,1,0.16
MitralValveSummary,Mitral annulus calcification.  ,1,0.16
MitralValveSummary,systolic anterior motion (SAM) of anterior leaflet.   ,1,0.16
MitralValveSummary,mitral annulus calcification.  ,1,0.16
MitralValveSummary,Caseous mitral annulus abscess   Mitral annular calcification.   ,1,0.16
