variable,type,n,missing,mean,sd,median,q1,q3,min,max,count_0,count_1,pct_1,n_categories,top_category,top_pct,categories
HD/PD,categorical,645,0,,,,,,,,,,,2.0,HD,79.5,HD(513); PD(132)
m/f,categorical,644,1,,,,,,,,,,,2.0,m,69.4,m(447); f(197)
AgeAtFirstHFDate,continuous,645,0,70.54,11.57,71.0,63.72,79.21,26.0,95.4391244870039,,,,,,,
LeftVentricleCavitySize,categorical,571,74,,,,,,,,,,,5.0,Normal,63.6,Normal(363); Mildly dilated(140); Moderately dilated(37); Severely dilated(27); Small(4)
LeftVentricleWallThickness,categorical,402,243,,,,,,,,,,,4.0,Mildly increased,53.5,Mildly increased(215); Normal(143); Moderately increased(39); Severely increased(5)
LeftVentricleSystolicFunction,categorical,570,75,,,,,,,,,,,7.0,Normal,51.2,Normal(292); Severely reduced(112); Moderately reduced(47); Mildly reduced(36); Mild-moderately reduced(36); Moderate-severely reduced(34); Increased (hyperdynamic)(13)
LV_EF,continuous,641,4,46.75,15.8,50.0,35.0,60.0,7.0,75.0,,,,,,,
LACavitySize,categorical,602,43,,,,,,,,,,,4.0,Mildly dilated,53.8,Mildly dilated(324); Moderately dilated(170); Normal(68); Severely dilated(40)
AorticValveStructure,categorical,451,194,,,,,,,,,,,8.0,Calcified,66.1,Calcified(298); Thickened(65); Normal(31); Bioprosthesis(24); Focal calcification(21); Prosthetic(10); Bicuspid(1); Not well seen(1)
MitralRegurgitation,categorical,597,48,,,,,,,,,,,6.0,Mild (I),38.4,Mild (I)(229); Trivial(137); Mild-to-moderate (I-II)(106); Moderate (II)(67); Severe (IV)(34); Moderately-severe (III)(24)
TricuspidRegurgitation,categorical,600,45,,,,,,,,,,,6.0,Mild (I),32.8,Mild (I)(197); Trivial(164); Mild-to-moderate (I-II)(93); Moderate (II)(64); Severe (IV)(51); Moderately-severe (III)(31)
ECHO_SPAP,categorical,526,119,,,,,,,,,,,4.0,Severely increased,28.5,Severely increased(150); Moderately increased(142); Mildly increased(135); Normal(99)
LeftVentricleEndDiastolicDiameter,continuous,637,8,5.24,0.8,5.13,4.7,5.75,3.09999990463257,8.69999980926513,,,,,,,
LeftVentricleEndSystolicDiameter,continuous,636,9,3.74,1.04,3.5,2.97,4.36,1.53999996185303,8.10000038146972,,,,,,,
LeftVentricleInterventricularSeptumThickness,continuous,637,8,1.17,0.21,1.17,1.01,1.3,0.46000000834465,2.20000004768371,,,,,,,
LeftVentriclePosteriorWallThickness,continuous,632,13,1.03,0.17,1.0,0.9,1.12,0.52999997138977,1.75999999046325,,,,,,,
LeftVentricleEstimatedMass,continuous,629,16,227.58,69.83,218.0,181.75,265.22,78.7604064941406,555.079406738281,,,,,,,
LeftVentricleEstimatedMassIndex,continuous,578,67,119.61,34.98,114.0,95.0,139.0,23.0,294.0,,,,,,,
LeftVentricleScoreIndex,continuous,640,5,1.39,0.56,1.0,1.0,1.88,1.0,2.88000011444092,,,,,,,
EstimatedSysPAPressure,continuous,537,108,49.94,14.98,49.0,38.0,60.0,19.0,105.0,,,,,,,
MitralInflowPeakEWave,continuous,582,63,105.38,31.37,104.0,83.9,125.0,38.0,230.0,,,,,,,
TissueDopplerSVelocitySeptal,continuous,441,204,5.79,1.74,5.69,4.6,6.83,2.0,13.5,,,,,,,
TissueDopplerEVelositySeptal,continuous,531,114,5.39,1.91,5.0,4.0,6.35,2.0,16.0,,,,,,,
TissueDopplerEERatioSeptal,continuous,523,122,21.47,9.43,19.72,14.89,26.16,4.30999994277954,66.9599990844727,,,,,,,
TissueDopplerSVelocityLateral,continuous,514,131,6.68,1.97,6.5,5.07,8.0,2.0,14.0,,,,,,,
TissueDopplerEVelosityLateral,continuous,531,114,7.35,2.62,7.0,5.44,8.78,2.0,18.0,,,,,,,
TissueDopplerEERatioLateral,continuous,523,122,15.79,6.95,14.25,11.21,19.17,4.44000005722045,45.0800018310546,,,,,,,
Weight,continuous,554,91,80.84,18.52,80.0,68.0,92.0,42.0,166.5,,,,,,,
BMI,continuous,521,124,28.64,6.61,27.94,24.22,31.93,3.74609781477627,81.2161599333611,,,,,,,
sbp-numeric result,continuous,481,164,135.31,25.79,134.0,116.0,152.0,55.0,220.0,,,,,,,
dbp-numeric result,continuous,508,137,68.0,14.7,67.0,58.0,76.0,24.0,137.0,,,,,,,
GFR,continuous,644,1,18.17,12.88,14.05,9.89,21.78,1.43322314186076,114.583333333333,,,,,,,
na-numeric result,continuous,642,3,136.81,5.3,137.0,134.0,140.0,116.0,159.0,,,,,,,
k-numeric result,continuous,642,3,4.58,0.75,4.5,4.0,5.0,2.56,8.19999999999999,,,,,,,
albumin-numeric result,continuous,644,1,3.09,0.55,3.1,2.8,3.5,1.5,4.79999999999999,,,,,,,
hb-numeric result,continuous,579,66,9.92,1.87,9.69,8.7,11.0,4.5,16.0,,,,,,,
urea-numeric result,continuous,641,4,212.1,78.74,211.0,156.0,265.0,25.0,472.0,,,,,,,
creatinine-numeric result,continuous,644,1,5.18,2.07,5.07,3.73,6.47,0.959999999999999,13.83,,,,,,,
ca-numeric result,continuous,644,1,8.19,0.93,8.3,7.7,8.8,4.79999999999999,12.8,,,,,,,
p-numeric result,continuous,644,1,6.11,1.98,5.8,4.7,7.3,1.89999999999999,13.0,,,,,,,
ua-numeric result,continuous,644,1,9.7,3.18,9.4,7.4,11.6,1.7,22.1999999999999,,,,,,,
crp-numeric result,continuous,620,25,66.23,76.21,38.06,14.07,95.09,0.27,688.32,,,,,,,
hba1c-numeric result,continuous,580,65,6.37,1.41,6.1,5.5,6.9,4.0,18.6999999999999,,,,,,,
MI_binary,binary,645,0,,,,,,,,452.0,193.0,29.9,,,,
CABG_binary,binary,645,0,,,,,,,,512.0,133.0,20.6,,,,
IHD_binary,binary,645,0,,,,,,,,249.0,396.0,61.4,,,,
AFIB_binary,binary,645,0,,,,,,,,342.0,303.0,47.0,,,,
HTN_binary,binary,645,0,,,,,,,,112.0,533.0,82.6,,,,
Diabetes mellitus_binary,binary,645,0,,,,,,,,235.0,410.0,63.6,,,,
DYSLIPIDEMIA_binary,binary,645,0,,,,,,,,334.0,311.0,48.2,,,,
COPD_binary,binary,645,0,,,,,,,,540.0,105.0,16.3,,,,
