variable_name,domain,variable_type,feature_status,reason_if_not_main,n_missing,missing_pct,miss_in_raw
patient_id,Identifier,identifier,exclude,Identifier,0,0.0,0.0
Dialysis_Start_Date,Dates_Raw,date,exclude,Raw date - use derived time vars,0,0.0,0.0
Echo_Date,Dates_Raw,date,exclude,Raw date - use derived time vars,0,0.0,0.0
DeathDate,Outcome,date,exclude,Outcome/future - leakage risk,139,21.6,21.550387596899228
data_cutoff_date,Administrative,date,exclude,Administrative variable,0,0.0,0.0
event,Outcome,binary,exclude,Outcome/future - leakage risk,0,0.0,0.0
event_1y,Outcome,binary,exclude,Outcome/future - leakage risk,0,0.0,0.0
time_to_event_days,Outcome,continuous,exclude,Outcome/future - leakage risk,0,0.0,0.0
time_to_event_years,Outcome,continuous,exclude,Outcome/future - leakage risk,0,0.0,0.0
days_echo_to_dialysis,Derived_Time,continuous,sensitivity_only,Derived timing variable; risk of technical/timing-driven clustering. Retain for sensitivity analysis,0,0.0,0.0
months_echo_to_dialysis,Derived_Time,continuous,exclude,Redundant with days_echo_to_dialysis,0,0.0,0.0
HD/PD,Demographics,categorical,main,,0,0.0,0.0
m/f,Demographics,categorical,main,,1,0.2,0.15503875968992248
AgeAtFirstHFDate,Demographics,continuous,main,,0,0.0,0.0
LeftVentricleCavitySize,Echo_Qualitative,categorical,main,,74,11.5,4.496124031007752
LeftVentricleWallThickness,Echo_Qualitative,categorical,main,,243,37.7,15.503875968992247
LeftVentricleSystolicFunction,Echo_Qualitative,categorical,main,,75,11.6,4.496124031007752
LeftVentricleSummary,Echo_Text,text,exclude,Free text - not suitable for clustering,452,70.1,69.76744186046511
LV_EF,Echo_Quantitative,continuous,main,,4,0.6,0.6201550387596899
RVSize,Echo_Qualitative,categorical,sensitivity_only,High missingness (53.5%),345,53.5,23.25581395348837
RVSystolicFunction,Echo_Qualitative,categorical,sensitivity_only,High missingness (52.9%),341,52.9,22.790697674418606
LACavitySize,Echo_Qualitative,categorical,main,,43,6.7,2.1705426356589146
AorticValveStructure,Echo_Qualitative,categorical,main,,194,30.1,13.643410852713178
AorticValveRegurgitation,Echo_Qualitative,categorical,sensitivity_only,High missingness (53.2%),343,53.2,28.992248062015502
