column,dtype,vtype,n_missing,pct_missing,n_unique,in_stage2,sample_or_levels
patient_id,int64,continuous,0,0.0,645,True,"min=1, max=645, median=323.0"
Dialysis_Start_Date,datetime64[us],categorical/string/date,0,0.0,609,True,2016-07-19 00:00:00: 2 (0.3%); 2020-12-10 00:00:00: 2 (0.3%); 2016-10-26 00:00:00: 2 (0.3%); 2011-07-12 00:00:00: 2 (0.3%); 2018-12-17 00:00:00: 2 (0.3%); 2019-10-24 00:00:00: 2 (0.3%); 2016-02-08 00:00:00: 2 (0.3%); 2017-01-16 00:00:00: 2 (0.3%); 2013-09-23 00:00:00: 2 (0.3%); 2020-07-21 00:00:00: 2 (0.3%)
Echo_Date,datetime64[us],categorical/string/date,0,0.0,600,False,2016-08-14 00:00:00: 3 (0.5%); 2014-05-13 00:00:00: 3 (0.5%); 2013-02-10 00:00:00: 2 (0.3%); 2021-12-14 00:00:00: 2 (0.3%); 2017-02-13 00:00:00: 2 (0.3%); 2016-05-02 00:00:00: 2 (0.3%); 2009-05-12 00:00:00: 2 (0.3%); 2021-10-17 00:00:00: 2 (0.3%); 2015-12-11 00:00:00: 2 (0.3%); 2014-05-08 00:00:00: 2 (0.3%)
DeathDate,datetime64[us],categorical/string/date,139,21.6,479,False,NaT: 139 (21.6%); 2012-03-25 00:00:00: 2 (0.3%); 2017-09-16 00:00:00: 2 (0.3%); 2014-08-29 00:00:00: 2 (0.3%); 2017-01-07 00:00:00: 2 (0.3%); 2019-11-21 00:00:00: 2 (0.3%); 2021-09-28 00:00:00: 2 (0.3%); 2017-05-20 00:00:00: 2 (0.3%); 2022-07-09 00:00:00: 2 (0.3%); 2021-07-27 00:00:00: 2 (0.3%)
data_cutoff_date,datetime64[us],categorical/string/date,0,0.0,1,False,2025-08-16 00:00:00: 645 (100.0%)
event,int64,binary,0,0.0,2,True,"min=0, max=1, median=1.0"
event_1y,int64,binary,0,0.0,2,False,"min=0, max=1, median=0.0"
time_to_event_days,int64,continuous,0,0.0,511,True,"min=1, max=5911, median=553.0"
time_to_event_years,float64,continuous,0,0.0,511,True,"min=0.0027378507871321, max=16.1834360027378, median=1.51403148528405"
days_echo_to_dialysis,int64,continuous,0,0.0,296,False,"min=-366, max=67, median=-70.0"
months_echo_to_dialysis,float64,continuous,0,0.0,296,False,"min=-12.2, max=2.23333333333333, median=-2.33333333333333"
HD/PD,str,categorical/string/date,0,0.0,2,False,HD: 513 (79.5%); PD: 132 (20.5%)
m/f,str,categorical/string/date,1,0.2,2,False,m: 447 (69.3%); f: 197 (30.5%); nan: 1 (0.2%)
AgeAtFirstHFDate,float64,continuous,0,0.0,435,True,"min=26.0, max=95.4391244870039, median=71.0"
LeftVentricleCavitySize,str,categorical/string/date,29,4.5,6,True,Normal: 363 (56.3%); Mildly dilated: 140 (21.7%); No Value: 45 (7.0%); Moderately dilated: 37 (5.7%); nan: 29 (4.5%); Severely dilated: 27 (4.2%); Small: 4 (0.6%)
LeftVentricleWallThickness,str,categorical/string/date,100,15.5,5,True,Mildly increased: 215 (33.3%); Normal: 143 (22.2%); No Value: 143 (22.2%); nan: 100 (15.5%); Moderately increased: 39 (6.0%); Severely increased: 5 (0.8%)
LeftVentricleSystolicFunction,str,categorical/string/date,29,4.5,8,True,Normal: 292 (45.3%); Severely reduced: 112 (17.4%); Moderately reduced: 47 (7.3%); No Value: 46 (7.1%); Mildly reduced: 36 (5.6%); Mild-moderately reduced: 36 (5.6%); Moderate-severely reduced: 34 (5.3%); nan: 29 (4.5%); Increased (hyperdynamic): 13 (2.0%)
LeftVentricleSummary,str,categorical/string/date,450,69.8,52,False,nan: 450 (69.8%); Normal left ventricle structure and function.: 53 (8.2%); Hypertrophy of interventricular septum.: 20 (3.1%); Regional LV dysfunction.: 12 (1.9%); Hypertrophy of LV.: 8 (1.2%); Regional LV dysfunction: 8 (1.2%); C/W LV diastolic dysfunction: Pseudo-normal filling pattern .   : 6 (0.9%); C/W LV diastolic dysfunction: Pseudo-normal filling pattern .: 6 (0.9%); Hypertrophy of interventricular septum   : 5 (0.8%); C/W LV diastolic dysfunction: impaired relaxation pattern .: 5 (0.8%)
LV_EF,float64,continuous,4,0.6,35,True,"min=7.0, max=75.0, median=50.0"
RVSize,str,categorical/string/date,150,23.3,5,True,No Value: 195 (30.2%); Normal: 152 (23.6%); nan: 150 (23.3%); Dilated: 90 (14.0%); Mildly dilated: 57 (8.8%); RVH: 1 (0.2%)
RVSystolicFunction,str,categorical/string/date,147,22.8,5,True,No Value: 194 (30.1%); nan: 147 (22.8%); Normal: 144 (22.3%); Moderately reduced: 62 (9.6%); Mildly reduced: 57 (8.8%); Severely reduced: 41 (6.4%)
LACavitySize,str,categorical/string/date,14,2.2,5,True,Mildly dilated: 324 (50.2%); Moderately dilated: 170 (26.4%); Normal: 68 (10.5%); Severely dilated: 40 (6.2%); No Value: 29 (4.5%); nan: 14 (2.2%)
AorticValveStructure,str,categorical/string/date,88,13.6,9,False,Calcified: 298 (46.2%); No Value: 106 (16.4%); nan: 88 (13.6%); Thickened: 65 (10.1%); Normal: 31 (4.8%); Bioprosthesis: 24 (3.7%); Focal calcification: 21 (3.3%); Prosthetic: 10 (1.6%); Bicuspid: 1 (0.2%); Not well seen: 1 (0.2%)
AorticValveRegurgitation,str,categorical/string/date,187,29.0,7,False,nan: 187 (29.0%); No Value: 156 (24.2%); Trivial: 141 (21.9%); Mild (I): 128 (19.8%); Mild-to-moderate (I-II): 23 (3.6%); Moderate (II): 6 (0.9%); Moderately-severe (III): 3 (0.5%); Severe (IV): 1 (0.2%)
AorticValveSummary,str,categorical/string/date,507,78.6,42,False,nan: 507 (78.6%); Normal aortic valve structure and function.: 24 (3.7%); Moderate aortic stenosis.: 17 (2.6%); Mild aortic stenosis.: 14 (2.2%); Severe aortic stenosis.: 11 (1.7%); Mild aortic stenosis: 5 (0.8%); S/P Percutaneous aortic valve implantation.: 5 (0.8%); Moderate-Severe aortic stenosis   : 4 (0.6%); Normally functioning bioprosthetic valve in aortic position.: 4 (0.6%); Normally functioning prosthetic valve in aortic position.: 4 (0.6%)
MitralValveStructure,str,categorical/string/date,197,30.5,10,False,No Value: 261 (40.5%); nan: 197 (30.5%); Thickened / sclerotic: 65 (10.1%); Calcified: 62 (9.6%); Normal: 20 (3.1%); Prosthetic: 14 (2.2%); S/P Repair: 10 (1.6%); Bioprosthetic: 6 (0.9%); See below: 5 (0.8%); Rheumatic: 3 (0.5%)
MitralRegurgitation,str,categorical/string/date,19,2.9,7,True,Mild (I): 229 (35.5%); Trivial: 137 (21.2%); Mild-to-moderate (I-II): 106 (16.4%); Moderate (II): 67 (10.4%); Severe (IV): 34 (5.3%); No Value: 29 (4.5%); Moderately-severe (III): 24 (3.7%); nan: 19 (2.9%)
MitralValveSummary,str,categorical/string/date,443,68.7,57,False,nan: 443 (68.7%); mitral annular calcification.: 60 (9.3%); Mild mitral annular calcification.: 31 (4.8%); Mitral annular calcification.: 11 (1.7%); Mild mitral annular calcification.   : 9 (1.4%); Severe mitral annular calcification.: 8 (1.2%); Mild mitral annulus calcification.: 6 (0.9%); mitral annular calcification.   : 5 (0.8%); mitral annulus calcification.: 5 (0.8%); Normally functioning prosthetic artificial valve in mitral position.: 5 (0.8%)
TricuspidValveStructure,str,categorical/string/date,235,36.4,5,False,No Value: 339 (52.6%); nan: 235 (36.4%); Normal: 54 (8.4%); s/p Repair: 11 (1.7%); Thickened: 3 (0.5%); Bioprosthetic: 3 (0.5%)
