idx,column,dtype,n_missing_raw_NaN,pct_missing_raw_NaN,n_NoValue_string,n_effective_missing,pct_effective_missing,n_unique_nonNaN,NULL_semantics,role_inference,sample_or_top_levels
0,patient number,int64,0,0.0,0,0,0.0,645,Identifier — no missing expected,ID,"min=1, max=645, median=323.0"
1,HD/PD,str,0,0.0,0,0,0.0,3,unclear,unknown,HD: 512 (79.4%); PD: 132 (20.5%); HD : 1 (0.2%)
2,m/f,str,1,0.2,0,1,0.2,3,unclear,unknown,m: 446 (69.1%); f: 197 (30.5%); nan: 1 (0.2%); m : 1 (0.2%)
3,AgeAtFirstHFDate,float64,0,0.0,0,0,0.0,435,NaN = not measured (true missing),Continuous (echo or lab),"min=26.0, max=95.4391244870039, median=71.0"
4,DeathDate,datetime64[us],139,21.6,0,139,21.6,494,NaN in DeathDate = censored / alive at last FU; otherwise NaN = data error,Outcome / time origin,"min=2012-02-17 00:00:00, max=2025-08-16 00:00:00"
5,Dialysis_Start_Date,datetime64[us],0,0.0,0,0,0.0,615,NaN in DeathDate = censored / alive at last FU; otherwise NaN = data error,Outcome / time origin,"min=2009-04-13 00:00:00, max=2025-06-12 15:12:00"
6,Echo_Date,datetime64[us],0,0.0,0,0,0.0,644,NaN in DeathDate = censored / alive at last FU; otherwise NaN = data error,Outcome / time origin,"min=2009-02-12 15:30:07, max=2025-06-03 12:53:36"
7,LeftVentricleCavitySize,str,29,4.5,45,74,11.5,6,unclear,unknown,Normal: 363 (56.3%); Mildly dilated: 140 (21.7%); No Value: 45 (7.0%); Moderately dilated: 37 (5.7%); nan: 29 (4.5%); Severely dilated: 27 (4.2%); Small: 4 (0.6%)
8,LeftVentricleWallThickness,str,100,15.5,143,243,37.7,6,unclear,unknown,Mildly increased: 210 (32.6%); No Value: 143 (22.2%); Normal: 142 (22.0%); nan: 100 (15.5%); Moderately increased: 39 (6.0%); See below: 6 (0.9%); Severely increased: 5 (0.8%)
9,LeftVentricleSystolicFunction,str,29,4.5,46,75,11.6,10,unclear,unknown,Normal: 234 (36.3%); Severely reduced: 112 (17.4%); Moderately reduced: 47 (7.3%); No Value: 46 (7.1%); Mildly reduced: 36 (5.6%); Mild-moderately reduced: 36 (5.6%); Moderate-severely reduced: 34 (5.3%); Preserved: 33 (5.1%); nan: 29 (4.5%); Preserved : 25 (3.9%); Increased (hyperdynamic): 13 (2.0%)
10,LeftVentricleSummary,str,450,69.8,0,450,69.8,52,NULL = no narrative entered (descriptive only; high missingness expected),Echo text (descriptive only),nan: 450 (69.8%); Normal left ventricle structure and function.: 53 (8.2%); Hypertrophy of interventricular septum.: 20 (3.1%); Regional LV dysfunction.: 12 (1.9%); Hypertrophy of LV.: 8 (1.2%); Regional LV dysfunction: 8 (1.2%); C/W LV diastolic dysfunction: Pseudo-normal filling pattern .   : 6 (0.9%); C/W LV diastolic dysfunction: Pseudo-normal filling pattern .: 6 (0.9%); Hypertrophy of interventricular septum   : 5 (0.8%); C/W LV diastolic dysfunction: impaired relaxation pattern .: 5 (0.8%); Hypertrophy of interventricular septum: 5 (0.8%); Hypertrophy of basal interventricular septum   : 4 (0.6%); Hypertrophy of LV: 4 (0.6%); C/W LV diastolic dysfunction: Restricitive filling pattern .: 4 (0.6%); Hypertrophy of basal interventricular septum: 4 (0.6%)
11,LV_EF,float64,4,0.6,0,4,0.6,35,NaN = not measured (true missing),Continuous (echo or lab),"min=7.0, max=75.0, median=50.0"
12,RVSize,str,150,23.3,195,345,53.5,5,unclear,unknown,No Value: 195 (30.2%); Normal: 152 (23.6%); nan: 150 (23.3%); Dilated: 90 (14.0%); Mildly dilated: 57 (8.8%); RVH: 1 (0.2%)
13,RVSystolicFunction,str,147,22.8,194,341,52.9,5,unclear,unknown,No Value: 194 (30.1%); nan: 147 (22.8%); Normal: 144 (22.3%); Moderately reduced: 62 (9.6%); Mildly reduced: 57 (8.8%); Severely reduced: 41 (6.4%)
14,LACavitySize,str,14,2.2,29,43,6.7,5,unclear,unknown,Mildly dilated: 324 (50.2%); Moderately dilated: 170 (26.4%); Normal: 68 (10.5%); Severely dilated: 40 (6.2%); No Value: 29 (4.5%); nan: 14 (2.2%)
