var,n,events,OR_per_SD,CIlo,CIhi,p,AUC,p_FDR
TricuspidRegurgitation_ord,470,197,1.56514016849673,1.2947789704173844,1.8919551545174544,3.6563038815883326e-06,0.6287257581673825,8.775129315811999e-05
TissueDopplerSVelocitySeptal,359,139,0.5827855927671873,0.4559371356056257,0.7449251675581461,1.623446683359878e-05,0.6446206671026815,0.00019481360200318537
LV_EF,501,205,0.7523089597403463,0.6289456605951325,0.8998691085173568,0.0018422936698462534,0.5873104812129203,0.011406112330500442
LACavitySize_ord,472,199,1.47240389738017,1.153381525516265,1.8796670391004464,0.0019010187217500737,0.5759843171903474,0.011406112330500442
LeftVentricleEndSystolicDiameter,498,205,1.3100329659181378,1.0938421830877703,1.5689524488328908,0.003338558253299013,0.5815366686090069,0.016025079615835262
LeftVentricleScoreIndex,500,206,1.2896131392452002,1.0797157812175429,1.540314662288682,0.005013317345155779,0.5617363450234463,0.020053269380623115
RVSize_ord,242,124,1.4489623272367123,1.0807882126742696,1.9425561836544367,0.013161062022257182,0.5879920721705851,0.045123641219167475
ECHO_SPAP_ord,418,183,1.2404447219911723,1.035151786451721,1.486451676415593,0.019583665576609722,0.5636205092431112,0.05875099672982917
LeftVentricleSystolicFunction_ord,449,193,1.2416791179209348,1.0299526797239902,1.4969299679807406,0.023245785997549045,0.5613159812176166,0.061988762660130786
LeftVentricleEndDiastolicDiameter,498,205,1.207381266912804,1.0091765335856848,1.4445138934338828,0.039417050974333664,0.5639557146424706,0.09428875993061941
EstimatedSysPAPressure,428,187,1.219879064787843,1.006079949358565,1.4791120066118173,0.04321568163486723,0.5538975303437106,0.09428875993061941
LeftVentricleWallThickness_ord,314,142,0.7338654535044513,0.5269074329593412,1.0221121778877087,0.06716408543528535,0.5517114313789715,0.1343281708705707
LeftVentricleInterventricularSeptumThickness,498,205,0.8511449005930555,0.7096953453284872,1.0207868017934467,0.0821938685116161,0.5344293681844668,0.1517425264829836
LeftVentricleCavitySize_ord,448,193,1.2008196144563548,0.9639575365268096,1.4958830569016506,0.10257279738474565,0.5535304277151275,0.1758390812309925
TissueDopplerEERatioSeptal,406,160,1.163961688144598,0.9545326348302267,1.4193404835334817,0.13356752449019485,0.5501651422764228,0.21370803918431175
MitralRegurgitation_ord,464,191,1.1444445263276752,0.951890439452096,1.3759496046575121,0.15117164020313661,0.5391231804844371,0.22675746030470492
LeftVentriclePosteriorWallThickness,494,203,0.8850721642449411,0.7383350467058862,1.0609718980782317,0.1868239451933824,0.5280415756775515,0.2637514520377163
MitralInflowPeakEWave,459,185,1.1301181585166968,0.937673571033004,1.362059347371983,0.1990376933733975,0.5266620635233774,0.26538359116453
RVSystolicFunction_ord,244,125,1.1515656258141127,0.9157324410682097,1.4481341176574878,0.22742100558333878,0.5397310924369748,0.28726863863158586
TissueDopplerSVelocityLateral,403,156,0.8938199566020459,0.729704920999454,1.094845453044,0.27813966736062035,0.5303643724696356,0.3337676008327444
TissueDopplerEERatioLateral,406,158,0.9154916453922584,0.7473271865315467,1.121496672257948,0.39385103606005634,0.5290552266231114,0.45011546978292155
EeRatio_avg,409,160,1.073518615490234,0.8811071184169333,1.3079479142951853,0.4814622901442591,0.5233308232931727,0.5252315892482827
LeftVentricleEstimatedMassIndex,460,183,1.025651070953359,0.8513124786444557,1.2356921174499964,0.7898902409300916,0.521591604032274,0.8242332948835739
LeftVentricleEstimatedMass,491,203,1.0089966660766116,0.8432091451966165,1.2073804914868735,0.9220932407481723,0.5166769293924467,0.9220932407481723
