var,n,total_hosp,IRR_per_SD,CIlo,CIhi,p,p_FDR
TissueDopplerEERatioLateral,425,809,1.3103981833911054,1.3103981833910299,1.3103981833911806,0.0,0.0
LeftVentricleEstimatedMass,515,955,1.0150884499024084,1.0150884499024055,1.015088449902411,0.0,0.0
LeftVentricleCavitySize_ord,467,839,1.0235764087527088,1.0235764087526946,1.0235764087527233,0.0,0.0
TissueDopplerSVelocitySeptal,360,737,0.823057134273916,0.6961719930400856,0.973068513315193,0.02263416854602438,0.05020919137792842
RVSystolicFunction_ord,252,442,1.278842158717393,1.024575780015425,1.5962091812167767,0.029658231073571472,0.05020919137792842
ECHO_SPAP_ord,440,824,1.1893706535805821,1.0168126812682656,1.3912125386106258,0.03012551482675705,0.05020919137792842
TissueDopplerSVelocityLateral,418,817,0.8413813568012514,0.7129421953422692,0.992959306094732,0.040996389320448245,0.05856627045778321
EstimatedSysPAPressure,450,840,1.1839680865557833,0.995059997187168,1.4087396076066878,0.05689396325068709,0.07111745406335886
RVSize_ord,250,457,1.2372756322128695,0.9355996513195397,1.6362244127695995,0.13540278563502967,0.1504475395944774
LACavitySize_ord,493,936,1.1305035387199653,0.9146011214719244,1.3973722763444,0.25662380340683355,0.25662380340683355
LV_EF,526,966,0.9777112802523096,,,,
LeftVentricleEstimatedMassIndex,481,903,1.0442744983159282,,,,
LeftVentricleInterventricularSeptumThickness,522,968,1.0206417816619624,,,,
LeftVentricleEndDiastolicDiameter,522,968,1.0033896436798801,,,,
LeftVentricleEndSystolicDiameter,522,968,1.0439237639089423,,,,
LeftVentriclePosteriorWallThickness,518,963,1.0477443509579372,,,,
MitralInflowPeakEWave,480,923,1622677473.368102,,,,
TissueDopplerEERatioSeptal,425,804,1.3149399760548222,,,,
EeRatio_avg,428,811,1.3384778613669712,,,,
LeftVentricleScoreIndex,524,975,1.0454831707917163,,,,
MitralRegurgitation_ord,487,910,0.9986180332041348,,,,
TricuspidRegurgitation_ord,494,908,1.3248104967245278,,,,
LeftVentricleSystolicFunction_ord,468,847,0.9889708378932219,,,,
LeftVentricleWallThickness_ord,327,575,1.0108400544989458,,,,
