original_variable,grouped_variable,stage,category,n
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,before,,343
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,before,Trivial,141
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,before,Mild (I),128
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,before,Mild-to-moderate (I-II),23
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,before,Moderate (II),6
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,before,Moderately-severe (III),3
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,before,Severe (IV),1
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,after,,343
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,after,Mild-or-MildModerate,151
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,after,Trivial,141
AorticValveRegurgitation,aortic_regurgitation_clin_grouped,after,Moderate-to-Severe,10
AorticValveStructure,aortic_valve_structure_clin_grouped,before,Calcified,298
AorticValveStructure,aortic_valve_structure_clin_grouped,before,,195
AorticValveStructure,aortic_valve_structure_clin_grouped,before,Thickened,65
AorticValveStructure,aortic_valve_structure_clin_grouped,before,Normal,31
AorticValveStructure,aortic_valve_structure_clin_grouped,before,Bioprosthesis,24
AorticValveStructure,aortic_valve_structure_clin_grouped,before,Focal calcification,21
AorticValveStructure,aortic_valve_structure_clin_grouped,before,Prosthetic,10
AorticValveStructure,aortic_valve_structure_clin_grouped,before,Bicuspid,1
AorticValveStructure,aortic_valve_structure_clin_grouped,after,Calcified,298
AorticValveStructure,aortic_valve_structure_clin_grouped,after,,195
AorticValveStructure,aortic_valve_structure_clin_grouped,after,Thickened,65
AorticValveStructure,aortic_valve_structure_clin_grouped,after,Prosthetic/Bioprosthetic,34
AorticValveStructure,aortic_valve_structure_clin_grouped,after,Normal,31
AorticValveStructure,aortic_valve_structure_clin_grouped,after,Rare/ignored,22
ECHO_SPAP,ECHO_SPAP,before,Severely increased,150
ECHO_SPAP,ECHO_SPAP,before,Moderately increased,142
ECHO_SPAP,ECHO_SPAP,before,Mildly increased,135
