dataset,variable,role,n,n_missing,pct_missing,n_nonmissing,n_unique_nonmissing
full_input_processed,AFIB_binary,main_predictor,645,0,0.0,645,2
full_input_processed,AgeAtFirstHFDate,main_predictor,645,0,0.0,645,435
full_input_processed,CABG_binary,main_predictor,645,0,0.0,645,2
full_input_processed,COPD_binary,main_predictor,645,0,0.0,645,2
full_input_processed,Diabetes mellitus_binary,main_predictor,645,0,0.0,645,2
full_input_processed,HD/PD,main_predictor,645,0,0.0,645,2
full_input_processed,HTN_binary,main_predictor,645,0,0.0,645,2
full_input_processed,IHD_binary,main_predictor,645,0,0.0,645,2
full_input_processed,MI_binary,main_predictor,645,0,0.0,645,2
full_input_processed,albumin-numeric result,main_predictor,645,1,0.16,644,39
full_input_processed,creatinine-numeric result,main_predictor,645,1,0.16,644,428
full_input_processed,crp-numeric result,main_predictor,645,25,3.88,620,595
full_input_processed,hb-numeric result,main_predictor,645,66,10.23,579,105
full_input_processed,m/f,main_predictor,645,1,0.16,644,2
full_input_processed,LV_EF,main_predictor,645,4,0.62,641,35
full_input_processed,LeftVentricleEstimatedMassIndex,main_predictor,645,67,10.39,578,146
full_input_processed,MitralInflowPeakEWave,main_predictor,645,63,9.77,582,302
full_input_processed,TissueDopplerEERatioLateral,main_predictor,645,122,18.91,523,452
full_input_processed,TissueDopplerEERatioSeptal,main_predictor,645,122,18.91,523,474
full_input_processed,TissueDopplerEVelosityLateral,main_predictor,645,114,17.67,531,255
full_input_processed,TissueDopplerEVelositySeptal,main_predictor,645,114,17.67,531,245
full_input_processed,LACavitySize,main_predictor,645,43,6.67,602,4
full_input_processed,ECHO_SPAP,main_predictor,645,119,18.45,526,4
full_input_processed,EstimatedSysPAPressure,main_predictor,645,108,16.74,537,77
full_input_processed,tricuspid_regurgitation_clin_grouped,main_predictor,645,45,6.98,600,4
full_input_processed,mitral_regurgitation_clin_grouped,main_predictor,645,48,7.44,597,4
full_input_processed,days_echo_to_dialysis,main_predictor,645,0,0.0,645,296
full_input_processed,BMI,sensitivity_exploratory_predictor,645,126,19.53,519,469
full_input_processed,DYSLIPIDEMIA_binary,sensitivity_exploratory_predictor,645,0,0.0,645,2
full_input_processed,OncologicalDiagnosis_binary,sensitivity_exploratory_predictor,645,0,0.0,645,2
full_input_processed,Weight,sensitivity_exploratory_predictor,645,91,14.11,554,232
full_input_processed,LeftVentricleScoreIndex,sensitivity_exploratory_predictor,645,5,0.78,640,45
full_input_processed,LeftVentricleSystolicFunction,sensitivity_exploratory_predictor,645,75,11.63,570,7
full_input_processed,TissueDopplerSVelocityLateral,sensitivity_exploratory_predictor,645,131,20.31,514,233
full_input_processed,TissueDopplerSVelocitySeptal,sensitivity_exploratory_predictor,645,204,31.63,441,201
full_input_processed,lv_cavity_size_clin_grouped,sensitivity_exploratory_predictor,645,74,11.47,571,4
full_input_processed,LeftVentricleEndDiastolicDiameter,sensitivity_exploratory_predictor,645,8,1.24,637,247
full_input_processed,LeftVentricleEndSystolicDiameter,sensitivity_exploratory_predictor,645,9,1.4,636,272
full_input_processed,LeftVentricleEstimatedMass,sensitivity_exploratory_predictor,645,16,2.48,629,562
full_input_processed,LeftVentricleInterventricularSeptumThickness,sensitivity_exploratory_predictor,645,8,1.24,637,117
full_input_processed,LeftVentriclePosteriorWallThickness,sensitivity_exploratory_predictor,645,13,2.02,632,99
full_input_processed,lv_wall_thickness_clin_grouped,sensitivity_exploratory_predictor,645,243,37.67,402,3
full_input_processed,rv_size_clin_grouped,sensitivity_exploratory_predictor,645,345,53.49,300,4
full_input_processed,RVSystolicFunction,sensitivity_exploratory_predictor,645,341,52.87,304,4
full_input_processed,aortic_regurgitation_clin_grouped,sensitivity_exploratory_predictor,645,343,53.18,302,3
full_input_processed,aortic_valve_structure_clin_grouped,sensitivity_exploratory_predictor,645,195,30.23,450,5
full_input_processed,GFR,sensitivity_exploratory_predictor,645,1,0.16,644,616
full_input_processed,ca-numeric result,sensitivity_exploratory_predictor,645,1,0.16,644,58
full_input_processed,dbp-numeric result,sensitivity_exploratory_predictor,645,137,21.24,508,77
full_input_processed,hba1c-numeric result,sensitivity_exploratory_predictor,645,65,10.08,580,71
full_input_processed,k-numeric result,sensitivity_exploratory_predictor,645,3,0.47,642,69
full_input_processed,na-numeric result,sensitivity_exploratory_predictor,645,3,0.47,642,56
full_input_processed,p-numeric result,sensitivity_exploratory_predictor,645,1,0.16,644,129
full_input_processed,sbp-numeric result,sensitivity_exploratory_predictor,645,164,25.43,481,115
full_input_processed,ua-numeric result,sensitivity_exploratory_predictor,645,1,0.16,644,149
full_input_processed,urea-numeric result,sensitivity_exploratory_predictor,645,4,0.62,641,267
full_input_processed,years_since_MI,sensitivity_exploratory_predictor,645,517,80.16,128,117
full_input_processed,died_1year,outcome_or_denominator,645,27,4.19,618,2
full_input_processed,event,outcome_or_denominator,645,0,0.0,645,2
full_input_processed,time_to_event_days,outcome_or_denominator,645,0,0.0,645,511
full_input_processed,hosp_total,outcome_or_denominator,645,0,0.0,645,11
full_input_processed,followup_days,outcome_or_denominator,645,0,0.0,645,511
analysis_base,AFIB_binary,main_predictor,644,0,0.0,644,2
analysis_base,AgeAtFirstHFDate,main_predictor,644,0,0.0,644,435
analysis_base,CABG_binary,main_predictor,644,0,0.0,644,2
analysis_base,COPD_binary,main_predictor,644,0,0.0,644,2
analysis_base,Diabetes mellitus_binary,main_predictor,644,0,0.0,644,2
analysis_base,HD/PD,main_predictor,644,0,0.0,644,2
analysis_base,HTN_binary,main_predictor,644,0,0.0,644,2
analysis_base,IHD_binary,main_predictor,644,0,0.0,644,2
analysis_base,MI_binary,main_predictor,644,0,0.0,644,2
analysis_base,albumin-numeric result,main_predictor,644,1,0.16,643,39
analysis_base,creatinine-numeric result,main_predictor,644,1,0.16,643,428
analysis_base,crp-numeric result,main_predictor,644,25,3.88,619,594
analysis_base,hb-numeric result,main_predictor,644,66,10.25,578,105
analysis_base,m/f,main_predictor,644,1,0.16,643,2
analysis_base,LV_EF,main_predictor,644,4,0.62,640,35
analysis_base,LeftVentricleEstimatedMassIndex,main_predictor,644,66,10.25,578,146
analysis_base,MitralInflowPeakEWave,main_predictor,644,63,9.78,581,302
