variable,n,n_missing,pct_missing,mean,sd,median,q1,q3,min,max,skewness,flag_high_skew
AgeAtFirstHFDate,644,0,0.0,70.567,11.566,71.0,63.849,79.246,26.0,95.439,-0.588,False
creatinine-numeric result,643,1,0.2,5.178,2.072,5.07,3.72,6.47,0.96,13.83,0.486,False
albumin-numeric result,643,1,0.2,3.09,0.548,3.1,2.8,3.5,1.5,4.8,-0.198,False
hb-numeric result,578,66,10.2,9.928,1.872,9.695,8.7,11.0,4.5,16.0,0.49,False
crp-numeric result,619,25,3.9,65.989,76.03,38.06,13.945,94.975,0.27,688.32,2.463,True
LV_EF,640,4,0.6,46.737,15.808,50.0,35.0,60.0,7.0,75.0,-0.651,False
LeftVentricleEstimatedMassIndex,578,66,10.2,119.614,34.977,113.5,95.25,138.75,23.0,294.0,0.975,False
EstimatedSysPAPressure,536,108,16.8,49.957,14.985,49.0,38.0,60.0,19.0,105.0,0.51,False
MitralInflowPeakEWave,581,63,9.8,105.414,31.388,104.0,83.9,125.0,38.0,230.0,0.403,False
TissueDopplerEERatioSeptal,522,122,18.9,21.49,9.431,19.835,14.94,26.152,4.31,66.96,1.221,False
TissueDopplerEERatioLateral,522,122,18.9,15.797,6.947,14.25,11.235,19.17,4.44,45.08,1.215,False
TissueDopplerEVelositySeptal,530,114,17.7,5.383,1.914,5.0,4.0,6.31,2.0,16.0,1.436,False
TissueDopplerEVelosityLateral,530,114,17.7,7.347,2.618,7.0,5.445,8.715,2.0,18.0,1.085,False
days_echo_to_dialysis,644,0,0.0,-117.489,125.052,-70.0,-227.5,-5.0,-366.0,67.0,-0.542,False
