dataset,variable,n,n_missing,pct_missing
main_analysis,HTN_binary,644,0,0.0
main_analysis,TissueDopplerEERatioSeptal,644,122,18.94
main_analysis,CABG_binary,644,0,0.0
main_analysis,hb-numeric result,644,66,10.25
main_analysis,crp-numeric result,644,25,3.88
main_analysis,LACavitySize,644,43,6.68
main_analysis,LeftVentricleEstimatedMassIndex,644,66,10.25
main_analysis,days_echo_to_dialysis,644,0,0.0
main_analysis,LV_EF,644,4,0.62
main_analysis,EstimatedSysPAPressure,644,108,16.77
main_analysis,TissueDopplerEVelositySeptal,644,114,17.7
main_analysis,IHD_binary,644,0,0.0
main_analysis,AgeAtFirstHFDate,644,0,0.0
main_analysis,ECHO_SPAP,644,119,18.48
main_analysis,MitralInflowPeakEWave,644,63,9.78
main_analysis,mitral_regurgitation_clin_grouped,644,48,7.45
main_analysis,TissueDopplerEERatioLateral,644,122,18.94
main_analysis,MI_binary,644,0,0.0
main_analysis,TissueDopplerEVelosityLateral,644,114,17.7
main_analysis,COPD_binary,644,0,0.0
main_analysis,m/f,644,1,0.16
main_analysis,albumin-numeric result,644,1,0.16
main_analysis,tricuspid_regurgitation_clin_grouped,644,45,6.99
main_analysis,AFIB_binary,644,0,0.0
main_analysis,creatinine-numeric result,644,1,0.16
main_analysis,HD/PD,644,0,0.0
main_analysis,Diabetes mellitus_binary,644,0,0.0
one_year_mortality,HTN_binary,617,0,0.0
one_year_mortality,TissueDopplerEERatioSeptal,617,116,18.8
one_year_mortality,CABG_binary,617,0,0.0
one_year_mortality,hb-numeric result,617,66,10.7
one_year_mortality,crp-numeric result,617,25,4.05
one_year_mortality,LACavitySize,617,39,6.32
one_year_mortality,LeftVentricleEstimatedMassIndex,617,61,9.89
one_year_mortality,days_echo_to_dialysis,617,0,0.0
one_year_mortality,LV_EF,617,4,0.65
one_year_mortality,EstimatedSysPAPressure,617,105,17.02
one_year_mortality,TissueDopplerEVelositySeptal,617,108,17.5
one_year_mortality,IHD_binary,617,0,0.0
one_year_mortality,AgeAtFirstHFDate,617,0,0.0
one_year_mortality,ECHO_SPAP,617,116,18.8
one_year_mortality,MitralInflowPeakEWave,617,59,9.56
one_year_mortality,mitral_regurgitation_clin_grouped,617,46,7.46
one_year_mortality,TissueDopplerEERatioLateral,617,116,18.8
one_year_mortality,MI_binary,617,0,0.0
one_year_mortality,TissueDopplerEVelosityLateral,617,108,17.5
one_year_mortality,COPD_binary,617,0,0.0
one_year_mortality,m/f,617,1,0.16
one_year_mortality,albumin-numeric result,617,1,0.16
one_year_mortality,tricuspid_regurgitation_clin_grouped,617,44,7.13
one_year_mortality,AFIB_binary,617,0,0.0
one_year_mortality,creatinine-numeric result,617,1,0.16
one_year_mortality,HD/PD,617,0,0.0
one_year_mortality,Diabetes mellitus_binary,617,0,0.0
survival,HTN_binary,644,0,0.0
survival,TissueDopplerEERatioSeptal,644,122,18.94
survival,CABG_binary,644,0,0.0
survival,hb-numeric result,644,66,10.25
survival,crp-numeric result,644,25,3.88
survival,LACavitySize,644,43,6.68
survival,LeftVentricleEstimatedMassIndex,644,66,10.25
survival,days_echo_to_dialysis,644,0,0.0
survival,LV_EF,644,4,0.62
survival,EstimatedSysPAPressure,644,108,16.77
survival,TissueDopplerEVelositySeptal,644,114,17.7
survival,IHD_binary,644,0,0.0
survival,AgeAtFirstHFDate,644,0,0.0
survival,ECHO_SPAP,644,119,18.48
survival,MitralInflowPeakEWave,644,63,9.78
survival,mitral_regurgitation_clin_grouped,644,48,7.45
survival,TissueDopplerEERatioLateral,644,122,18.94
survival,MI_binary,644,0,0.0
survival,TissueDopplerEVelosityLateral,644,114,17.7
survival,COPD_binary,644,0,0.0
survival,m/f,644,1,0.16
survival,albumin-numeric result,644,1,0.16
survival,tricuspid_regurgitation_clin_grouped,644,45,6.99
survival,AFIB_binary,644,0,0.0
survival,creatinine-numeric result,644,1,0.16
survival,HD/PD,644,0,0.0
survival,Diabetes mellitus_binary,644,0,0.0
hospitalization,HTN_binary,644,0,0.0
