,AgeAtFirstHFDate,creatinine-numeric result,albumin-numeric result,hb-numeric result,crp-numeric result,LV_EF,LeftVentricleEstimatedMassIndex,EstimatedSysPAPressure,MitralInflowPeakEWave,TissueDopplerEERatioSeptal,TissueDopplerEERatioLateral,TissueDopplerEVelositySeptal,TissueDopplerEVelosityLateral,days_echo_to_dialysis
AgeAtFirstHFDate,1.0,0.03600852163410329,-0.03489647451403019,-0.030416033162686134,-0.021380126523831686,0.1855165699135368,0.006817341212411225,0.0732705564452553,0.1448093672754807,0.12544062490641117,0.0800979536013658,-0.055612672045876374,-0.002041855553633504,0.03579590716364337
creatinine-numeric result,0.03600852163410329,1.0,0.0832436021107478,-0.011108592944750731,0.1080198013489424,0.11509367726836138,-0.026726660907320215,-0.24558105422607568,-0.05274849446475321,-0.07750664678701975,-0.007669056669427552,0.04021995511557463,-0.05419233923975896,0.14605805795275936
albumin-numeric result,-0.03489647451403019,0.0832436021107478,1.0,0.15241980822876539,-0.3989967405272329,0.030016167217288305,-0.03144263478429174,0.038383564221012974,-0.0008211286103232379,-0.021783862328441726,-0.002290310497136311,0.008948416851666077,-0.01124287463031773,-0.025940133941375638
hb-numeric result,-0.030416033162686134,-0.011108592944750731,0.15241980822876539,1.0,-0.13815770033904765,-0.0973464112560171,0.05556493563610701,0.012190317973054903,-0.08504116189399863,-0.050211276781084134,-0.04167488438164634,-0.029495567303512833,-0.043366310876763486,-0.029725397684549428
crp-numeric result,-0.021380126523831686,0.1080198013489424,-0.3989967405272329,-0.13815770033904765,1.0,-0.12919522360464397,2.7967361849530667e-05,0.03679744749885703,0.060929165433711095,0.011733618048993626,0.015291421472229637,0.06391959734217605,0.019196848956311713,0.13758996135691418
LV_EF,0.1855165699135368,0.11509367726836138,0.030016167217288305,-0.0973464112560171,-0.12919522360464397,1.0,-0.3051858576082695,-0.19018080084900885,0.07875146328351548,-0.20949309297657862,-0.04846221128766083,0.3232281292693775,0.13093657673410591,0.06634998889341902
LeftVentricleEstimatedMassIndex,0.006817341212411225,-0.026726660907320215,-0.03144263478429174,0.05556493563610701,2.7967361849530667e-05,-0.3051858576082695,1.0,0.07351871376860053,0.05410629136334263,0.23775839132503915,0.1259074943607465,-0.23100179266321563,-0.07253648011752388,-0.05338639396478921
EstimatedSysPAPressure,0.0732705564452553,-0.24558105422607568,0.038383564221012974,0.012190317973054903,0.03679744749885703,-0.19018080084900885,0.07351871376860053,1.0,0.33331119358035094,0.24517249706502828,0.22671196536649785,0.01005209526507341,0.02026685803579584,-0.007513633175494564
MitralInflowPeakEWave,0.1448093672754807,-0.05274849446475321,-0.0008211286103232379,-0.08504116189399863,0.060929165433711095,0.07875146328351548,0.05410629136334263,0.33331119358035094,1.0,0.6228964955872376,0.5873978811143477,0.09400388419767215,0.1357251519406297,0.003193051077023456
TissueDopplerEERatioSeptal,0.12544062490641117,-0.07750664678701975,-0.021783862328441726,-0.050211276781084134,0.011733618048993626,-0.20949309297657862,0.23775839132503915,0.24517249706502828,0.6228964955872376,1.0,0.6703381954640915,-0.6766054335835567,-0.2544058013024721,-0.033899713621604426
TissueDopplerEERatioLateral,0.0800979536013658,-0.007669056669427552,-0.002290310497136311,-0.04167488438164634,0.015291421472229637,-0.04846221128766083,0.1259074943607465,0.22671196536649785,0.5873978811143477,0.6703381954640915,1.0,-0.31860464677142486,-0.6685103017864,0.04988279804179378
TissueDopplerEVelositySeptal,-0.055612672045876374,0.04021995511557463,0.008948416851666077,-0.029495567303512833,0.06391959734217605,0.3232281292693775,-0.23100179266321563,0.01005209526507341,0.09400388419767215,-0.6766054335835567,-0.31860464677142486,1.0,0.47474469724524454,0.04226560917233444
TissueDopplerEVelosityLateral,-0.002041855553633504,-0.05419233923975896,-0.01124287463031773,-0.043366310876763486,0.019196848956311713,0.13093657673410591,-0.07253648011752388,0.02026685803579584,0.1357251519406297,-0.2544058013024721,-0.6685103017864,0.47474469724524454,1.0,-0.04952604262221022
days_echo_to_dialysis,0.03579590716364337,0.14605805795275936,-0.025940133941375638,-0.029725397684549428,0.13758996135691418,0.06634998889341902,-0.05338639396478921,-0.007513633175494564,0.003193051077023456,-0.033899713621604426,0.04988279804179378,0.04226560917233444,-0.04952604262221022,1.0
