variable,type,group0_n,group0_median,group0_q1,group0_q3,group0_pct_missing,group1_n,group1_median,group1_q1,group1_q3,group1_pct_missing,group0_n_pos,group0_pct_pos,group1_n_pos,group1_pct_pos,level,group,n,pct_of_nonmissing
AgeAtFirstHFDate,continuous,378.0,69.39,62.0,77.248,0.0,239.0,74.76,67.0,82.343,0.0,,,,,,,,
creatinine-numeric result,continuous,377.0,5.41,4.13,6.84,0.3,239.0,4.49,3.15,5.925,0.0,,,,,,,,
albumin-numeric result,continuous,377.0,3.2,2.8,3.5,0.3,239.0,3.0,2.6,3.3,0.0,,,,,,,,
hb-numeric result,continuous,344.0,9.9,8.8,11.1,9.0,207.0,9.4,8.5,10.8,13.4,,,,,,,,
crp-numeric result,continuous,358.0,29.595,9.752,89.502,5.3,234.0,53.495,22.03,101.798,2.1,,,,,,,,
LV_EF,continuous,376.0,55.0,38.0,60.0,0.5,237.0,45.0,28.0,60.0,0.8,,,,,,,,
LeftVentricleEstimatedMassIndex,continuous,347.0,113.0,96.0,135.5,8.2,209.0,116.0,97.0,140.0,12.6,,,,,,,,
EstimatedSysPAPressure,continuous,296.0,48.0,38.0,60.0,21.7,216.0,50.0,40.0,62.0,9.6,,,,,,,,
MitralInflowPeakEWave,continuous,345.0,102.0,79.82,124.0,8.7,213.0,105.0,87.0,124.0,10.9,,,,,,,,
TissueDopplerEERatioSeptal,continuous,314.0,18.875,13.955,25.0,16.9,187.0,20.8,16.09,27.375,21.8,,,,,,,,
TissueDopplerEERatioLateral,continuous,316.0,14.395,10.86,18.423,16.4,185.0,13.46,11.25,19.82,22.6,,,,,,,,
TissueDopplerEVelositySeptal,continuous,318.0,5.11,4.098,6.31,15.9,191.0,5.0,3.84,6.35,20.1,,,,,,,,
TissueDopplerEVelosityLateral,continuous,320.0,6.96,5.438,8.21,15.3,189.0,7.21,5.43,9.0,20.9,,,,,,,,
days_echo_to_dialysis,continuous,378.0,-65.5,-219.75,-2.25,0.0,239.0,-92.0,-231.5,-9.0,0.0,,,,,,,,
MI_binary,binary,,,,,,,,,,,119.0,31.5,69.0,28.9,,,,
CABG_binary,binary,,,,,,,,,,,71.0,18.8,56.0,23.4,,,,
IHD_binary,binary,,,,,,,,,,,231.0,61.1,149.0,62.3,,,,
AFIB_binary,binary,,,,,,,,,,,158.0,41.8,132.0,55.2,,,,
HTN_binary,binary,,,,,,,,,,,331.0,87.6,182.0,76.2,,,,
Diabetes mellitus_binary,binary,,,,,,,,,,,243.0,64.3,146.0,61.1,,,,
COPD_binary,binary,,,,,,,,,,,65.0,17.2,36.0,15.1,,,,
m/f,categorical,,,,,,,,,,,,,,,m,group0,261.0,69.2
m/f,categorical,,,,,,,,,,,,,,,f,group0,116.0,30.8
m/f,categorical,,,,,,,,,,,,,,,m,group1,165.0,69.0
m/f,categorical,,,,,,,,,,,,,,,f,group1,74.0,31.0
HD/PD,categorical,,,,,,,,,,,,,,,HD,group0,295.0,78.0
HD/PD,categorical,,,,,,,,,,,,,,,PD,group0,83.0,22.0
HD/PD,categorical,,,,,,,,,,,,,,,HD,group1,195.0,81.6
HD/PD,categorical,,,,,,,,,,,,,,,PD,group1,44.0,18.4
LACavitySize,categorical,,,,,,,,,,,,,,,Mildly dilated,group0,196.0,56.2
LACavitySize,categorical,,,,,,,,,,,,,,,Moderately dilated,group0,90.0,25.8
LACavitySize,categorical,,,,,,,,,,,,,,,Normal,group0,46.0,13.2
LACavitySize,categorical,,,,,,,,,,,,,,,Severely dilated,group0,17.0,4.9
LACavitySize,categorical,,,,,,,,,,,,,,,Mildly dilated,group1,116.0,50.7
LACavitySize,categorical,,,,,,,,,,,,,,,Moderately dilated,group1,75.0,32.8
LACavitySize,categorical,,,,,,,,,,,,,,,Severely dilated,group1,21.0,9.2
LACavitySize,categorical,,,,,,,,,,,,,,,Normal,group1,17.0,7.4
ECHO_SPAP,categorical,,,,,,,,,,,,,,,Mildly increased,group0,82.0,28.4
ECHO_SPAP,categorical,,,,,,,,,,,,,,,Severely increased,group0,78.0,27.0
ECHO_SPAP,categorical,,,,,,,,,,,,,,,Moderately increased,group0,73.0,25.3
ECHO_SPAP,categorical,,,,,,,,,,,,,,,Normal,group0,56.0,19.4
ECHO_SPAP,categorical,,,,,,,,,,,,,,,Severely increased,group1,71.0,33.5
ECHO_SPAP,categorical,,,,,,,,,,,,,,,Moderately increased,group1,60.0,28.3
ECHO_SPAP,categorical,,,,,,,,,,,,,,,Mildly increased,group1,47.0,22.2
ECHO_SPAP,categorical,,,,,,,,,,,,,,,Normal,group1,34.0,16.0
mitral_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Mild (I),group0,138.0,39.4
mitral_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Trivial,group0,89.0,25.4
mitral_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Moderate-to-Severe,group0,65.0,18.6
mitral_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Mild-to-mod,group0,58.0,16.6
mitral_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Mild (I),group1,83.0,37.6
mitral_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Moderate-to-Severe,group1,54.0,24.4
mitral_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Trivial,group1,43.0,19.5
mitral_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Mild-to-mod,group1,41.0,18.6
tricuspid_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Trivial,group0,125.0,36.2
tricuspid_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Mild (I),group0,107.0,31.0
tricuspid_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Moderate-to-Severe,group0,59.0,17.1
tricuspid_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Mild-to-mod,group0,54.0,15.7
tricuspid_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Mild (I),group1,80.0,35.1
tricuspid_regurgitation_clin_grouped,categorical,,,,,,,,,,,,,,,Moderate-to-Severe,group1,80.0,35.1
