model,term,label,IRR,CI_lo,CI_hi,p_value,sig,N,total_hosp
Model0_unadjusted,Intercept,reference,1.541,0.0,1.9029265549070408e+79,0.9963,,645,1178
Model0_unadjusted,cluster_cat[T.1],C1,2.066,0.0,1.0432639502123127e+108,0.9954,,645,1178
Model0_unadjusted,cluster_cat[T.2],C2,1.882,0.0,2.87921108993535e+102,0.9958,,645,1178
Model1_GFR,Intercept,reference,0.501,0.0,inf,0.9993,,645,1178
Model1_GFR,cluster_cat[T.1],C1,1.283,0.0,3.8230162596676205e+178,0.9991,,645,1178
Model1_GFR,cluster_cat[T.2],C2,1.164,0.0,2.885188826736111e+117,0.9991,,645,1178
Model1_GFR,AgeAtFirstHFDate,AgeAtFirstHFDate,1.031,0.0,40902.869,0.9954,,645,1178
Model1_GFR,LV_EF,LV_EF,0.987,0.0,60172.403,0.9982,,645,1178
Model1_GFR,albumin_numeric_result,albumin_numeric_result,1.056,0.0,5.726634090972934e+80,0.9995,,645,1178
Model1_GFR,hb_numeric_result,hb_numeric_result,0.975,0.0,1.2797510626869134e+27,0.9994,,645,1178
Model1_GFR,AFIB_binary,AFIB_binary,1.433,0.0,6.625356435051704e+90,0.9973,,645,1178
Model1_GFR,sbp_numeric_result,sbp_numeric_result,0.998,0.007,136.654,0.9992,,645,1178
Model1_GFR,GFR,GFR,1.004,0.0,2820.558,0.9993,,645,1178
Model2_creatinine,Intercept,reference,0.552,0.0,inf,0.9993,,645,1178
Model2_creatinine,cluster_cat[T.1],C1,1.399,0.0,4.0807553114395136e+180,0.9987,,645,1178
Model2_creatinine,cluster_cat[T.2],C2,1.263,0.0,5.752215032834156e+122,0.9987,,645,1178
Model2_creatinine,AgeAtFirstHFDate,AgeAtFirstHFDate,1.029,0.0,19884.283,0.9954,,645,1178
Model2_creatinine,LV_EF,LV_EF,0.987,0.0,62135.767,0.9982,,645,1178
Model2_creatinine,albumin_numeric_result,albumin_numeric_result,1.055,0.0,1.0417709668042716e+80,0.9995,,645,1178
Model2_creatinine,hb_numeric_result,hb_numeric_result,0.97,0.0,1.736479114643522e+27,0.9992,,645,1178
Model2_creatinine,AFIB_binary,AFIB_binary,1.465,0.0,7.340330046048907e+89,0.9971,,645,1178
Model2_creatinine,sbp_numeric_result,sbp_numeric_result,0.997,0.007,141.398,0.9992,,645,1178
Model2_creatinine,creatinine_numeric_result,creatinine_numeric_result,1.024,0.0,5.225469658462733e+19,0.9992,,645,1178
Model3_extended,Intercept,reference,0.365,0.0,inf,0.999,,645,1178
Model3_extended,cluster_cat[T.1],C1,1.6,0.0,1.684610449355186e+187,0.9983,,645,1178
Model3_extended,cluster_cat[T.2],C2,1.23,0.0,1.575713748127902e+118,0.9988,,645,1178
Model3_extended,AgeAtFirstHFDate,AgeAtFirstHFDate,1.033,0.0,45733.705,0.9953,,645,1178
Model3_extended,LV_EF,LV_EF,0.989,0.0,59638.263,0.9984,,645,1178
Model3_extended,albumin_numeric_result,albumin_numeric_result,1.029,0.0,6.164690106962139e+81,0.9998,,645,1178
Model3_extended,hb_numeric_result,hb_numeric_result,0.99,0.0,7.641693639118243e+27,0.9997,,645,1178
Model3_extended,AFIB_binary,AFIB_binary,1.336,0.0,1.6664337960045923e+93,0.9979,,645,1178
Model3_extended,sbp_numeric_result,sbp_numeric_result,0.998,0.008,128.532,0.9994,,645,1178
Model3_extended,GFR,GFR,1.006,0.0,15502.595,0.999,,645,1178
Model3_extended,ischemic_burden,ischemic_burden,0.848,0.0,6.855588014545907e+48,0.9977,,645,1178
Model3_extended,HD_binary,HD_binary,1.103,0.0,1.4995371477694129e+130,0.9995,,645,1178
