step,method,term,label,IRR,CI_lo,CI_hi,p_value,sig
Step1_cluster_only,NB2_MLE,cluster_cat[T.1],C1,2.066,0.0,1.0432639502123127e+108,0.9954,
Step1_cluster_only,NB2_MLE,cluster_cat[T.2],C2,1.882,0.0,2.87921108993535e+102,0.9958,
Step2_age_ef,NB2_MLE,cluster_cat[T.1],C1,1.328,0.0,1.3892209645786437e+171,0.9989,
Step2_age_ef,NB2_MLE,cluster_cat[T.2],C2,1.296,0.0,1.2359447118466509e+113,0.9984,
Step3_albumin,NB2_MLE,cluster_cat[T.1],C1,1.328,0.0,1.362710748457764e+171,0.9989,
Step3_albumin,NB2_MLE,cluster_cat[T.2],C2,1.303,0.0,3.62907817507682e+113,0.9984,
Step4_sbp,NB2_MLE,cluster_cat[T.1],C1,1.258,0.0,8.454813619500835e+174,0.9991,
Step4_sbp,NB2_MLE,cluster_cat[T.2],C2,1.279,0.0,1.7648164077718467e+114,0.9985,
Step5a_creatinine,NB2_MLE,cluster_cat[T.1],C1,1.311,0.0,2.4659502308115156e+181,0.999,
Step5a_creatinine,NB2_MLE,cluster_cat[T.2],C2,1.336,0.0,5.431459512625523e+124,0.9984,
Step5b_GFR,NB2_MLE,cluster_cat[T.1],C1,1.179,0.0,1.1686932756171433e+178,0.9994,
Step5b_GFR,NB2_MLE,cluster_cat[T.2],C2,1.21,0.0,4.066187238472078e+118,0.9989,
Step6_AFIB,NB2_MLE,cluster_cat[T.1],C1,1.393,0.0,4.159541470328336e+180,0.9988,
Step6_AFIB,NB2_MLE,cluster_cat[T.2],C2,1.251,0.0,3.468195263422509e+122,0.9988,
