step,method,term,label,IRR,CI_lo,CI_hi,p_value,sig
Step1_cluster_only,NB2_MLE,Intercept,Intercept,1.541,0.0,1.9029265549070408e+79,0.9963,
Step1_cluster_only,NB2_MLE,cluster_cat[T.1],C1,2.066,0.0,1.0432639502123127e+108,0.9954,
Step1_cluster_only,NB2_MLE,cluster_cat[T.2],C2,1.882,0.0,2.87921108993535e+102,0.9958,
Step2_age_ef,NB2_MLE,Intercept,Intercept,0.365,0.0,inf,0.9982,
Step2_age_ef,NB2_MLE,cluster_cat[T.1],C1,1.328,0.0,1.3892209645786437e+171,0.9989,
Step2_age_ef,NB2_MLE,cluster_cat[T.2],C2,1.296,0.0,1.2359447118466509e+113,0.9984,
Step2_age_ef,NB2_MLE,AgeAtFirstHFDate,AgeAtFirstHFDate,1.033,0.0,15259.135,0.9947,
Step2_age_ef,NB2_MLE,LV_EF,LV_EF,0.987,0.0,52460.878,0.9982,
Step3_albumin,NB2_MLE,Intercept,Intercept,0.314,0.0,inf,0.9983,
Step3_albumin,NB2_MLE,cluster_cat[T.1],C1,1.328,0.0,1.362710748457764e+171,0.9989,
Step3_albumin,NB2_MLE,cluster_cat[T.2],C2,1.303,0.0,3.62907817507682e+113,0.9984,
Step3_albumin,NB2_MLE,AgeAtFirstHFDate,AgeAtFirstHFDate,1.033,0.0,15296.307,0.9947,
Step3_albumin,NB2_MLE,LV_EF,LV_EF,0.987,0.0,52989.891,0.9981,
Step3_albumin,NB2_MLE,albumin_numeric_result,albumin_numeric_result,1.049,0.0,4.209730331606943e+80,0.9996,
Step4_sbp,NB2_MLE,Intercept,Intercept,0.47,0.0,inf,0.999,
Step4_sbp,NB2_MLE,cluster_cat[T.1],C1,1.258,0.0,8.454813619500835e+174,0.9991,
Step4_sbp,NB2_MLE,cluster_cat[T.2],C2,1.279,0.0,1.7648164077718467e+114,0.9985,
Step4_sbp,NB2_MLE,AgeAtFirstHFDate,AgeAtFirstHFDate,1.034,0.0,17443.671,0.9946,
Step4_sbp,NB2_MLE,LV_EF,LV_EF,0.987,0.0,53058.369,0.9981,
Step4_sbp,NB2_MLE,albumin_numeric_result,albumin_numeric_result,1.044,0.0,5.542668818101217e+80,0.9996,
Step4_sbp,NB2_MLE,sbp_numeric_result,sbp_numeric_result,0.997,0.007,145.292,0.999,
Step5a_creatinine,NB2_MLE,Intercept,Intercept,0.43,0.0,inf,0.9989,
Step5a_creatinine,NB2_MLE,cluster_cat[T.1],C1,1.311,0.0,2.4659502308115156e+181,0.999,
Step5a_creatinine,NB2_MLE,cluster_cat[T.2],C2,1.336,0.0,5.431459512625523e+124,0.9984,
Step5a_creatinine,NB2_MLE,AgeAtFirstHFDate,AgeAtFirstHFDate,1.034,0.0,17772.874,0.9947,
Step5a_creatinine,NB2_MLE,LV_EF,LV_EF,0.987,0.0,53532.413,0.9981,
Step5a_creatinine,NB2_MLE,albumin_numeric_result,albumin_numeric_result,1.043,0.0,2.495254757443946e+80,0.9996,
Step5a_creatinine,NB2_MLE,sbp_numeric_result,sbp_numeric_result,0.997,0.007,147.669,0.999,
Step5a_creatinine,NB2_MLE,creatinine_numeric_result,creatinine_numeric_result,1.017,0.0,2.7544400684790403e+19,0.9994,
Step5b_GFR,NB2_MLE,Intercept,Intercept,0.358,0.0,inf,0.9987,
Step5b_GFR,NB2_MLE,cluster_cat[T.1],C1,1.179,0.0,1.1686932756171433e+178,0.9994,
Step5b_GFR,NB2_MLE,cluster_cat[T.2],C2,1.21,0.0,4.066187238472078e+118,0.9989,
Step5b_GFR,NB2_MLE,AgeAtFirstHFDate,AgeAtFirstHFDate,1.037,0.0,31856.287,0.9945,
Step5b_GFR,NB2_MLE,LV_EF,LV_EF,0.987,0.0,52716.485,0.9981,
Step5b_GFR,NB2_MLE,albumin_numeric_result,albumin_numeric_result,1.043,0.0,1.2164174961405042e+81,0.9996,
Step5b_GFR,NB2_MLE,sbp_numeric_result,sbp_numeric_result,0.997,0.007,141.376,0.999,
Step5b_GFR,NB2_MLE,GFR,GFR,1.006,0.0,2933.697,0.9988,
Step6_AFIB,NB2_MLE,Intercept,Intercept,0.393,0.0,inf,0.9988,
Step6_AFIB,NB2_MLE,cluster_cat[T.1],C1,1.393,0.0,4.159541470328336e+180,0.9988,
Step6_AFIB,NB2_MLE,cluster_cat[T.2],C2,1.251,0.0,3.468195263422509e+122,0.9988,
Step6_AFIB,NB2_MLE,AgeAtFirstHFDate,AgeAtFirstHFDate,1.03,0.0,18369.456,0.9953,
Step6_AFIB,NB2_MLE,LV_EF,LV_EF,0.988,0.0,58709.529,0.9983,
Step6_AFIB,NB2_MLE,albumin_numeric_result,albumin_numeric_result,1.048,0.0,1.1567229836399695e+80,0.9996,
Step6_AFIB,NB2_MLE,sbp_numeric_result,sbp_numeric_result,0.997,0.007,139.849,0.9992,
Step6_AFIB,NB2_MLE,creatinine_numeric_result,creatinine_numeric_result,1.022,0.0,3.805772527759507e+19,0.9993,
Step6_AFIB,NB2_MLE,AFIB_binary,AFIB_binary,1.461,0.0,5.204905248651952e+89,0.9971,
