outcome_family,variable,predictor_role,term,contrast,variable_type,coding,reference_level,n_model,events_or_total_count,effect_measure,estimate,ci95_low,ci95_high,p_value,raw_beta,raw_beta_ci95_low,raw_beta_ci95_high,nb_alpha_screening_fixed,q_value_bh_within_outcome,abs_log_effect
hospitalization_negative_binomial,AgeAtFirstHFDate,main_candidate,AgeAtFirstHFDate__z,per 1 SD increase,continuous,continuous_per_1SD,,644,1177,IRR,1.3740809906498856,1.2407931990773589,1.5216867486615353,1.0325513510089603e-09,0.3177851372229932,0.21575085178631762,0.41981942265966876,1.0,4.2334605391367376e-08,0.3177851372229932
hospitalization_negative_binomial,TissueDopplerEERatioSeptal,main_candidate,TissueDopplerEERatioSeptal__z,per 1 SD increase,continuous,continuous_per_1SD,,522,968,IRR,1.3647258704360754,1.221197222858948,1.5251235972165533,4.144314584240066e-08,0.31095358094901776,0.19983170776770315,0.4220754541303324,1.0,8.495844897692135e-07,0.31095358094901776
hospitalization_negative_binomial,MitralInflowPeakEWave,main_candidate,MitralInflowPeakEWave__z,per 1 SD increase,continuous,continuous_per_1SD,,581,1099,IRR,1.3162750782383992,1.1850465352390256,1.4620354813678607,2.921334435125563e-07,0.27480583707725204,0.16978204405994204,0.37982963009456205,1.0,3.3761840586908243e-06,0.27480583707725204
hospitalization_negative_binomial,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Trivial,Trivial vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),644,1177,IRR,0.5139799347854574,0.39809545109386585,0.6635980708550571,3.293838106039829e-07,-0.6655710516713289,-0.9210634755825561,-0.41007862776010173,1.0,3.3761840586908243e-06,0.6655710516713289
hospitalization_negative_binomial,TissueDopplerEERatioLateral,main_candidate,TissueDopplerEERatioLateral__z,per 1 SD increase,continuous,continuous_per_1SD,,522,973,IRR,1.270398748515644,1.1363789392740975,1.4202242970650782,2.5809955093413967e-05,0.23933082639976724,0.12784683798041735,0.35081481481911714,1.0,0.00021164163176599451,0.23933082639976724
hospitalization_negative_binomial,TissueDopplerEVelositySeptal,main_candidate,TissueDopplerEVelositySeptal__z,per 1 SD increase,continuous,continuous_per_1SD,,530,986,IRR,0.7934927892785079,0.6985406105021948,0.901351757035761,0.00037492159845117903,-0.23131082629261734,-0.358761962387194,-0.1038596901980407,1.0,0.0025619642560830566,0.23131082629261734
hospitalization_negative_binomial,HTN_binary,main_candidate,HTN_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,644,1177,IRR,1.6150882314486363,1.230696129031321,2.1195402616704726,0.0005466689447077839,0.4793895876582563,0.20757996785223032,0.7511992074642823,1.0,0.002779370428529367,0.4793895876582563
hospitalization_negative_binomial,LV_EF,main_candidate,LV_EF__z,per 1 SD increase,continuous,continuous_per_1SD,,640,1164,IRR,0.8351767962845852,0.75362910309636,0.9255484935313036,0.0005906369934731376,-0.18011184446600678,-0.28285493770722925,-0.07736875122478433,1.0,0.002779370428529367,0.18011184446600678
hospitalization_negative_binomial,creatinine-numeric result,main_candidate,creatinine-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,643,1177,IRR,0.8364995719338116,0.7553069965830058,0.9264200345171196,0.0006101057038235196,-0.17852927029022295,-0.28063099438906836,-0.07642754619137751,1.0,0.002779370428529367,0.17852927029022295
hospitalization_negative_binomial,EstimatedSysPAPressure,main_candidate,EstimatedSysPAPressure__z,per 1 SD increase,continuous,continuous_per_1SD,,536,983,IRR,1.2115824492116105,1.0832324133223383,1.3551404234068012,0.0007813082625676008,0.19192731443678546,0.07994954640093363,0.30390508247263726,1.0,0.0032033638765271632,0.19192731443678546
hospitalization_negative_binomial,CABG_binary,main_candidate,CABG_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,1177,IRR,1.4534225478641267,1.1338471828144083,1.8630703807865967,0.003162319764730187,0.3739211529538222,0.12561643680177303,0.6222258691058714,1.0,0.011786828213994334,0.3739211529538222
hospitalization_negative_binomial,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Moderate-to-Severe,Moderate-to-Severe vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),644,1177,IRR,1.4759778760715767,1.1210693854820935,1.9432434056844197,0.005530979588119903,0.38932073695454505,0.11428303823350028,0.6643584356755898,1.0,0.018897513592743,0.38932073695454505
hospitalization_negative_binomial,Diabetes mellitus_binary,main_candidate,Diabetes mellitus_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,644,1177,IRR,0.7883959490582821,0.6365504299555992,0.9764633613315841,0.029393304484262268,-0.23775484189754087,-0.4516916340280072,-0.023818049767074523,1.0,0.09270196029651946,0.23775484189754087
hospitalization_negative_binomial,LACavitySize,main_candidate,LACavitySize__level__Severely_dilated,Severely dilated vs Mildly dilated,categorical,categorical_dummy_vs_reference,Mildly dilated,644,1177,IRR,1.5794777593543345,1.017362943229998,2.4521730508234114,0.041683757725135884,0.4570942603468974,0.01721392973355934,0.8969745909602354,1.0,0.12207386190932652,0.4570942603468974
hospitalization_negative_binomial,ECHO_SPAP,main_candidate,ECHO_SPAP__level__Moderately_increased,Moderately increased vs Severely increased,categorical,categorical_dummy_vs_reference,Severely increased,644,1177,IRR,1.312788624564181,1.0061570669968438,1.7128677314061154,0.04494281350083608,0.27215359573805903,0.006138189706044295,0.5381690017700738,1.0,0.12284369023561863,0.27215359573805903
hospitalization_negative_binomial,IHD_binary,main_candidate,IHD_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,644,1177,IRR,0.8116124299860189,0.6586204867561489,1.0001431017612674,0.050157153452094524,-0.20873235573866522,-0.4176078030005175,0.0001430915231870611,1.0,0.12510582309253557,0.20873235573866522
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__same_day,same_day vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,644,1177,IRR,0.4060575185375779,0.16292608748278828,1.0120092546769948,0.0530710310820303,-0.9012604581400093,-1.8144586320412197,0.011937715761201062,1.0,0.12510582309253557,0.9012604581400093
hospitalization_negative_binomial,HD/PD,main_candidate,HD/PD__level__PD,PD vs HD,categorical,categorical_dummy_vs_reference,HD,644,1177,IRR,1.2670009847925285,0.9950202810934963,1.613325402474281,0.05492450769916195,0.2366526786019426,-0.0049921590227360035,0.4782975162266212,1.0,0.12510582309253557,0.2366526786019426
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__after_dialysis,after_dialysis vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,644,1177,IRR,0.7474172226819091,0.5529535340940201,1.0102702493380804,0.05829042076885697,-0.2911317187363769,-0.5924813061365499,0.010217868663796092,1.0,0.1257845921854282,0.2911317187363769
hospitalization_negative_binomial,TissueDopplerEVelosityLateral,main_candidate,TissueDopplerEVelosityLateral__z,per 1 SD increase,continuous,continuous_per_1SD,,530,991,IRR,0.9009144343560606,0.7988107981580327,1.0160689113150025,0.08909035943567052,-0.10434499330184668,-0.22463115955734123,0.01594117295364786,1.0,0.18263523684312458,0.10434499330184668
hospitalization_negative_binomial,AFIB_binary,main_candidate,AFIB_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,1177,IRR,1.1882209485261876,0.9689346619243638,1.4571354271839283,0.09756254230279061,0.1724571872555481,-0.03155809771939422,0.3764724722304904,1.0,0.19047924925782928,0.1724571872555481
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_0_30d,before_0_30d vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,644,1177,IRR,1.2661932279485428,0.9503764672284895,1.686958111639878,0.10690234846720391,0.23601494078673707,-0.05089709159309774,0.5229269731665719,1.0,0.19922710396160728,0.23601494078673707
hospitalization_negative_binomial,crp-numeric result,main_candidate,crp-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,619,1137,IRR,0.9157274246567468,0.8201545702893028,1.0224374119779447,0.1174875261847562,-0.08803652992657093,-0.1982624561349891,0.022189396281847254,1.0,0.2094342858076089,0.08803652992657093
hospitalization_negative_binomial,COPD_binary,main_candidate,COPD_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,1177,IRR,1.2140253140013906,0.9285383773261884,1.5872876113966154,0.15621934882007737,0.19394154415087642,-0.074143566435911,0.4620266547376638,1.0,0.2668747209009655,0.19394154415087642
hospitalization_negative_binomial,LACavitySize,main_candidate,LACavitySize__level__Moderately_dilated,Moderately dilated vs Mildly dilated,categorical,categorical_dummy_vs_reference,Mildly dilated,644,1177,IRR,1.1790029726558124,0.9255007343171024,1.50194155227431,0.1824771935650783,0.16466914288862236,-0.0774203535414523,0.40675863931869705,1.0,0.2992625974467284,0.16466914288862236
hospitalization_negative_binomial,days_echo_to_dialysis,main_candidate,days_echo_to_dialysis__z,per 1 SD increase,continuous,continuous_per_1SD,,644,1177,IRR,0.9392775108428237,0.8494404531770726,1.0386157606166897,0.22197445964426654,-0.06264430473308166,-0.1631774366459378,0.03788882717977449,1.0,0.3500366479005742,0.06264430473308166
hospitalization_negative_binomial,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Trivial,Trivial vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),644,1177,IRR,0.8663332676956114,0.6654145615201531,1.1279184047333548,0.2865050605295655,-0.1434856087737328,-0.4073450317776461,0.12037381423018051,1.0,0.4350632400634143,0.1434856087737328
hospitalization_negative_binomial,LeftVentricleEstimatedMassIndex,main_candidate,LeftVentricleEstimatedMassIndex__z,per 1 SD increase,continuous,continuous_per_1SD,,578,1078,IRR,1.0556413284934214,0.9511393134886171,1.1716250170924012,0.3086347678266381,0.05414847654169185,-0.05009473558975686,0.15839168867314057,1.0,0.43794523026872184,0.05414847654169185
hospitalization_negative_binomial,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Mild-to-mod,Mild-to-mod vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),644,1177,IRR,0.8479752971346752,0.6168623895968286,1.165676683612707,0.30976613848275447,-0.1649037743519534,-0.48310931139956487,0.15330176269565804,1.0,0.43794523026872184,0.1649037743519534
