outcome_family,variable,variable_type,predictor_role,coding,n_input_rows,n_available_predictor,n_missing_predictor,missing_predictor_pct,missing_handling,n_model,status
hospitalization_negative_binomial,AFIB_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
hospitalization_negative_binomial,AgeAtFirstHFDate,,main_candidate,continuous_per_1SD,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
hospitalization_negative_binomial,CABG_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
hospitalization_negative_binomial,COPD_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
hospitalization_negative_binomial,Diabetes mellitus_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
hospitalization_negative_binomial,ECHO_SPAP,,main_candidate,categorical_dummy_vs_reference_complete_case,644,525,119,0.18478260869565216,variable_level_complete_case_for_predictor,525,ok
hospitalization_negative_binomial,EstimatedSysPAPressure,,main_candidate,continuous_per_1SD,644,536,108,0.16770186335403728,variable_level_complete_case_for_predictor,536,ok
hospitalization_negative_binomial,HD/PD,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
hospitalization_negative_binomial,HTN_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
hospitalization_negative_binomial,IHD_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
hospitalization_negative_binomial,LACavitySize,,main_candidate,categorical_dummy_vs_reference_complete_case,644,601,43,0.06677018633540373,variable_level_complete_case_for_predictor,601,ok
hospitalization_negative_binomial,LV_EF,,main_candidate,continuous_per_1SD,644,640,4,0.006211180124223602,variable_level_complete_case_for_predictor,640,ok
hospitalization_negative_binomial,LeftVentricleEstimatedMassIndex,,main_candidate,continuous_per_1SD,644,578,66,0.10248447204968944,variable_level_complete_case_for_predictor,578,ok
hospitalization_negative_binomial,MI_binary,,main_candidate,categorical_dummy_vs_reference_complete_case,644,644,0,0.0,variable_level_complete_case_for_predictor,644,ok
hospitalization_negative_binomial,MitralInflowPeakEWave,,main_candidate,continuous_per_1SD,644,581,63,0.09782608695652174,variable_level_complete_case_for_predictor,581,ok
hospitalization_negative_binomial,TissueDopplerEERatioLateral,,main_candidate,continuous_per_1SD,644,522,122,0.18944099378881987,variable_level_complete_case_for_predictor,522,ok
hospitalization_negative_binomial,TissueDopplerEERatioSeptal,,main_candidate,continuous_per_1SD,644,522,122,0.18944099378881987,variable_level_complete_case_for_predictor,522,ok
hospitalization_negative_binomial,TissueDopplerEVelosityLateral,,main_candidate,continuous_per_1SD,644,530,114,0.17701863354037267,variable_level_complete_case_for_predictor,530,ok
hospitalization_negative_binomial,TissueDopplerEVelositySeptal,,main_candidate,continuous_per_1SD,644,530,114,0.17701863354037267,variable_level_complete_case_for_predictor,530,ok
