outcome_family,variable,predictor_role,term,contrast,variable_type,coding,reference_level,n_model,events_or_total_count,effect_measure,estimate,ci95_low,ci95_high,p_value,raw_beta,raw_beta_ci95_low,raw_beta_ci95_high,n_input_rows,n_available_predictor,n_missing_predictor,missing_predictor_pct,missing_handling,nb_alpha_screening_fixed,q_value_bh_within_outcome,abs_log_effect
hospitalization_negative_binomial,AgeAtFirstHFDate,main_candidate,AgeAtFirstHFDate__z,per 1 SD increase,continuous,continuous_per_1SD,,644,1177,IRR,1.3740809906498856,1.2407931990773589,1.5216867486615353,1.0325513510089603e-09,0.3177851372229932,0.21575085178631762,0.41981942265966876,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,4.2334605391367376e-08,0.3177851372229932
hospitalization_negative_binomial,TissueDopplerEERatioSeptal,main_candidate,TissueDopplerEERatioSeptal__z,per 1 SD increase,continuous,continuous_per_1SD,,522,968,IRR,1.3647258704360754,1.221197222858948,1.5251235972165533,4.144314584240066e-08,0.31095358094901776,0.19983170776770315,0.4220754541303324,644,522,122,0.18944099378881987,variable_level_complete_case_for_predictor,1.0,8.495844897692135e-07,0.31095358094901776
hospitalization_negative_binomial,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Trivial,Trivial vs Mild (I),categorical,categorical_dummy_vs_reference_complete_case,Mild (I),599,1079,IRR,0.4868506172756897,0.3723725728950204,0.6365225067436476,1.4182311329360915e-07,-0.7197979436611033,-0.9878603858752149,-0.45173550144699165,644,599,45,0.06987577639751552,variable_level_complete_case_for_predictor,1.0,1.9382492150126583e-06,0.7197979436611033
hospitalization_negative_binomial,MitralInflowPeakEWave,main_candidate,MitralInflowPeakEWave__z,per 1 SD increase,continuous,continuous_per_1SD,,581,1099,IRR,1.3162750782383992,1.1850465352390256,1.4620354813678607,2.921334435125563e-07,0.27480583707725204,0.16978204405994204,0.37982963009456205,644,581,63,0.09782608695652174,variable_level_complete_case_for_predictor,1.0,2.994367796003702e-06,0.27480583707725204
hospitalization_negative_binomial,TissueDopplerEERatioLateral,main_candidate,TissueDopplerEERatioLateral__z,per 1 SD increase,continuous,continuous_per_1SD,,522,973,IRR,1.270398748515644,1.1363789392740975,1.4202242970650782,2.5809955093413967e-05,0.23933082639976724,0.12784683798041735,0.35081481481911714,644,522,122,0.18944099378881987,variable_level_complete_case_for_predictor,1.0,0.00021164163176599451,0.23933082639976724
hospitalization_negative_binomial,TissueDopplerEVelositySeptal,main_candidate,TissueDopplerEVelositySeptal__z,per 1 SD increase,continuous,continuous_per_1SD,,530,986,IRR,0.7934927892785079,0.6985406105021948,0.901351757035761,0.00037492159845117903,-0.23131082629261734,-0.358761962387194,-0.1038596901980407,644,530,114,0.17701863354037267,variable_level_complete_case_for_predictor,1.0,0.0025619642560830566,0.23131082629261734
hospitalization_negative_binomial,HTN_binary,main_candidate,HTN_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference_complete_case,1,644,1177,IRR,1.6150882314486363,1.230696129031321,2.1195402616704726,0.0005466689447077839,0.4793895876582563,0.20757996785223032,0.7511992074642823,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.002779370428529367,0.4793895876582563
hospitalization_negative_binomial,LV_EF,main_candidate,LV_EF__z,per 1 SD increase,continuous,continuous_per_1SD,,640,1164,IRR,0.8351767962845852,0.75362910309636,0.9255484935313036,0.0005906369934731376,-0.18011184446600678,-0.28285493770722925,-0.07736875122478433,644,640,4,0.006211180124223602,variable_level_complete_case_for_predictor,1.0,0.002779370428529367,0.18011184446600678
hospitalization_negative_binomial,creatinine-numeric result,main_candidate,creatinine-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,643,1177,IRR,0.8364995719338116,0.7553069965830058,0.9264200345171196,0.0006101057038235196,-0.17852927029022295,-0.28063099438906836,-0.07642754619137751,644,643,1,0.0015527950310559005,variable_level_complete_case_for_predictor,1.0,0.002779370428529367,0.17852927029022295
hospitalization_negative_binomial,EstimatedSysPAPressure,main_candidate,EstimatedSysPAPressure__z,per 1 SD increase,continuous,continuous_per_1SD,,536,983,IRR,1.2115824492116105,1.0832324133223383,1.3551404234068012,0.0007813082625676008,0.19192731443678546,0.07994954640093363,0.30390508247263726,644,536,108,0.16770186335403728,variable_level_complete_case_for_predictor,1.0,0.0032033638765271632,0.19192731443678546
hospitalization_negative_binomial,CABG_binary,main_candidate,CABG_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference_complete_case,0,644,1177,IRR,1.4534225478641267,1.1338471828144083,1.8630703807865967,0.003162319764730187,0.3739211529538222,0.12561643680177303,0.6222258691058714,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.011786828213994334,0.3739211529538222
hospitalization_negative_binomial,ECHO_SPAP,main_candidate,ECHO_SPAP__level__Normal,Normal vs Severely increased,categorical,categorical_dummy_vs_reference_complete_case,Severely increased,525,962,IRR,0.6286108845030994,0.4491741295937061,0.879729303362145,0.0067850676145036586,-0.4642428393007167,-0.8003446499542002,-0.1281410286472332,644,525,119,0.18478260869565216,variable_level_complete_case_for_predictor,1.0,0.022010279083528924,0.4642428393007167
hospitalization_negative_binomial,ECHO_SPAP,main_candidate,ECHO_SPAP__level__Mildly_increased,Mildly increased vs Severely increased,categorical,categorical_dummy_vs_reference_complete_case,Severely increased,525,962,IRR,0.6545739757215189,0.48112114065200645,0.8905596813127459,0.006978868977704293,-0.4237706737066937,-0.7316361889183101,-0.11590515849507727,644,525,119,0.18478260869565216,variable_level_complete_case_for_predictor,1.0,0.022010279083528924,0.4237706737066937
hospitalization_negative_binomial,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Moderate-to-Severe,Moderate-to-Severe vs Mild (I),categorical,categorical_dummy_vs_reference_complete_case,Mild (I),599,1079,IRR,1.3980715513834998,1.0495291244694056,1.8623628608458342,0.021999238857274755,0.33509382374904184,0.048341610698083126,0.6218460368000005,644,599,45,0.06987577639751552,variable_level_complete_case_for_predictor,1.0,0.06442634236773322,0.33509382374904184
hospitalization_negative_binomial,Diabetes mellitus_binary,main_candidate,Diabetes mellitus_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference_complete_case,1,644,1177,IRR,0.7883959490582821,0.6365504299555992,0.9764633613315841,0.029393304484262268,-0.23775484189754087,-0.4516916340280072,-0.023818049767074523,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.0803416989236502,0.23775484189754087
hospitalization_negative_binomial,IHD_binary,main_candidate,IHD_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference_complete_case,1,644,1177,IRR,0.8116124299860189,0.6586204867561489,1.0001431017612674,0.050157153452094524,-0.20873235573866522,-0.4176078030005175,0.0001430915231870611,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.12510582309253557,0.20873235573866522
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__same_day,same_day vs before_181_365d,categorical,categorical_dummy_vs_reference_complete_case,before_181_365d,644,1177,IRR,0.4060575185375779,0.16292608748278828,1.0120092546769948,0.0530710310820303,-0.9012604581400093,-1.8144586320412197,0.011937715761201062,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.12510582309253557,0.9012604581400093
