outcome_family,variable,predictor_role,status,reason
one_year_mortality_logistic,AgeAtFirstHFDate,main_candidate,ok,
one_year_mortality_logistic,albumin-numeric result,main_candidate,ok,
one_year_mortality_logistic,creatinine-numeric result,main_candidate,ok,
one_year_mortality_logistic,crp-numeric result,main_candidate,ok,
one_year_mortality_logistic,hb-numeric result,main_candidate,ok,
one_year_mortality_logistic,LV_EF,main_candidate,ok,
one_year_mortality_logistic,LeftVentricleEstimatedMassIndex,main_candidate,ok,
one_year_mortality_logistic,MitralInflowPeakEWave,main_candidate,ok,
one_year_mortality_logistic,TissueDopplerEERatioLateral,main_candidate,ok,
one_year_mortality_logistic,TissueDopplerEERatioSeptal,main_candidate,ok,
one_year_mortality_logistic,TissueDopplerEVelosityLateral,main_candidate,ok,
one_year_mortality_logistic,TissueDopplerEVelositySeptal,main_candidate,ok,
one_year_mortality_logistic,EstimatedSysPAPressure,main_candidate,ok,
one_year_mortality_logistic,days_echo_to_dialysis,main_candidate,ok,
one_year_mortality_logistic,AFIB_binary,main_candidate,ok,
one_year_mortality_logistic,CABG_binary,main_candidate,ok,
one_year_mortality_logistic,COPD_binary,main_candidate,ok,
one_year_mortality_logistic,Diabetes mellitus_binary,main_candidate,ok,
one_year_mortality_logistic,HD/PD,main_candidate,ok,
one_year_mortality_logistic,HTN_binary,main_candidate,ok,
one_year_mortality_logistic,IHD_binary,main_candidate,ok,
one_year_mortality_logistic,MI_binary,main_candidate,ok,
one_year_mortality_logistic,m/f,main_candidate,ok,
one_year_mortality_logistic,LACavitySize,main_candidate,ok,
one_year_mortality_logistic,ECHO_SPAP,main_candidate,ok,
one_year_mortality_logistic,tricuspid_regurgitation_clin_grouped,main_candidate,ok,
one_year_mortality_logistic,mitral_regurgitation_clin_grouped,main_candidate,ok,
one_year_mortality_logistic,echo_to_dialysis_timing_category,timing_sensitivity_only,ok,
survival_cox,AgeAtFirstHFDate,main_candidate,ok,
survival_cox,albumin-numeric result,main_candidate,ok,
survival_cox,creatinine-numeric result,main_candidate,ok,
survival_cox,crp-numeric result,main_candidate,ok,
survival_cox,hb-numeric result,main_candidate,ok,
survival_cox,LV_EF,main_candidate,ok,
survival_cox,LeftVentricleEstimatedMassIndex,main_candidate,ok,
survival_cox,MitralInflowPeakEWave,main_candidate,ok,
survival_cox,TissueDopplerEERatioLateral,main_candidate,ok,
survival_cox,TissueDopplerEERatioSeptal,main_candidate,ok,
survival_cox,TissueDopplerEVelosityLateral,main_candidate,ok,
survival_cox,TissueDopplerEVelositySeptal,main_candidate,ok,
survival_cox,EstimatedSysPAPressure,main_candidate,ok,
survival_cox,days_echo_to_dialysis,main_candidate,ok,
survival_cox,AFIB_binary,main_candidate,ok,
survival_cox,CABG_binary,main_candidate,ok,
survival_cox,COPD_binary,main_candidate,ok,
survival_cox,Diabetes mellitus_binary,main_candidate,ok,
survival_cox,HD/PD,main_candidate,ok,
survival_cox,HTN_binary,main_candidate,ok,
survival_cox,IHD_binary,main_candidate,ok,
survival_cox,MI_binary,main_candidate,ok,
survival_cox,m/f,main_candidate,ok,
survival_cox,LACavitySize,main_candidate,ok,
survival_cox,ECHO_SPAP,main_candidate,ok,
survival_cox,tricuspid_regurgitation_clin_grouped,main_candidate,ok,
survival_cox,mitral_regurgitation_clin_grouped,main_candidate,ok,
survival_cox,echo_to_dialysis_timing_category,timing_sensitivity_only,ok,
hospitalization_negative_binomial,AgeAtFirstHFDate,main_candidate,ok,
hospitalization_negative_binomial,albumin-numeric result,main_candidate,ok,
hospitalization_negative_binomial,creatinine-numeric result,main_candidate,ok,
hospitalization_negative_binomial,crp-numeric result,main_candidate,ok,
hospitalization_negative_binomial,hb-numeric result,main_candidate,ok,
hospitalization_negative_binomial,LV_EF,main_candidate,ok,
hospitalization_negative_binomial,LeftVentricleEstimatedMassIndex,main_candidate,ok,
hospitalization_negative_binomial,MitralInflowPeakEWave,main_candidate,ok,
hospitalization_negative_binomial,TissueDopplerEERatioLateral,main_candidate,ok,
hospitalization_negative_binomial,TissueDopplerEERatioSeptal,main_candidate,ok,
hospitalization_negative_binomial,TissueDopplerEVelosityLateral,main_candidate,ok,
hospitalization_negative_binomial,TissueDopplerEVelositySeptal,main_candidate,ok,
hospitalization_negative_binomial,EstimatedSysPAPressure,main_candidate,ok,
hospitalization_negative_binomial,days_echo_to_dialysis,main_candidate,ok,
hospitalization_negative_binomial,AFIB_binary,main_candidate,ok,
hospitalization_negative_binomial,CABG_binary,main_candidate,ok,
hospitalization_negative_binomial,COPD_binary,main_candidate,ok,
hospitalization_negative_binomial,Diabetes mellitus_binary,main_candidate,ok,
hospitalization_negative_binomial,HD/PD,main_candidate,ok,
hospitalization_negative_binomial,HTN_binary,main_candidate,ok,
hospitalization_negative_binomial,IHD_binary,main_candidate,ok,
hospitalization_negative_binomial,MI_binary,main_candidate,ok,
hospitalization_negative_binomial,m/f,main_candidate,ok,
hospitalization_negative_binomial,LACavitySize,main_candidate,ok,
hospitalization_negative_binomial,ECHO_SPAP,main_candidate,ok,
hospitalization_negative_binomial,tricuspid_regurgitation_clin_grouped,main_candidate,ok,
hospitalization_negative_binomial,mitral_regurgitation_clin_grouped,main_candidate,ok,
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,ok,
