variable,stage2_type,predictor_role,hospitalization_negative_binomial__min_p,hospitalization_negative_binomial__q_bh,hospitalization_negative_binomial__best_estimate,hospitalization_negative_binomial__effect_measure,one_year_mortality_logistic__min_p,one_year_mortality_logistic__q_bh,one_year_mortality_logistic__best_estimate,one_year_mortality_logistic__effect_measure,survival_cox__min_p,survival_cox__q_bh,survival_cox__best_estimate,survival_cox__effect_measure,stage3_note
AgeAtFirstHFDate,continuous,main_candidate,1.032551351008975e-09,4.233460539136797e-08,1.3740809906498856,IRR,2.6073723341551234e-07,1.0690226570036007e-05,1.6039356602924233,OR,1.828280669188732e-16,7.4959507436738e-15,1.4939096615578544,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
albumin-numeric result,continuous,main_candidate,0.6785982783547083,0.7321718266458696,0.9785072816962302,IRR,1.709497718757865e-06,2.3363135489690823e-05,0.6591719376839668,OR,0.00012556261098704976,0.0007354381500670057,0.8467397098658673,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
creatinine-numeric result,continuous,main_candidate,0.0006101057038235216,0.0027793704285293762,0.8364995719338117,IRR,5.90956521059733e-07,1.2114608681724526e-05,0.634969947861666,OR,6.41722406162073e-07,8.770206217548331e-06,0.7894814180223484,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
crp-numeric result,continuous,main_candidate,0.11748752618475587,0.20070785723229126,0.9157274246567468,IRR,0.059319603233735474,0.15318298191751778,1.1716370129830724,OR,0.20673667876079183,0.3027215653283023,1.0573932028676574,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
hb-numeric result,continuous,main_candidate,0.43708657667026485,0.5780822465638986,0.9588853494231295,IRR,0.0998329252601782,0.2273972186481837,0.8628874994682599,OR,0.6824683557503426,0.7438422678459716,0.981133780156509,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
LV_EF,continuous,main_candidate,0.0005906369934731433,0.0027793704285293762,0.8351767962845849,IRR,4.876495914653298e-05,0.0003998726650015705,0.7121986178786578,OR,1.7647636544566057e-06,1.808882745818021e-05,0.8120195045457099,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
LeftVentricleEstimatedMassIndex,continuous,main_candidate,0.3086347678266381,0.4363457062376608,1.0556413284934214,IRR,0.8178125956133043,0.9062247681120399,1.020347336677077,OR,0.3133598875424818,0.4144437222336049,1.0465640633685431,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
MitralInflowPeakEWave,continuous,main_candidate,2.921334435125563e-07,2.994367796003702e-06,1.3162750782383992,IRR,0.04234511403095553,0.13788411445869225,1.1945312077438857,OR,0.0014587882306868825,0.00460079365062786,1.1602904717539435,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
TissueDopplerEERatioLateral,continuous,main_candidate,2.5809955093413967e-05,0.00021164163176599451,1.270398748515644,IRR,0.8729120421430308,0.9176767622529297,1.0148990830600306,OR,0.0009894820650995098,0.0033807303890899918,1.1737608510179802,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
TissueDopplerEERatioSeptal,continuous,main_candidate,4.144314584240152e-08,8.495844897692312e-07,1.3647258704360754,IRR,0.008199170642287508,0.039080414359377896,1.2775174304720878,OR,3.867259231562687e-08,7.927881424703509e-07,1.2973333292642035,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
TissueDopplerEVelosityLateral,continuous,main_candidate,0.08909035943567052,0.1818211015642916,0.9009144343560606,IRR,0.043719353364951204,0.13788411445869225,1.2020477829342469,OR,0.9479881179515866,0.9479881179515864,0.9965238383002154,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
TissueDopplerEVelositySeptal,continuous,main_candidate,0.00037492159845117735,0.0025619642560830453,0.793492789278508,IRR,0.3916552317762555,0.6176101731856337,0.9230826230642325,OR,0.0007328021630126654,0.002731353516683571,0.8125681961729595,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
EstimatedSysPAPressure,continuous,main_candidate,0.0007813082625676058,0.0032033638765271836,1.21158244921161,IRR,0.05369780098202993,0.15318298191751778,1.1896307060868814,OR,0.0002144021649307403,0.0010988110952700441,1.1987226152514419,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
days_echo_to_dialysis,continuous,main_candidate,0.22197445964426543,0.33707232760795863,0.9392775108428236,IRR,0.1975212654073243,0.3521031252913172,0.8992664460036706,OR,0.04279839809044578,0.08355877722420366,0.9146574125931438,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
AFIB_binary,categorical,main_candidate,0.09756254230279061,0.1818211015642916,1.1882209485261876,IRR,0.0011746597982504263,0.006880150246895354,1.7177333491063156,OR,7.296810566774125e-05,0.0004986153887295652,1.4258676607726395,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
CABG_binary,categorical,main_candidate,0.0031623197647301818,0.011786828213994315,1.4534225478641267,IRR,0.16492472340698128,0.3073597118039197,1.3231740167782562,OR,0.114665970874616,0.20636740341735402,1.1863021231847226,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
COPD_binary,categorical,main_candidate,0.15621934882007732,0.2561997320649268,1.2140253140013906,IRR,0.48572085599999093,0.673127118958319,0.8539598332702085,OR,0.03276938810941097,0.0707128901308342,1.2859333221856817,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
Diabetes mellitus_binary,categorical,main_candidate,0.029393304484262243,0.08034169892365013,0.7883959490582821,IRR,0.4228557589342582,0.6421143006038735,1.1465753424657465,OR,0.6682134901457848,0.7438422678459716,0.9608760156127872,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
HD/PD,categorical,main_candidate,0.054924507699162003,0.12510582309253568,1.2670009847925283,IRR,0.2888822217425815,0.49350712881024333,0.8019771393266,OR,0.14482113741379138,0.22846319297828352,1.1728106543872658,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
HTN_binary,categorical,main_candidate,0.0005466689447077856,0.0027793704285293762,1.6150882314486363,IRR,0.0002772213934758945,0.001894346188751946,2.2056347907410774,OR,0.03819361575652644,0.07829691230087919,1.2774974278941287,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
IHD_binary,categorical,main_candidate,0.05015715345209439,0.12510582309253568,0.8116124299860188,IRR,0.7592345625324497,0.9002119142442206,0.9491850431447791,OR,0.0030521462443027923,0.007821124751025905,0.7570243575532403,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
MI_binary,categorical,main_candidate,0.9341237954936558,0.9574768903809971,0.990738447522285,IRR,0.4925320382621846,0.673127118958319,0.8833910034602201,OR,0.3769062272640724,0.46827743387354454,1.0874920242329746,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
m/f,categorical,main_candidate,0.4142862549657166,0.5661912151198127,1.0957637633800346,IRR,0.959668646633253,0.959668646633253,1.009090909090909,OR,0.6894147848328517,0.7438422678459716,1.0393283066039294,HR,"Stage 3 does not select variables. Use in Stage 4 with clinical overlap, EPV and missingness."
