outcome,model,predictor,type,term,level,reference_level,contrast,effect_label,effect,ci_lower,ci_upper,beta,se,pvalue,qvalue,n,events,person_years,n_nonmissing,level_count,ref_count,mean,sd,status
one_year_mortality,logistic,AFIB_binary,categorical,AFIB_binary__1,1,0,1 vs 0,OR,1.7177333491068263,1.2389163698923233,2.381603738830408,0.5410056014498597,0.16672168556545397,0.0011746613152517724,0.005873306576258862,617,239,,617,290.0,327.0,,,ok
survival,cox,AFIB_binary,categorical,AFIB_binary__1,1,0,1 vs 0,HR,1.4264356563235585,1.197062246721164,1.699760131275091,0.35517878467693653,0.08944468294451413,7.159190904252317e-05,0.00041761946941471845,644,505,,644,303.0,341.0,,,ok
hospitalization,negbin,AFIB_binary,categorical,AFIB_binary__1,1,0,1 vs 0,IRR,1.1882209485261876,0.968934661924364,1.4571354271839283,0.1724571872555482,0.10409134381253371,0.09756254230279032,0.17073444902988305,644,1177,1623.4880219028064,644,303.0,341.0,,,ok
one_year_mortality,logistic,AgeAtFirstHFDate,continuous,AgeAtFirstHFDate__z,,,per 1 SD,OR,1.603935660292968,1.3399699249780705,1.9199010025553684,0.47246039660301054,0.09174312811695608,2.607395882111862e-07,9.125885587391517e-06,617,239,,617,,,70.60456345862977,11.50944552517131,ok
survival,cox,AgeAtFirstHFDate,continuous,AgeAtFirstHFDate__z,,,per 1 SD,HR,1.4943452065814602,1.3581566219733983,1.6441900442883717,0.40168812198876913,0.048755878900592166,1.7400049662610457e-16,6.09001738191366e-15,644,505,,644,,,70.56732046500738,11.566300005111662,ok
hospitalization,negbin,AgeAtFirstHFDate,continuous,AgeAtFirstHFDate__z,,,per 1 SD,IRR,1.3740809906498859,1.240793199077359,1.5216867486615353,0.3177851372229933,0.05205926549748309,1.0325513510089338e-09,3.613929728531268e-08,644,1177,1623.4880219028064,644,,,70.56732046500738,11.566300005111662,ok
one_year_mortality,logistic,CABG_binary,categorical,CABG_binary__1,1,0,1 vs 0,OR,1.3231740167782653,0.8911906405018913,1.9645510164818807,0.28003340843961005,0.20165182806992185,0.16492472617802212,0.2748745436300369,617,239,,617,127.0,490.0,,,ok
survival,cox,CABG_binary,categorical,CABG_binary__1,1,0,1 vs 0,HR,1.1861918209625344,0.9593452107843977,1.4666785431366816,0.17074802523983562,0.10829399226256,0.11486268351751325,0.18254424529125984,644,505,,644,133.0,511.0,,,ok
hospitalization,negbin,CABG_binary,categorical,CABG_binary__1,1,0,1 vs 0,IRR,1.4534225478641267,1.1338471828144083,1.8630703807865965,0.3739211529538222,0.12668840759863195,0.0031623197647301818,0.010061926524141488,644,1177,1623.4880219028064,644,133.0,511.0,,,ok
one_year_mortality,logistic,COPD_binary,categorical,COPD_binary__1,1,0,1 vs 0,OR,0.8539598332701779,0.5478677499093517,1.3310646537590298,-0.1578711199411615,0.2264583619910979,0.4857208828643945,0.5944352353425428,617,239,,617,101.0,516.0,,,ok
survival,cox,COPD_binary,categorical,COPD_binary__1,1,0,1 vs 0,HR,1.2857432273317466,1.0206697487520668,1.6196577283207227,0.25133693817447056,0.11779701655442447,0.03287190511034426,0.06391759327011384,644,505,,644,105.0,539.0,,,ok
hospitalization,negbin,COPD_binary,categorical,COPD_binary__1,1,0,1 vs 0,IRR,1.2140253140013906,0.9285383773261885,1.5872876113966154,0.19394154415087642,0.13678063102251292,0.15621934882007737,0.2485307822137595,644,1177,1623.4880219028064,644,105.0,539.0,,,ok
one_year_mortality,logistic,Diabetes mellitus_binary,categorical,Diabetes mellitus_binary__0,0,1,0 vs 1,OR,1.1465753424657532,0.8206104399261658,1.6020208274083658,0.13677953634703835,0.17065941809754342,0.4228557645577047,0.5692289138276794,617,239,,617,228.0,389.0,,,ok
survival,cox,Diabetes mellitus_binary,categorical,Diabetes mellitus_binary__0,0,1,0 vs 1,HR,0.9609889838678397,0.8006772113678239,1.1533984157457124,-0.03979233327438442,0.09311653854902635,0.669132392943802,0.7099498724930681,644,505,,644,234.0,410.0,,,ok
hospitalization,negbin,Diabetes mellitus_binary,categorical,Diabetes mellitus_binary__0,0,1,0 vs 1,IRR,0.7883959490582823,0.6365504299555993,0.9764633613315841,-0.2377548418975408,0.1091534302762563,0.029393304484262268,0.06858437712994529,644,1177,1623.4880219028064,644,234.0,410.0,,,ok
one_year_mortality,logistic,HD/PD,categorical,HD/PD__PD,PD,HD,PD vs HD,OR,0.8019771393265368,0.5333984066595773,1.2057916258697305,-0.22067517610226392,0.20807090410491513,0.28888226521613414,0.4396034470680302,617,239,,617,127.0,490.0,,,ok
survival,cox,HD/PD,categorical,HD/PD__PD,PD,HD,PD vs HD,HR,1.1725082686887756,0.9463645169992522,1.452691447585874,0.15914527350001986,0.10932483189249477,0.14547274747545672,0.2036618464656394,644,505,,644,132.0,512.0,,,ok
hospitalization,negbin,HD/PD,categorical,HD/PD__PD,PD,HD,PD vs HD,IRR,1.2670009847925283,0.9950202810934962,1.6133254024742807,0.2366526786019425,0.12329044795248395,0.054924507699162066,0.1130798687923925,644,1177,1623.4880219028064,644,132.0,512.0,,,ok
one_year_mortality,logistic,HTN_binary,categorical,HTN_binary__0,0,1,0 vs 1,OR,2.2056347907411724,1.4399216101612973,3.378534495070817,0.7910153544247586,0.2175686303780095,0.0002772214478059995,0.0016171251122016636,617,239,,617,104.0,513.0,,,ok
survival,cox,HTN_binary,categorical,HTN_binary__0,0,1,0 vs 1,HR,1.2783609163186471,1.0141045478470014,1.6114774712731148,0.24557872322104587,0.11815151748091261,0.03766271248262318,0.0693786808890427,644,505,,644,111.0,533.0,,,ok
hospitalization,negbin,HTN_binary,categorical,HTN_binary__0,0,1,0 vs 1,IRR,1.6150882314486363,1.230696129031321,2.1195402616704726,0.4793895876582563,0.1386809257466084,0.0005466689447077839,0.0023726332926470185,644,1177,1623.4880219028064,644,111.0,533.0,,,ok
one_year_mortality,logistic,IHD_binary,categorical,IHD_binary__0,0,1,0 vs 1,OR,0.949185043144775,0.6800030818454864,1.324923768999134,-0.05215151187213648,0.17015947203880236,0.7592345664395102,0.8304128070432142,617,239,,617,237.0,380.0,,,ok
survival,cox,IHD_binary,categorical,IHD_binary__0,0,1,0 vs 1,HR,0.7568871147038289,0.6295775905130223,0.9099404315485042,-0.27854115858807565,0.09396347003827998,0.0030331734941659197,0.00707740481972048,644,505,,644,248.0,396.0,,,ok
hospitalization,negbin,IHD_binary,categorical,IHD_binary__0,0,1,0 vs 1,IRR,0.8116124299860189,0.6586204867561489,1.0001431017612674,-0.2087323557386652,0.10657106401415288,0.050157153452094524,0.10971877317645677,644,1177,1623.4880219028064,644,248.0,396.0,,,ok
one_year_mortality,logistic,MI_binary,categorical,MI_binary__1,1,0,1 vs 0,OR,0.883391003460207,0.6199712037011424,1.2587353417959943,-0.1239873638649947,0.18066397474290924,0.49253205214096407,0.5944352353425428,617,239,,617,188.0,429.0,,,ok
survival,cox,MI_binary,categorical,MI_binary__1,1,0,1 vs 0,HR,1.087463250951027,0.9028527571651037,1.3098219092581445,0.08384769118079105,0.09492189199746533,0.3770560856071653,0.43989876654169285,644,505,,644,193.0,451.0,,,ok
hospitalization,negbin,MI_binary,categorical,MI_binary__1,1,0,1 vs 0,IRR,0.990738447522285,0.7945840995043739,1.2353162767932588,-0.009304707315396225,0.11256928235338781,0.9341237954936557,0.9615980247728807,644,1177,1623.4880219028064,644,193.0,451.0,,,ok
one_year_mortality,logistic,albumin-numeric result,continuous,albumin-numeric result__z,,,per 1 SD,OR,0.6591719376835354,0.5557253117725326,0.7818748475637507,-0.41677087155464143,0.08709868149505433,1.709513618754361e-06,1.994432555213421e-05,616,239,,616,,,3.0818181818181785,0.5486366897090459,ok
survival,cox,albumin-numeric result,continuous,albumin-numeric result__z,,,per 1 SD,HR,0.846642634670123,0.7776355621358676,0.9217733675558528,-0.16647659228839112,0.043378705968304405,0.00012416722354422133,0.0006208361177211067,643,505,,643,,,3.0895800933125934,0.5480071324108835,ok
hospitalization,negbin,albumin-numeric result,continuous,albumin-numeric result__z,,,per 1 SD,IRR,0.9785072816962301,0.8829435355896595,1.0844141915520231,-0.021727050481073845,0.05243309410628516,0.6785982783547081,0.719725446739842,643,1177,1619.7234770704995,643,,,3.0895800933125934,0.5480071324108835,ok
one_year_mortality,logistic,creatinine-numeric result,continuous,creatinine-numeric result__z,,,per 1 SD,OR,0.63496994786143,0.5313041764909378,0.7588625358641881,-0.4541776074118379,0.09094196559738045,5.909616280173368e-07,1.0341828490303395e-05,616,239,,616,,,5.147646103896099,2.0709265381916406,ok
survival,cox,creatinine-numeric result,continuous,creatinine-numeric result__z,,,per 1 SD,HR,0.7893403256628971,0.7191972401371677,0.8663244447361571,-0.2365577131599572,0.0474814439514198,6.289509773598674e-07,7.337761402531787e-06,643,505,,643,,,5.178149300155516,2.071707911936136,ok
hospitalization,negbin,creatinine-numeric result,continuous,creatinine-numeric result__z,,,per 1 SD,IRR,0.8364995719338116,0.7553069965830058,0.9264200345171196,-0.17852927029022297,0.05209367361043918,0.000610105703823519,0.0023726332926470185,643,1177,1619.7234770704995,643,,,5.178149300155516,2.071707911936136,ok
one_year_mortality,logistic,crp-numeric result,continuous,crp-numeric result__z,,,per 1 SD,OR,1.1716370129830775,0.9937912768475257,1.3813094582058023,0.1584019272982047,0.08399644382379205,0.0593196102868311,0.13948370699834495,592,234,,592,,,66.46537162162154,76.72029075853955,ok
survival,cox,crp-numeric result,continuous,crp-numeric result__z,,,per 1 SD,HR,1.057539386719892,0.9697652032642342,1.1532580780372204,0.0559448763699068,0.044208042764782574,0.20569540403498443,0.26664219041572057,619,485,,619,,,65.98873990306939,76.0297313802264,ok
hospitalization,negbin,crp-numeric result,continuous,crp-numeric result__z,,,per 1 SD,IRR,0.9157274246567468,0.8201545702893027,1.0224374119779445,-0.08803652992657102,0.05623875085351886,0.1174875261847558,0.1958125436412597,619,1137,1503.1403148528407,619,,,65.98873990306939,76.0297313802264,ok
one_year_mortality,logistic,hb-numeric result,continuous,hb-numeric result__z,,,per 1 SD,OR,0.8628874994681496,0.723896451045992,1.0285653917249142,-0.1474709562246219,0.08961183236179605,0.09983297828944697,0.20553848471356728,551,207,,551,,,9.969056261343002,1.8694590900996357,ok
survival,cox,hb-numeric result,continuous,hb-numeric result__z,,,per 1 SD,HR,0.9810711265492216,0.8955147336309366,1.0748014736128604,-0.01911031791742429,0.04655508338579887,0.6814477705459456,0.7099498724930681,578,450,,578,,,9.9281141868512,1.871538743770594,ok
hospitalization,negbin,hb-numeric result,continuous,hb-numeric result__z,,,per 1 SD,IRR,0.9588853494231295,0.8625431260028031,1.0659885698692926,-0.041983763463435166,0.0540246491954706,0.43708657667026396,0.5463582208378299,578,1095,1445.9739904175221,578,,,9.9281141868512,1.871538743770594,ok
one_year_mortality,logistic,m/f,categorical,m/f__f,f,m,f vs m,OR,1.009090909090909,0.7105593309913005,1.433046359956089,0.009049835519917775,0.17895872947082817,0.9596686471187139,0.9596686471187139,616,239,,616,190.0,426.0,,,ok
survival,cox,m/f,categorical,m/f__f,f,m,f vs m,HR,1.039294153749452,0.8601604573456401,1.2557335422636822,0.03854178441548032,0.09652121913308662,0.6896655904218375,0.7099498724930681,643,505,,643,196.0,447.0,,,ok
hospitalization,negbin,m/f,categorical,m/f__f,f,m,f vs m,IRR,1.0957637633800346,0.8797593143416034,1.3648030837108645,0.09145162093151699,0.1120217197932986,0.4142862549657168,0.5370377379185217,643,1177,1619.7234770704995,643,196.0,447.0,,,ok
one_year_mortality,logistic,LV_EF,continuous,LV_EF__z,,,per 1 SD,OR,0.7121986178785313,0.6046026961660912,0.838942456797694,-0.3393984487770581,0.0835654582126642,4.876506747353354e-05,0.00034135547231473474,613,237,,613,,,46.633768352365415,15.975063850410208,ok
survival,cox,LV_EF,continuous,LV_EF__z,,,per 1 SD,HR,0.811830527853132,0.7453743597925007,0.884211802157735,-0.208463670143804,0.04357479064701479,1.7180394477011723e-06,1.5032845167385258e-05,640,501,,640,,,46.73671875,15.808413159414204,ok
hospitalization,negbin,LV_EF,continuous,LV_EF__z,,,per 1 SD,IRR,0.8351767962845849,0.7536291030963596,0.9255484935313034,-0.1801118444660072,0.052420908777736294,0.0005906369934731417,0.0023726332926470185,640,1164,1615.2470910335387,640,,,46.73671875,15.808413159414204,ok
one_year_mortality,logistic,LeftVentricleEstimatedMassIndex,continuous,LeftVentricleEstimatedMassIndex__z,,,per 1 SD,OR,1.0203473366770794,0.8596411545523523,1.2110968419213872,0.02014309548430719,0.08744208352665774,0.8178125994330316,0.86737699939867,556,209,,556,,,120.05395683453237,34.89237974824059,ok
survival,cox,LeftVentricleEstimatedMassIndex,continuous,LeftVentricleEstimatedMassIndex__z,,,per 1 SD,HR,1.0465292547222722,0.9579163499186822,1.1433393751787706,0.045479217336191265,0.04514064557837592,0.31369437772920106,0.378596662776622,578,453,,578,,,119.61418685121107,34.97711466874897,ok
hospitalization,negbin,LeftVentricleEstimatedMassIndex,continuous,LeftVentricleEstimatedMassIndex__z,,,per 1 SD,IRR,1.0556413284934214,0.9511393134886172,1.171625017092401,0.05414847654169183,0.05318628962251645,0.3086347678266381,0.41546987976662825,578,1078,1512.249144421629,578,,,119.61418685121107,34.97711466874897,ok
one_year_mortality,logistic,MitralInflowPeakEWave,continuous,MitralInflowPeakEWave__z,,,per 1 SD,OR,1.194531207743949,1.006160986809408,1.418167495043722,0.17775381364081064,0.08755861305121025,0.042345129815571494,0.12751482470506567,558,213,,558,,,105.16263442227488,31.5616791271,ok
survival,cox,MitralInflowPeakEWave,continuous,MitralInflowPeakEWave__z,,,per 1 SD,HR,1.1604615040102408,1.0589346793610743,1.2717223531693629,0.14881777428231954,0.04671228232860359,0.0014433528524089646,0.0038859499872549047,581,456,,581,,,105.41368332828381,31.38803896569078,ok
hospitalization,negbin,MitralInflowPeakEWave,continuous,MitralInflowPeakEWave__z,,,per 1 SD,IRR,1.3162750782383992,1.1850465352390256,1.4620354813678607,0.27480583707725204,0.053584552494701045,2.921334435125536e-07,2.556167630734844e-06,581,1099,1479.0828199863108,581,,,105.41368332828381,31.38803896569078,ok
one_year_mortality,logistic,TissueDopplerEERatioLateral,continuous,TissueDopplerEERatioLateral__z,,,per 1 SD,OR,1.0148990830600337,0.8466909749655985,1.2165243037318871,0.014789181994085398,0.09245510676928367,0.8729120460282468,0.89858592973496,501,185,,501,,,15.735968096498933,6.914277609041933,ok
survival,cox,TissueDopplerEERatioLateral,continuous,TissueDopplerEERatioLateral__z,,,per 1 SD,HR,1.1741611469080633,1.067358099481902,1.2916512270602156,0.160553975110599,0.048657754154516696,0.000968025248183206,0.0028234069738676845,522,408,,522,,,15.797279721219855,6.947281254563327,ok
hospitalization,negbin,TissueDopplerEERatioLateral,continuous,TissueDopplerEERatioLateral__z,,,per 1 SD,IRR,1.270398748515644,1.1363789392740975,1.4202242970650785,0.2393308263997673,0.056880631123184595,2.580995509341383e-05,0.00018066968565389683,522,973,1357.5605749486654,522,,,15.797279721219855,6.947281254563327,ok
one_year_mortality,logistic,TissueDopplerEERatioSeptal,continuous,TissueDopplerEERatioSeptal__z,,,per 1 SD,OR,1.2775174304722416,1.06539622208629,1.5318721348236708,0.24491868720791835,0.09264043581955786,0.008199179205099695,0.033361329480461485,501,187,,501,,,21.388423139225672,9.392935638229607,ok
