outcome_family,variable,predictor_role,term,contrast,variable_type,coding,reference_level,n_model,events_or_total_count,effect_measure,estimate,ci95_low,ci95_high,p_value,raw_beta,raw_beta_ci95_low,raw_beta_ci95_high,nb_alpha_screening_fixed,q_value_bh_within_outcome,abs_log_effect
hospitalization_negative_binomial,AFIB_binary,main_candidate,AFIB_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,1177,IRR,1.1882209485261876,0.9689346619243638,1.4571354271839283,0.09756254230279061,0.1724571872555481,-0.03155809771939422,0.3764724722304904,1.0,0.1818211015642916,0.1724571872555481
hospitalization_negative_binomial,AgeAtFirstHFDate,main_candidate,AgeAtFirstHFDate__z,per 1 SD increase,continuous,continuous_per_1SD,,644,1177,IRR,1.3740809906498856,1.2407931990773589,1.521686748661535,1.032551351008975e-09,0.31778513722299306,0.21575085178631753,0.4198194226596686,1.0,4.233460539136797e-08,0.31778513722299306
hospitalization_negative_binomial,CABG_binary,main_candidate,CABG_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,1177,IRR,1.4534225478641267,1.1338471828144083,1.8630703807865965,0.0031623197647301818,0.3739211529538222,0.1256164368017731,0.6222258691058713,1.0,0.011786828213994315,0.3739211529538222
hospitalization_negative_binomial,COPD_binary,main_candidate,COPD_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,1177,IRR,1.2140253140013906,0.9285383773261885,1.5872876113966154,0.15621934882007732,0.19394154415087644,-0.07414356643591091,0.4620266547376638,1.0,0.2561997320649268,0.19394154415087644
hospitalization_negative_binomial,Diabetes mellitus_binary,main_candidate,Diabetes mellitus_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,644,1177,IRR,0.7883959490582821,0.6365504299555992,0.9764633613315841,0.029393304484262243,-0.23775484189754084,-0.45169163402800716,-0.02381804976707455,1.0,0.08034169892365013,0.23775484189754084
hospitalization_negative_binomial,ECHO_SPAP,main_candidate,ECHO_SPAP__level__Normal,Normal vs Severely increased,categorical,categorical_dummy_vs_reference,Severely increased,525,962,IRR,0.6286108845030992,0.449174129593706,0.8797293033621447,0.006785067614503625,-0.464242839300717,-0.8003446499542005,-0.12814102864723353,1.0,0.022010279083529007,0.464242839300717
hospitalization_negative_binomial,EstimatedSysPAPressure,main_candidate,EstimatedSysPAPressure__z,per 1 SD increase,continuous,continuous_per_1SD,,536,983,IRR,1.21158244921161,1.083232413322338,1.3551404234068005,0.0007813082625676058,0.1919273144367851,0.07994954640093341,0.3039050824726368,1.0,0.0032033638765271836,0.1919273144367851
hospitalization_negative_binomial,HD/PD,main_candidate,HD/PD__level__PD,PD vs HD,categorical,categorical_dummy_vs_reference,HD,644,1177,IRR,1.2670009847925283,0.9950202810934963,1.6133254024742807,0.054924507699162003,0.23665267860194256,-0.004992159022736031,0.47829751622662114,1.0,0.12510582309253568,0.23665267860194256
hospitalization_negative_binomial,HTN_binary,main_candidate,HTN_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,644,1177,IRR,1.6150882314486363,1.230696129031321,2.1195402616704726,0.0005466689447077856,0.4793895876582563,0.20757996785223026,0.7511992074642824,1.0,0.0027793704285293762,0.4793895876582563
hospitalization_negative_binomial,IHD_binary,main_candidate,IHD_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,644,1177,IRR,0.8116124299860188,0.6586204867561488,1.0001431017612672,0.05015715345209439,-0.20873235573866536,-0.41760780300051764,0.0001430915231869223,1.0,0.12510582309253568,0.20873235573866536
