variable,predictor_role,variable_type,outcome_family,n_input_rows,n_available_predictor,n_missing_predictor,missing_predictor_pct,n_model,missing_handling,audit_status
AFIB_binary,main_candidate,categorical,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
AgeAtFirstHFDate,main_candidate,continuous,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
CABG_binary,main_candidate,categorical,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
COPD_binary,main_candidate,categorical,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
Diabetes mellitus_binary,main_candidate,categorical,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
ECHO_SPAP,main_candidate,categorical,hospitalization_negative_binomial,644,525,119,0.1847826086956521,525,variable_level_complete_case_for_predictor,OK
EstimatedSysPAPressure,main_candidate,continuous,hospitalization_negative_binomial,644,536,108,0.1677018633540372,536,variable_level_complete_case_for_predictor,OK
HD/PD,main_candidate,categorical,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
HTN_binary,main_candidate,categorical,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
IHD_binary,main_candidate,categorical,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
LACavitySize,main_candidate,categorical,hospitalization_negative_binomial,644,601,43,0.0667701863354037,601,variable_level_complete_case_for_predictor,OK
LV_EF,main_candidate,continuous,hospitalization_negative_binomial,644,640,4,0.0062111801242236,640,variable_level_complete_case_for_predictor,OK
LeftVentricleEstimatedMassIndex,main_candidate,continuous,hospitalization_negative_binomial,644,578,66,0.1024844720496894,578,variable_level_complete_case_for_predictor,OK
MI_binary,main_candidate,categorical,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
MitralInflowPeakEWave,main_candidate,continuous,hospitalization_negative_binomial,644,581,63,0.0978260869565217,581,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioLateral,main_candidate,continuous,hospitalization_negative_binomial,644,522,122,0.1894409937888198,522,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioSeptal,main_candidate,continuous,hospitalization_negative_binomial,644,522,122,0.1894409937888198,522,variable_level_complete_case_for_predictor,OK
TissueDopplerEVelosityLateral,main_candidate,continuous,hospitalization_negative_binomial,644,530,114,0.1770186335403726,530,variable_level_complete_case_for_predictor,OK
TissueDopplerEVelositySeptal,main_candidate,continuous,hospitalization_negative_binomial,644,530,114,0.1770186335403726,530,variable_level_complete_case_for_predictor,OK
albumin-numeric result,main_candidate,continuous,hospitalization_negative_binomial,644,643,1,0.0015527950310559,643,variable_level_complete_case_for_predictor,OK
creatinine-numeric result,main_candidate,continuous,hospitalization_negative_binomial,644,643,1,0.0015527950310559,643,variable_level_complete_case_for_predictor,OK
crp-numeric result,main_candidate,continuous,hospitalization_negative_binomial,644,619,25,0.0388198757763975,619,variable_level_complete_case_for_predictor,OK
days_echo_to_dialysis,main_candidate,continuous,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
echo_to_dialysis_timing_category,timing_sensitivity_only,categorical,hospitalization_negative_binomial,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
hb-numeric result,main_candidate,continuous,hospitalization_negative_binomial,644,578,66,0.1024844720496894,578,variable_level_complete_case_for_predictor,OK
m/f,main_candidate,categorical,hospitalization_negative_binomial,644,643,1,0.0015527950310559,643,variable_level_complete_case_for_predictor,OK
mitral_regurgitation_clin_grouped,main_candidate,categorical,hospitalization_negative_binomial,644,596,48,0.0745341614906832,596,variable_level_complete_case_for_predictor,OK
tricuspid_regurgitation_clin_grouped,main_candidate,categorical,hospitalization_negative_binomial,644,599,45,0.0698757763975155,599,variable_level_complete_case_for_predictor,OK
AFIB_binary,main_candidate,categorical,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
AgeAtFirstHFDate,main_candidate,continuous,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
CABG_binary,main_candidate,categorical,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
COPD_binary,main_candidate,categorical,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
Diabetes mellitus_binary,main_candidate,categorical,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
ECHO_SPAP,main_candidate,categorical,one_year_mortality_logistic,617,501,116,0.1880064829821718,501,variable_level_complete_case_for_predictor,OK
EstimatedSysPAPressure,main_candidate,continuous,one_year_mortality_logistic,617,512,105,0.1701782820097244,512,variable_level_complete_case_for_predictor,OK
HD/PD,main_candidate,categorical,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
HTN_binary,main_candidate,categorical,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
IHD_binary,main_candidate,categorical,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
LACavitySize,main_candidate,categorical,one_year_mortality_logistic,617,578,39,0.0632090761750405,578,variable_level_complete_case_for_predictor,OK
LV_EF,main_candidate,continuous,one_year_mortality_logistic,617,613,4,0.006482982171799,613,variable_level_complete_case_for_predictor,OK
LeftVentricleEstimatedMassIndex,main_candidate,continuous,one_year_mortality_logistic,617,556,61,0.0988654781199351,556,variable_level_complete_case_for_predictor,OK
MI_binary,main_candidate,categorical,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
MitralInflowPeakEWave,main_candidate,continuous,one_year_mortality_logistic,617,558,59,0.0956239870340356,558,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioLateral,main_candidate,continuous,one_year_mortality_logistic,617,501,116,0.1880064829821718,501,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioSeptal,main_candidate,continuous,one_year_mortality_logistic,617,501,116,0.1880064829821718,501,variable_level_complete_case_for_predictor,OK
TissueDopplerEVelosityLateral,main_candidate,continuous,one_year_mortality_logistic,617,509,108,0.1750405186385737,509,variable_level_complete_case_for_predictor,OK
TissueDopplerEVelositySeptal,main_candidate,continuous,one_year_mortality_logistic,617,509,108,0.1750405186385737,509,variable_level_complete_case_for_predictor,OK
albumin-numeric result,main_candidate,continuous,one_year_mortality_logistic,617,616,1,0.0016207455429497,616,variable_level_complete_case_for_predictor,OK
creatinine-numeric result,main_candidate,continuous,one_year_mortality_logistic,617,616,1,0.0016207455429497,616,variable_level_complete_case_for_predictor,OK
crp-numeric result,main_candidate,continuous,one_year_mortality_logistic,617,592,25,0.0405186385737439,592,variable_level_complete_case_for_predictor,OK
days_echo_to_dialysis,main_candidate,continuous,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
echo_to_dialysis_timing_category,timing_sensitivity_only,categorical,one_year_mortality_logistic,617,617,0,0.0,617,variable_level_complete_case_for_predictor,OK
hb-numeric result,main_candidate,continuous,one_year_mortality_logistic,617,551,66,0.1069692058346839,551,variable_level_complete_case_for_predictor,OK
m/f,main_candidate,categorical,one_year_mortality_logistic,617,616,1,0.0016207455429497,616,variable_level_complete_case_for_predictor,OK
mitral_regurgitation_clin_grouped,main_candidate,categorical,one_year_mortality_logistic,617,571,46,0.0745542949756888,571,variable_level_complete_case_for_predictor,OK
tricuspid_regurgitation_clin_grouped,main_candidate,categorical,one_year_mortality_logistic,617,573,44,0.0713128038897893,573,variable_level_complete_case_for_predictor,OK
AFIB_binary,main_candidate,categorical,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
AgeAtFirstHFDate,main_candidate,continuous,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
CABG_binary,main_candidate,categorical,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
COPD_binary,main_candidate,categorical,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
Diabetes mellitus_binary,main_candidate,categorical,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
ECHO_SPAP,main_candidate,categorical,survival_cox,644,525,119,0.1847826086956521,525,variable_level_complete_case_for_predictor,OK
EstimatedSysPAPressure,main_candidate,continuous,survival_cox,644,536,108,0.1677018633540372,536,variable_level_complete_case_for_predictor,OK
HD/PD,main_candidate,categorical,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
HTN_binary,main_candidate,categorical,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
IHD_binary,main_candidate,categorical,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
LACavitySize,main_candidate,categorical,survival_cox,644,601,43,0.0667701863354037,601,variable_level_complete_case_for_predictor,OK
LV_EF,main_candidate,continuous,survival_cox,644,640,4,0.0062111801242236,640,variable_level_complete_case_for_predictor,OK
LeftVentricleEstimatedMassIndex,main_candidate,continuous,survival_cox,644,578,66,0.1024844720496894,578,variable_level_complete_case_for_predictor,OK
MI_binary,main_candidate,categorical,survival_cox,644,644,0,0.0,644,variable_level_complete_case_for_predictor,OK
MitralInflowPeakEWave,main_candidate,continuous,survival_cox,644,581,63,0.0978260869565217,581,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioLateral,main_candidate,continuous,survival_cox,644,522,122,0.1894409937888198,522,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioSeptal,main_candidate,continuous,survival_cox,644,522,122,0.1894409937888198,522,variable_level_complete_case_for_predictor,OK
