variable,predictor_role,variable_type,clinical_domain,candidate_logic_type,approx_df,max_missing_pct_stage3,min_n_model_stage3,n_missing_predictor_max,best_effect_1y,best_p_1y,best_q_1y,best_contrast_1y,effect_measure_1y,best_effect_survival,best_p_survival,best_q_survival,best_contrast_survival,effect_measure_survival,best_effect_hosp,best_p_hosp,best_q_hosp,best_contrast_hosp,effect_measure_hosp,has_stage3_signal_1y,has_stage3_signal_survival,has_stage3_signal_hosp,consistent_signal_count,any_p_below_0_05,any_q_below_0_10,clinical_overlap_flag,clinical_overlap_summary,statistical_collinearity_flag,soft_correlation_flag,top_soft_correlation_partner,top_soft_correlation_abs_rho,external_clinical_priority,external_clinical_priority_source,external_clinical_priority_reason,evidence_source_type,data_signal_discovery_candidate,innovation_potential,clinical_plausibility,novelty_rationale,stage3_signal_is_descriptive_only,inclusion_not_based_on_pvalue,outcome_relevance_flag_1y,outcome_relevance_flag_survival,outcome_relevance_flag_hosp,rationale_1y,rationale_survival,rationale_hosp,preliminary_recommendation,committee_review_priority,notes_for_committee
AgeAtFirstHFDate,main_candidate,continuous,Demographics,core_adjustment,1,0.0,617,0,1.6039356602924228,2.607372334155147e-07,1.0690226570036102e-05,per 1 SD increase,OR,1.4943408488271803,1.7407938819136154e-16,7.137254915845823e-15,per 1 SD increase,HR,1.3740809906498856,1.0325513510089603e-09,4.2334605391367376e-08,per 1 SD increase,IRR,True,True,True,3,True,True,False,no overlap flag,False,False,,,core_adjustment,Methodological,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive OR=1.604 (per 1 SD increase); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive HR=1.494 (per 1 SD increase); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive IRR=1.374 (per 1 SD increase); p<0.05; elevated,core_adjustment_candidate,high,
albumin-numeric result,main_candidate,continuous,Renal / labs / inflammation,primary_clinical_supporting,1,0.0016207455429497,616,1,0.6591719376839671,1.7094977187578271e-06,2.3363135489690305e-05,per 1 SD increase,OR,0.8466426282093686,0.0001241671330995,0.0007272646367262,per 1 SD increase,HR,0.9785072816962302,0.6785982783547089,0.7321718266458701,per 1 SD increase,IRR,True,True,False,2,True,True,False,no overlap flag,False,False,,,data_signal_discovery,Stage 3 descriptive signal,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,limited,Stage 3 descriptive OR=0.659 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive HR=0.847 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive p=0.679 (no signal),data_signal_discovery_candidate,medium,
creatinine-numeric result,main_candidate,continuous,Renal / labs / inflammation,primary_clinical_supporting,1,0.0016207455429497,616,1,0.6349699478616663,5.909565210597407e-07,1.2114608681724684e-05,per 1 SD increase,OR,0.789340559572123,6.289703401924447e-07,8.595927982630078e-06,per 1 SD increase,HR,0.8364995719338116,0.0006101057038235,0.0027793704285293,per 1 SD increase,IRR,True,True,True,3,True,True,True,overlap with: GFR (kidney_function),False,False,,,data_signal_discovery,Stage 3 descriptive signal,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,Stage 3 descriptive OR=0.635 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive HR=0.789 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive IRR=0.836 (per 1 SD increase); p<0.05; reduced,overlap_review_needed,medium,
crp-numeric result,main_candidate,continuous,Renal / labs / inflammation,primary_clinical_supporting,1,0.0405186385737439,592,25,1.1716370129830722,0.0593196032337354,0.1531829819175197,per 1 SD increase,OR,1.0575462187863625,0.2056402338981903,0.3011160567794929,per 1 SD increase,HR,0.9157274246567468,0.1174875261847562,0.2007078572322918,per 1 SD increase,IRR,False,False,False,0,False,False,False,no overlap flag,False,False,,,overlap_representative,Methodological,Available main candidate; may serve as a domain representative pending committee review.,supporting,False,low,uncertain,,True,True,limited,limited,limited,Stage 3 descriptive p=0.059 (no signal),Stage 3 descriptive p=0.206 (no signal),Stage 3 descriptive p=0.117 (no signal),needs_committee_review,low,
hb-numeric result,main_candidate,continuous,Renal / labs / inflammation,primary_clinical_supporting,1,0.1069692058346839,551,66,0.86288749946826,0.0998329252601787,0.2273972186481849,per 1 SD increase,OR,0.9810711271294288,0.6814477798234767,0.7441128631745729,per 1 SD increase,HR,0.9588853494231296,0.4370865766702639,0.5780822465638975,per 1 SD increase,IRR,False,False,False,0,False,False,False,no overlap flag,False,False,,,overlap_representative,Methodological,Available main candidate; may serve as a domain representative pending committee review.,supporting,False,low,uncertain,,True,True,limited,limited,limited,Stage 3 descriptive p=0.100 (no signal),Stage 3 descriptive p=0.681 (no signal),Stage 3 descriptive p=0.437 (no signal),needs_committee_review,low,
LV_EF,main_candidate,continuous,LV systolic function,primary_echo_domain,1,0.006482982171799,613,4,0.7121986178786578,4.876495914653362e-05,0.0003998726650015,per 1 SD increase,OR,0.8118305173901607,1.7180367842202594e-06,1.760987703825766e-05,per 1 SD increase,HR,0.8351767962845852,0.0005906369934731,0.0027793704285293,per 1 SD increase,IRR,True,True,True,3,True,True,True,overlap with: LeftVentricleSystolicFunction (lv_systolic_function),False,False,,,cardiology_prioritized,Cardiology input,Abnormal LV systolic function (EF) was prioritized by cardiology input.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=0.712 (per 1 SD increase); p<0.05; reduced,cardiology prior; Stage 3 descriptive HR=0.812 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive IRR=0.835 (per 1 SD increase); p<0.05; reduced,strong_clinical_echo_candidate,high,
LeftVentricleEstimatedMassIndex,main_candidate,continuous,LV structure / remodeling,primary_echo_domain,1,0.1024844720496894,556,66,1.020347336677077,0.8178125956133042,0.90622476811204,per 1 SD increase,OR,1.0465292565054574,0.3136943590897222,0.4148860878283423,per 1 SD increase,HR,1.0556413284934214,0.3086347678266381,0.4363457062376608,per 1 SD increase,IRR,False,False,False,0,False,False,True,overlap with: LeftVentricleEstimatedMass (lv_mass),False,False,,,literature_supported,Literature (uremia/dialysis cohorts),LVMI is literature-supported as relevant in uremia/dialysis populations.,literature_support,False,medium,high,,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive p=0.818 (no signal),cardiology prior; Stage 3 descriptive p=0.314 (no signal),Stage 3 descriptive p=0.309 (no signal),literature_supported_echo_candidate,medium,
MitralInflowPeakEWave,main_candidate,continuous,Diastolic / filling pressure,outcome_specific_exploratory,1,0.0978260869565217,558,63,1.1945312077438857,0.0423451140309553,0.1378841144586926,per 1 SD increase,OR,1.160461511360512,0.001443352158778,0.0045521106546076,per 1 SD increase,HR,1.3162750782383992,2.921334435125563e-07,2.994367796003702e-06,per 1 SD increase,IRR,True,True,True,3,True,True,False,no overlap flag,False,True,TissueDopplerEERatioSeptal,0.6229,outcome_specific_novel,Stage 3 hospitalization signal,"Peak E wave appeared relevant for hospitalization outcomes; should be considered an outcome-specific discovery candidate, not a primary mortality predictor.",supporting,False,high,medium,Novel hospitalization-specific filling-pressure marker.,True,True,supported,supported,supported,cardiology prior; not primary for this outcome; sensitivity only; Stage 3 descriptive OR=1.195 (per 1 SD increase); p<0.05; elevated,cardiology prior; not primary for this outcome; sensitivity only; Stage 3 descriptive HR=1.160 (per 1 SD increase); p<0.05; elevated,hospitalization-specific exploratory (filling pressure); Stage 3 descriptive IRR=1.316 (per 1 SD increase); p<0.05; elevated,outcome_specific_candidate_hospitalization,medium,Strong NB hospitalization signal; consider hosp-specific use only. Soft Spearman correlation with TissueDopplerEERatioSeptal (|rho|=0.62); split across main/sensitivity if needed.
TissueDopplerEERatioLateral,main_candidate,continuous,Diastolic / filling pressure,primary_clinical_supporting,1,0.1894409937888198,501,122,1.0148990830600306,0.8729120421430302,0.9176767622529292,per 1 SD increase,OR,1.17416126350574,0.0009680175182287,0.0033073931872815,per 1 SD increase,HR,1.270398748515644,2.5809955093413967e-05,0.0002116416317659,per 1 SD increase,IRR,False,True,True,2,True,True,False,no overlap flag,False,True,TissueDopplerEERatioSeptal,0.6703,data_signal_discovery,Stage 3 descriptive signal,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,supported,Stage 3 descriptive p=0.873 (no signal),Stage 3 descriptive HR=1.174 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive IRR=1.270 (per 1 SD increase); p<0.05; elevated,overlap_review_needed,medium,Soft Spearman correlation with TissueDopplerEERatioSeptal (|rho|=0.67); split across main/sensitivity if needed.
TissueDopplerEERatioSeptal,main_candidate,continuous,Diastolic / filling pressure,primary_echo_domain,1,0.1894409937888198,501,122,1.2775174304720884,0.0081991706422874,0.0390804143593773,per 1 SD increase,OR,1.2976645712246762,3.7484359167706335e-08,7.684293629379797e-07,per 1 SD increase,HR,1.3647258704360754,4.144314584240066e-08,8.495844897692135e-07,per 1 SD increase,IRR,True,True,True,3,True,True,False,no overlap flag,False,True,TissueDopplerEVelositySeptal,0.6766,cardiology_prioritized,Cardiology input,"Cardiology prioritized diastolic dysfunction; full Renal Lutati definitions were not feasible due to missing data, so septal E/e' is the available representative marker.",cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=1.278 (per 1 SD increase); p<0.05; elevated,cardiology prior; Stage 3 descriptive HR=1.298 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive IRR=1.365 (per 1 SD increase); p<0.05; elevated,strong_clinical_echo_candidate,high,Soft Spearman correlation with TissueDopplerEVelositySeptal (|rho|=0.68); split across main/sensitivity if needed.
