variable,predictor_role,variable_type,outcome_family,n_input_rows,n_available_predictor,n_missing_predictor,missing_predictor_pct,n_model,missing_handling,audit_status
TissueDopplerEERatioLateral,main_candidate,continuous,hospitalization_negative_binomial,644,522,122,0.1894409937888198,522,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioSeptal,main_candidate,continuous,hospitalization_negative_binomial,644,522,122,0.1894409937888198,522,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioLateral,main_candidate,continuous,survival_cox,644,522,122,0.1894409937888198,522,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioSeptal,main_candidate,continuous,survival_cox,644,522,122,0.1894409937888198,522,variable_level_complete_case_for_predictor,OK
ECHO_SPAP,main_candidate,categorical,one_year_mortality_logistic,617,501,116,0.1880064829821718,501,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioLateral,main_candidate,continuous,one_year_mortality_logistic,617,501,116,0.1880064829821718,501,variable_level_complete_case_for_predictor,OK
TissueDopplerEERatioSeptal,main_candidate,continuous,one_year_mortality_logistic,617,501,116,0.1880064829821718,501,variable_level_complete_case_for_predictor,OK
ECHO_SPAP,main_candidate,categorical,hospitalization_negative_binomial,644,525,119,0.1847826086956521,525,variable_level_complete_case_for_predictor,OK
ECHO_SPAP,main_candidate,categorical,survival_cox,644,525,119,0.1847826086956521,525,variable_level_complete_case_for_predictor,OK
TissueDopplerEVelosityLateral,main_candidate,continuous,hospitalization_negative_binomial,644,530,114,0.1770186335403726,530,variable_level_complete_case_for_predictor,OK
TissueDopplerEVelositySeptal,main_candidate,continuous,hospitalization_negative_binomial,644,530,114,0.1770186335403726,530,variable_level_complete_case_for_predictor,OK
TissueDopplerEVelosityLateral,main_candidate,continuous,survival_cox,644,530,114,0.1770186335403726,530,variable_level_complete_case_for_predictor,OK
TissueDopplerEVelositySeptal,main_candidate,continuous,survival_cox,644,530,114,0.1770186335403726,530,variable_level_complete_case_for_predictor,OK
TissueDopplerEVelosityLateral,main_candidate,continuous,one_year_mortality_logistic,617,509,108,0.1750405186385737,509,variable_level_complete_case_for_predictor,OK
TissueDopplerEVelositySeptal,main_candidate,continuous,one_year_mortality_logistic,617,509,108,0.1750405186385737,509,variable_level_complete_case_for_predictor,OK
EstimatedSysPAPressure,main_candidate,continuous,one_year_mortality_logistic,617,512,105,0.1701782820097244,512,variable_level_complete_case_for_predictor,OK
EstimatedSysPAPressure,main_candidate,continuous,hospitalization_negative_binomial,644,536,108,0.1677018633540372,536,variable_level_complete_case_for_predictor,OK
EstimatedSysPAPressure,main_candidate,continuous,survival_cox,644,536,108,0.1677018633540372,536,variable_level_complete_case_for_predictor,OK
hb-numeric result,main_candidate,continuous,one_year_mortality_logistic,617,551,66,0.1069692058346839,551,variable_level_complete_case_for_predictor,OK
LeftVentricleEstimatedMassIndex,main_candidate,continuous,hospitalization_negative_binomial,644,578,66,0.1024844720496894,578,variable_level_complete_case_for_predictor,OK
hb-numeric result,main_candidate,continuous,hospitalization_negative_binomial,644,578,66,0.1024844720496894,578,variable_level_complete_case_for_predictor,OK
LeftVentricleEstimatedMassIndex,main_candidate,continuous,survival_cox,644,578,66,0.1024844720496894,578,variable_level_complete_case_for_predictor,OK
hb-numeric result,main_candidate,continuous,survival_cox,644,578,66,0.1024844720496894,578,variable_level_complete_case_for_predictor,OK
