outcome,model_tier,model_type,variable_or_term,effect_measure,estimate_MI,ci_lower_MI,ci_upper_MI,MI_M,MI_SE_source,MI_note
one_year_mortality,C_minimal,logistic,C(Q('AFIB_binary'))[T.1],OR,1.2741893194298723,0.8844469290762078,1.8356764757439374,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_minimal,logistic,C(Q('m/f'))[T.m],OR,0.8947018562781396,0.6018594509692657,1.3300304752852112,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_minimal,logistic,Q('AgeAtFirstHFDate'),OR,1.052999734544018,1.0343955321685316,1.0719385442677232,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_minimal,logistic,Q('LV_EF'),OR,0.9733339638767603,0.9613966288169215,0.9854195207672772,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_minimal,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0083386068936038,0.9863594525813999,1.030807525077402,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_minimal,logistic,Q('albumin-numeric result'),OR,0.4606883235764373,0.3290046838993104,0.6450781458923571,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_minimal,logistic,Q('creatinine-numeric result'),OR,0.8198031325460738,0.7452834492694906,0.9017739180859442,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_minimal,cox,AFIB_binary,HR,1.2223508101492262,1.0192859608003706,1.4658707767339696,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_minimal,cox,AgeAtFirstHFDate,HR,1.0394543663231404,1.0303874595794058,1.0486010574209401,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_minimal,cox,LV_EF,HR,0.9839656266063628,0.9781228618203587,0.9898432928364258,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_minimal,cox,TissueDopplerEERatioSeptal,HR,1.0173897429658303,1.0067190795570065,1.0281735094834525,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_minimal,cox,albumin-numeric result,HR,0.7603274801596857,0.6437727266382722,0.897984417738161,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_minimal,cox,creatinine-numeric result,HR,0.9162922373929651,0.87406912322827,0.9605549973046467,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_minimal,cox,m/f_m,HR,0.9808030729085324,0.8072023683404052,1.1917391543394802,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_minimal,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,0.0,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_minimal,negative_binomial,C(Q('m/f'))[T.m],IRR,inf,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_minimal,negative_binomial,Q('AgeAtFirstHFDate'),IRR,0.0,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_minimal,negative_binomial,Q('LV_EF'),IRR,inf,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_minimal,negative_binomial,Q('TissueDopplerEERatioSeptal'),IRR,,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_minimal,negative_binomial,Q('albumin-numeric result'),IRR,8.009741079664329e-10,2.48757314840523e-84,2.5790579145136464e+65,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_minimal,negative_binomial,Q('creatinine-numeric result'),IRR,0.0,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_lite,logistic,C(Q('AFIB_binary'))[T.1],OR,1.226355650421471,0.8465255534850294,1.7766128560787342,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Moderate_or_Severe],OR,1.2475184239568746,0.8350437897036697,1.863737252227367,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Normal],OR,0.8726102891798048,0.450214623556919,1.6913016080344965,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_lite,logistic,C(Q('m/f'))[T.m],OR,0.8705948647171288,0.5831752290808903,1.2996701174471612,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_lite,logistic,Q('AgeAtFirstHFDate'),OR,1.052816708964554,1.0341720762582831,1.0717974775390542,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_lite,logistic,Q('EstimatedSysPAPressure'),OR,1.0006100578864827,0.9871450275914045,1.0142587562706256,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_lite,logistic,Q('LV_EF'),OR,0.9737902039180927,0.9616707631223943,0.986062379777425,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_lite,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0045470789513293,0.9830255755178589,1.0265397553853526,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_lite,logistic,Q('albumin-numeric result'),OR,0.4549338248818518,0.32398332186798473,0.6388130840450006,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
one_year_mortality,C_lite,logistic,Q('creatinine-numeric result'),OR,0.8248261180405044,0.7480808780416711,0.9094446135059084,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_lite,cox,AFIB_binary,HR,1.2120037610213086,1.0101618482299966,1.4541760009088582,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_lite,cox,AgeAtFirstHFDate,HR,1.0391899874193662,1.030082228895439,1.0483782747234267,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_lite,cox,EstimatedSysPAPressure,HR,1.0029248906004504,0.9951733338062074,1.0107368254521567,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_lite,cox,LACavitySize_Moderate_or_Severe,HR,1.1151959699816596,0.9100018551304422,1.3666588089373344,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_lite,cox,LACavitySize_Normal,HR,1.012494911884217,0.7232440103583052,1.417427495989295,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_lite,cox,LV_EF,HR,0.984475494112854,0.9784827102950057,0.9905049811422251,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_lite,cox,TissueDopplerEERatioSeptal,HR,1.0156180881477168,1.0043365387498762,1.027026361359643,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_lite,cox,albumin-numeric result,HR,0.7549885103440197,0.6379675410521454,0.8934743761593528,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_lite,cox,creatinine-numeric result,HR,0.9219819517946976,0.8784263093329061,0.9676972449524024,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
survival,C_lite,cox,m/f_m,HR,0.9669829875608258,0.7931090489003888,1.178975450511471,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_lite,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,0.0,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_lite,negative_binomial,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,0.0,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_lite,negative_binomial,C(Q('LACavitySize'))[T.Normal],IRR,369686334.67913705,2.0132633480353663e-66,6.788380972705965e+82,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
hospitalization,C_lite,negative_binomial,C(Q('m/f'))[T.m],IRR,inf,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician
