outcome,model_tier,model_type,variable_or_term,effect_measure,log_estimate,se_log_effect,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note,source_variable,estimate_MI,ci_lower_MI,ci_upper_MI,MI_M,MI_SE_source,MI_note,relative_change_pct,ci_overlap,robustness_status
one_year_mortality,C_minimal,logistic,C(Q('m/f'))[T.m],OR,-0.18928334885220452,0.23213822349637703,0.8275519875651235,0.5250434452773526,1.3043535697531097,0.41484870528204176,497,185.0,consultation_only_not_final_stage5,,0.8947018562781396,0.6018594509692657,1.3300304752852112,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,41.21789457117939,True,not_robust_review
one_year_mortality,C_minimal,logistic,C(Q('AFIB_binary'))[T.1],OR,0.3687569297949797,0.2120619704269602,1.44593609697253,0.9541975702838129,2.191088367481689,0.0820503885659929,497,185.0,consultation_only_not_final_stage5,,1.2741893194298723,0.8844469290762078,1.8356764757439374,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,34.29000815721985,True,not_robust_review
one_year_mortality,C_minimal,logistic,Q('AgeAtFirstHFDate'),OR,0.048000239607965206,0.010228381256914243,1.0491709067141466,1.0283469523155842,1.0704165447437217,2.6942753700798273e-06,497,185.0,consultation_only_not_final_stage5,,1.052999734544018,1.0343955321685316,1.0719385442677232,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,7.589006802139609,True,robust_by_DEC077
one_year_mortality,C_minimal,logistic,Q('albumin-numeric result'),OR,-0.7951249373065187,0.1991812212408112,0.4515248191037202,0.3055871928019579,0.6671570899202327,6.552738893064207e-05,497,185.0,consultation_only_not_final_stage5,,0.4606883235764373,0.3290046838993104,0.6450781458923571,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,2.526821137324447,True,robust_by_DEC077
one_year_mortality,C_minimal,logistic,Q('creatinine-numeric result'),OR,-0.20893582312458067,0.05682360514605417,0.811447310125336,0.7259239009997653,0.9070465047407995,0.00023606747503806362,497,185.0,consultation_only_not_final_stage5,,0.8198031325460738,0.7452834492694906,0.9017739180859442,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,4.903311056136484,True,robust_by_DEC077
one_year_mortality,C_minimal,logistic,Q('LV_EF'),OR,-0.03298213238089964,0.007201276819926369,0.9675558473539247,0.9539952038590002,0.9813092497340646,4.648880933286476e-06,497,185.0,consultation_only_not_final_stage5,,0.9733339638767603,0.9613966288169215,0.9854195207672772,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,18.0525253570566,True,robust_by_DEC077
one_year_mortality,C_minimal,logistic,Q('TissueDopplerEERatioSeptal'),OR,0.010511527817554713,0.011252244795939625,1.0105669680095133,0.9885234913776333,1.0331020008525087,0.3502153694652391,497,185.0,consultation_only_not_final_stage5,,1.0083386068936038,0.9863594525813999,1.030807525077402,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,21.000705870003152,True,not_robust_review
survival,C_minimal,cox,AgeAtFirstHFDate,HR,0.038170740629364895,0.004979600269159291,1.0389086016445368,1.0288183425802666,1.0490978221325786,1.7824327776023444e-14,518,405.0,consultation_only_not_final_stage5,AgeAtFirstHFDate,1.0394543663231404,1.0303874595794058,1.0486010574209401,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,1.3758891581622659,True,robust_by_DEC077
survival,C_minimal,cox,albumin-numeric result,HR,-0.27931032166937625,0.09620321659049562,0.756305168912786,0.626337972509523,0.9132409875013618,0.0036920955627762135,518,405.0,consultation_only_not_final_stage5,albumin-numeric result,0.7603274801596857,0.6437727266382722,0.897984417738161,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,1.899062689234,True,robust_by_DEC077
survival,C_minimal,cox,creatinine-numeric result,HR,-0.08046924357397726,0.027229731249900586,0.922683281587444,0.8747312906988021,0.9732639579417074,0.003124685850445931,518,405.0,consultation_only_not_final_stage5,creatinine-numeric result,0.9162922373929651,0.87406912322827,0.9605549973046467,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,8.637691683712386,True,robust_by_DEC077
survival,C_minimal,cox,AFIB_binary,HR,0.22447337363601705,0.10498890149510287,1.2516633836594881,1.0188748272973476,1.5376385636591117,0.03251125325178605,518,405.0,consultation_only_not_final_stage5,AFIB_binary,1.2223508101492262,1.0192859608003706,1.4658707767339696,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,10.556920413369134,True,robust_by_DEC077
survival,C_minimal,cox,LV_EF,HR,-0.01863612938494846,0.003407842052679405,0.9815364495436691,0.9750023701411923,0.9881143177562508,4.536008675371677e-08,518,405.0,consultation_only_not_final_stage5,LV_EF,0.9839656266063628,0.9781228618203587,0.9898432928364258,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,13.263561779662815,True,robust_by_DEC077
survival,C_minimal,cox,TissueDopplerEERatioSeptal,HR,0.018384876704825557,0.00538416713621304,1.018554919021078,1.007862854179678,1.0293604122422408,0.000638714035599331,518,405.0,consultation_only_not_final_stage5,TissueDopplerEERatioSeptal,1.0173897429658303,1.0067190795570065,1.0281735094834525,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,6.225796243180809,True,robust_by_DEC077
survival,C_minimal,cox,m/f_m,HR,0.012896895078841224,0.11084997018122363,1.0129804187091103,0.8151647375828519,1.2587999472729774,0.9073787275565113,518,405.0,consultation_only_not_final_stage5,m/f,0.9808030729085324,0.8072023683404052,1.1917391543394802,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,250.2964909247843,True,not_robust_review
hospitalization,C_minimal,negative_binomial,C(Q('m/f'))[T.m],IRR,-0.05595510241970751,0.16817524649117677,0.9455815892626893,0.6800570511764366,1.3147787239405864,0.7393463944133545,518,955.0,consultation_only_not_final_stage5,,inf,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,inf,True,not_robust_review
hospitalization,C_minimal,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,0.03961880207364195,0.1516683793288183,1.0404140948950014,0.7728647437791909,1.4005833460109889,0.793922916528703,518,955.0,consultation_only_not_final_stage5,,0.0,,,40,model_se_log_effect,consultation_grade_diagnostic; outcomes included as auxiliary predictors and restored; categorical imputation remains approximate; confirm final Stage5 MI with biostatistician,inf,True,not_robust_review
