model_tier,source_variable,min_p_value,any_ph_flag,n_terms_tested,decision_needed_for_stage5
C_full,AFIB_binary,0.6664127004212175,False,1,no_variable_level_flag_from_rank_test
C_full,AgeAtFirstHFDate,0.5897298588489777,False,1,no_variable_level_flag_from_rank_test
C_full,EstimatedSysPAPressure,0.7286701127188926,False,1,no_variable_level_flag_from_rank_test
C_full,LACavitySize,0.2824077906679424,False,2,no_variable_level_flag_from_rank_test
C_full,LV_EF,0.10341910577781292,False,1,no_variable_level_flag_from_rank_test
C_full,TissueDopplerEERatioSeptal,0.06217132206965622,False,1,no_variable_level_flag_from_rank_test
C_full,albumin-numeric result,0.006275203266762282,True,1,review_variable_level_PH_and_consider_time_interaction_or_sensitivity
C_full,creatinine-numeric result,0.19222452760081998,False,1,no_variable_level_flag_from_rank_test
C_full,m/f,0.7515261495475734,False,1,no_variable_level_flag_from_rank_test
C_full,tricuspid_regurgitation_clin_grouped,0.23981407315353914,False,1,no_variable_level_flag_from_rank_test
C_lite,AFIB_binary,0.7036003103986893,False,1,no_variable_level_flag_from_rank_test
C_lite,AgeAtFirstHFDate,0.5845780740673473,False,1,no_variable_level_flag_from_rank_test
C_lite,EstimatedSysPAPressure,0.8045500682201503,False,1,no_variable_level_flag_from_rank_test
C_lite,LACavitySize,0.2841352807142594,False,2,no_variable_level_flag_from_rank_test
C_lite,LV_EF,0.09812175056002502,False,1,no_variable_level_flag_from_rank_test
C_lite,TissueDopplerEERatioSeptal,0.06307984106462297,False,1,no_variable_level_flag_from_rank_test
C_lite,albumin-numeric result,0.009350453766240946,True,1,review_variable_level_PH_and_consider_time_interaction_or_sensitivity
C_lite,creatinine-numeric result,0.24477814566655398,False,1,no_variable_level_flag_from_rank_test
C_lite,m/f,0.7492813094692841,False,1,no_variable_level_flag_from_rank_test
C_minimal,AFIB_binary,0.9885723991751452,False,1,no_variable_level_flag_from_rank_test
C_minimal,AgeAtFirstHFDate,0.174022599245233,False,1,no_variable_level_flag_from_rank_test
C_minimal,LV_EF,0.003167277618832926,True,1,review_variable_level_PH_and_consider_time_interaction_or_sensitivity
C_minimal,TissueDopplerEERatioSeptal,0.01976095891108371,True,1,review_variable_level_PH_and_consider_time_interaction_or_sensitivity
C_minimal,albumin-numeric result,0.0002899607055969409,True,1,review_variable_level_PH_and_consider_time_interaction_or_sensitivity
C_minimal,creatinine-numeric result,0.019926740870200535,True,1,review_variable_level_PH_and_consider_time_interaction_or_sensitivity
C_minimal,m/f,0.805388910580618,False,1,no_variable_level_flag_from_rank_test
Model_B,AFIB_binary,0.9137199337794941,False,1,no_variable_level_flag_from_rank_test
Model_B,AgeAtFirstHFDate,0.1349616710820513,False,1,no_variable_level_flag_from_rank_test
Model_B,LV_EF,0.00279676305903648,True,1,review_variable_level_PH_and_consider_time_interaction_or_sensitivity
Model_B,albumin-numeric result,1.6991679618230955e-05,True,1,review_variable_level_PH_and_consider_time_interaction_or_sensitivity
Model_B,creatinine-numeric result,0.22424102561495138,False,1,no_variable_level_flag_from_rank_test
Model_B,m/f,0.7079693256969464,False,1,no_variable_level_flag_from_rank_test
