outcome,model_tier,model_type,variable_or_term,effect_measure,estimate_MI,ci_lower_MI,ci_upper_MI,MI_M,MI_note
one_year_mortality,C_lite,logistic,C(Q('AFIB_binary'))[T.1],OR,1.226355650421471,0.8465255534850294,1.7766128560787342,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Moderate_or_Severe],OR,1.2475184239568746,0.8350437897036697,1.863737252227367,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Normal],OR,0.8726102891798048,0.450214623556919,1.6913016080344965,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_lite,logistic,C(Q('m/f'))[T.m],OR,0.8705948647171288,0.5831752290808903,1.2996701174471612,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_lite,logistic,Q('AgeAtFirstHFDate'),OR,1.052816708964554,1.034172076258283,1.0717974775390542,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_lite,logistic,Q('EstimatedSysPAPressure'),OR,1.0006100578864827,0.9871450275914045,1.0142587562706256,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_lite,logistic,Q('LV_EF'),OR,0.9737902039180927,0.9616707631223943,0.986062379777425,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_lite,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0045470789513293,0.9830255755178589,1.0265397553853526,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_lite,logistic,Q('albumin-numeric result'),OR,0.4549338248818518,0.32398332186798473,0.6388130840450006,40,consultation_grade_approximation_confirm_with_biostatistician
one_year_mortality,C_lite,logistic,Q('creatinine-numeric result'),OR,0.8248261180405044,0.7480808780416711,0.9094446135059084,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_lite,cox,AFIB_binary,HR,1.2120037610213086,1.0101651813093198,1.4541712027985587,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_lite,cox,AgeAtFirstHFDate,HR,1.0391899874193662,1.03008239418943,1.0483781064935551,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_lite,cox,EstimatedSysPAPressure,HR,1.0029248906004504,0.9951734360232994,1.0107367216365049,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_lite,cox,LACavitySize_Moderate_or_Severe,HR,1.1151959699816596,0.9100049402485056,1.3666541756616326,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_lite,cox,LACavitySize_Normal,HR,1.012494911884217,0.7232480135551778,1.417419650490638,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_lite,cox,LV_EF,HR,0.984475494112854,0.9784828172294778,0.9905048728938988,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_lite,cox,TissueDopplerEERatioSeptal,HR,1.0156180881477168,1.0043366934582902,1.0270262031561037,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_lite,cox,albumin-numeric result,HR,0.7549885103440197,0.6379694854109186,0.8934716530906455,40,consultation_grade_approximation_confirm_with_biostatistician
survival,C_lite,cox,creatinine-numeric result,HR,0.9219819517946976,0.878427073078009,0.9676964035916854,40,consultation_grade_approximation_confirm_with_biostatistician
