outcome,variable,n_total,n_missing,missing_pct
one_year_mortality,ECHO_SPAP,617,116,18.80064829821718
survival,ECHO_SPAP,644,119,18.478260869565215
hospitalization,ECHO_SPAP,644,119,18.478260869565215
one_year_mortality,EstimatedSysPAPressure,617,105,17.01782820097245
survival,EstimatedSysPAPressure,644,108,16.77018633540373
hospitalization,EstimatedSysPAPressure,644,108,16.77018633540373
one_year_mortality,LACavitySize,617,39,6.3209076175040515
survival,LACavitySize,644,43,6.6770186335403725
hospitalization,LACavitySize,644,43,6.6770186335403725
one_year_mortality,MitralInflowPeakEWave,617,59,9.562398703403566
survival,MitralInflowPeakEWave,644,63,9.782608695652174
hospitalization,MitralInflowPeakEWave,644,63,9.782608695652174
one_year_mortality,TissueDopplerEERatioLateral,617,116,18.80064829821718
survival,TissueDopplerEERatioLateral,644,122,18.944099378881987
hospitalization,TissueDopplerEERatioLateral,644,122,18.944099378881987
one_year_mortality,TissueDopplerEERatioSeptal,617,116,18.80064829821718
survival,TissueDopplerEERatioSeptal,644,122,18.944099378881987
hospitalization,TissueDopplerEERatioSeptal,644,122,18.944099378881987
one_year_mortality,TissueDopplerEVelosityLateral,617,108,17.504051863857377
survival,TissueDopplerEVelosityLateral,644,114,17.70186335403727
hospitalization,TissueDopplerEVelosityLateral,644,114,17.70186335403727
one_year_mortality,TissueDopplerEVelositySeptal,617,108,17.504051863857377
survival,TissueDopplerEVelositySeptal,644,114,17.70186335403727
hospitalization,TissueDopplerEVelositySeptal,644,114,17.70186335403727
one_year_mortality,tricuspid_regurgitation_clin_grouped,617,44,7.13128038897893
survival,tricuspid_regurgitation_clin_grouped,644,45,6.987577639751552
hospitalization,tricuspid_regurgitation_clin_grouped,644,45,6.987577639751552
