outcome,model_tier,model_type,variable_or_term,effect_measure,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note,estimate_MI,ci_lower_MI,ci_upper_MI,MI_M,MI_note,relative_change_pct,ci_overlap,robustness_status
one_year_mortality,C_lite,logistic,C(Q('m/f'))[T.m],OR,0.806886056950231,0.4893325875763615,1.33051655546871,0.4004096357176419,398,164.0,consultation_only_not_final_stage5,0.8705948647171288,0.5831752290808903,1.2996701174471612,40,consultation_grade_approximation_confirm_with_biostatistician,35.41653957880533,True,not_robust_review
one_year_mortality,C_lite,logistic,C(Q('AFIB_binary'))[T.1],OR,1.526652827026287,0.9665475381233017,2.4113339099623596,0.06966144040859996,398,164.0,consultation_only_not_final_stage5,1.226355650421471,0.8465255534850294,1.7766128560787342,40,consultation_grade_approximation_confirm_with_biostatistician,51.770818351250306,True,not_robust_review
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Moderate_or_Severe],OR,1.3566577070255283,0.8307794791381878,2.2154135727341684,0.2228199141549848,398,164.0,consultation_only_not_final_stage5,1.2475184239568746,0.8350437897036697,1.863737252227367,40,consultation_grade_approximation_confirm_with_biostatistician,27.49546267085967,True,not_robust_review
one_year_mortality,C_lite,logistic,C(Q('LACavitySize'))[T.Normal],OR,1.3189331025496611,0.5931686319610426,2.9326981152899627,0.4971500067885638,398,164.0,consultation_only_not_final_stage5,0.8726102891798048,0.450214623556919,1.6913016080344965,40,consultation_grade_approximation_confirm_with_biostatistician,149.22501059602985,True,not_robust_review
one_year_mortality,C_lite,logistic,Q('AgeAtFirstHFDate'),OR,1.04087648455329,1.0189790943535806,1.0632444395567482,0.00022147788131801695,398,164.0,consultation_only_not_final_stage5,1.052816708964554,1.034172076258283,1.0717974775390542,40,consultation_grade_approximation_confirm_with_biostatistician,28.47011726638505,True,not_robust_review
one_year_mortality,C_lite,logistic,Q('albumin-numeric result'),OR,0.38880555108199005,0.2495418618188677,0.6057891667967836,2.9754377848843332e-05,398,164.0,consultation_only_not_final_stage5,0.4549338248818518,0.32398332186798473,0.6388130840450006,40,consultation_grade_approximation_confirm_with_biostatistician,16.62714310474627,True,robust_by_DEC077
one_year_mortality,C_lite,logistic,Q('creatinine-numeric result'),OR,0.8351736030728193,0.7348265473670157,0.9492239355925922,0.005817209804781301,398,164.0,consultation_only_not_final_stage5,0.8248261180405044,0.7480808780416711,0.9094446135059084,40,consultation_grade_approximation_confirm_with_biostatistician,6.921670474990883,True,robust_by_DEC077
one_year_mortality,C_lite,logistic,Q('LV_EF'),OR,0.9709322182989171,0.9559053285569891,0.9861953316589904,0.0002099242336408659,398,164.0,consultation_only_not_final_stage5,0.9737902039180927,0.9616707631223943,0.986062379777425,40,consultation_grade_approximation_confirm_with_biostatistician,9.963938500200983,True,robust_by_DEC077
one_year_mortality,C_lite,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0056953098410393,0.9816816885469896,1.0302963455835623,0.6450953783141471,398,164.0,consultation_only_not_final_stage5,1.0045470789513293,0.9830255755178589,1.0265397553853526,40,consultation_grade_approximation_confirm_with_biostatistician,20.115335598649118,True,not_robust_review
one_year_mortality,C_lite,logistic,Q('EstimatedSysPAPressure'),OR,0.9950143635569251,0.9785407694046039,1.0117652883149608,0.5573450579057253,398,164.0,consultation_only_not_final_stage5,1.0006100578864827,0.9871450275914045,1.0142587562706256,40,consultation_grade_approximation_confirm_with_biostatistician,112.2020592074893,True,not_robust_review
survival,C_lite,cox,AgeAtFirstHFDate,HR,1.0375821111548362,1.0267005778128162,1.0485789729289543,6.951577398280668e-12,415,340.0,consultation_only_not_final_stage5,1.0391899874193662,1.03008239418943,1.0483781064935551,40,consultation_grade_approximation_confirm_with_biostatistician,4.197092695131751,True,robust_by_DEC077
survival,C_lite,cox,albumin-numeric result,HR,0.606798633442712,0.4889368699058228,0.7530718262643293,5.795678612355344e-06,415,340.0,consultation_only_not_final_stage5,0.7549885103440197,0.6379694854109186,0.8934716530906455,40,consultation_grade_approximation_confirm_with_biostatistician,43.739748259023436,True,not_robust_review
survival,C_lite,cox,creatinine-numeric result,HR,0.912202428419114,0.8582441579539629,0.9695530842848616,0.003138085545018115,415,340.0,consultation_only_not_final_stage5,0.9219819517946976,0.878427073078009,0.9676964035916854,40,consultation_grade_approximation_confirm_with_biostatistician,11.604454052887645,True,robust_by_DEC077
survival,C_lite,cox,AFIB_binary,HR,1.3540004471090088,1.0838689997648143,1.69145645015145,0.00760057829909792,415,340.0,consultation_only_not_final_stage5,1.2120037610213086,1.0101651813093198,1.4541712027985587,40,consultation_grade_approximation_confirm_with_biostatistician,36.5562042901443,True,not_robust_review
survival,C_lite,cox,LV_EF,HR,0.9804419851139485,0.9731531069869582,0.9877854566486655,2.1260902215338294e-07,415,340.0,consultation_only_not_final_stage5,0.984475494112854,0.9784828172294778,0.9905048728938988,40,consultation_grade_approximation_confirm_with_biostatistician,20.78559962217307,True,not_robust_review
survival,C_lite,cox,TissueDopplerEERatioSeptal,HR,1.014207592828299,1.0022638407407958,1.026293675915015,0.01959095798757771,415,340.0,consultation_only_not_final_stage5,1.0156180881477168,1.0043366934582902,1.0270262031561037,40,consultation_grade_approximation_confirm_with_biostatistician,9.851208252029773,True,robust_by_DEC077
