term,test_statistic,p,-log2(p),source_variable,tier,sample_label
AFIB_binary,0.01173921108727506,0.9137199337794941,0.13017606534170797,AFIB_binary,Model_B,own_complete_case
AgeAtFirstHFDate,2.234484016755999,0.1349616710820513,2.8893783527314723,AgeAtFirstHFDate,Model_B,own_complete_case
LV_EF,8.935529993649332,0.00279676305903648,8.482026250380576,LV_EF,Model_B,own_complete_case
albumin-numeric result,18.499859822190327,1.6991679618230955e-05,15.844812005250548,albumin-numeric result,Model_B,own_complete_case
creatinine-numeric result,1.477022091168809,0.22424102561495138,2.1568778469106484,creatinine-numeric result,Model_B,own_complete_case
m/f_m,0.14031372551580557,0.7079693256969464,0.4982412411095659,m/f,Model_B,own_complete_case
AFIB_binary,0.00020514441493113946,0.9885723991751452,0.016581467722863088,AFIB_binary,C_minimal,own_complete_case
AgeAtFirstHFDate,1.8479449404281851,0.174022599245233,2.522653422710456,AgeAtFirstHFDate,C_minimal,own_complete_case
LV_EF,8.708511246198709,0.003167277618832926,8.302540956367721,LV_EF,C_minimal,own_complete_case
TissueDopplerEERatioSeptal,5.432889264712989,0.01976095891108371,5.66120323360623,TissueDopplerEERatioSeptal,C_minimal,own_complete_case
albumin-numeric result,13.134157025320693,0.0002899607055969409,11.751854974762526,albumin-numeric result,C_minimal,own_complete_case
creatinine-numeric result,5.418301038274438,0.019926740870200535,5.649150421137735,creatinine-numeric result,C_minimal,own_complete_case
m/f_m,0.06070257998729773,0.805388910580618,0.31224248696983775,m/f,C_minimal,own_complete_case
AFIB_binary,3.315446175125575e-05,0.9954058131695062,0.006643282509430825,AFIB_binary,C_lite_supportive,own_complete_case
AgeAtFirstHFDate,0.3283288392485852,0.5666447889542978,0.8194834546107229,AgeAtFirstHFDate,C_lite_supportive,own_complete_case
EstimatedSysPAPressure,0.11309803864796131,0.736644259076094,0.44096001501141713,EstimatedSysPAPressure,C_lite_supportive,own_complete_case
LACavitySize_Moderately dilated,3.743141043879317,0.05302467852741528,4.237192220615965,LACavitySize,C_lite_supportive,own_complete_case
LACavitySize_Normal,0.07568983718096026,0.7832256901448281,0.3525000081420075,LACavitySize,C_lite_supportive,own_complete_case
LACavitySize_Severely dilated,2.0209870240039565,0.15513827096571087,2.688373467045858,LACavitySize,C_lite_supportive,own_complete_case
LV_EF,4.934016651546735,0.0263330415655871,5.246982022049654,LV_EF,C_lite_supportive,own_complete_case
TissueDopplerEERatioSeptal,4.032852986028776,0.04462241999973326,4.486087432648514,TissueDopplerEERatioSeptal,C_lite_supportive,own_complete_case
albumin-numeric result,6.160442407532598,0.013063853003688026,6.258275727078725,albumin-numeric result,C_lite_supportive,own_complete_case
creatinine-numeric result,2.1572400341834688,0.14189936591775515,2.8170599522073902,creatinine-numeric result,C_lite_supportive,own_complete_case
m/f_m,0.10021075382270635,0.7515768676814478,0.41200743126249106,m/f,C_lite_supportive,own_complete_case
AFIB_binary,0.02087081266179629,0.885131443862937,0.17603638056399926,AFIB_binary,C_full_exploratory,own_complete_case
AgeAtFirstHFDate,0.2585598781921701,0.6111112683434053,0.7104930116151973,AgeAtFirstHFDate,C_full_exploratory,own_complete_case
EstimatedSysPAPressure,0.055941033361294794,0.8130303001936738,0.2986189749061605,EstimatedSysPAPressure,C_full_exploratory,own_complete_case
LACavitySize_Moderately dilated,2.085132825070401,0.1487392845807183,2.749142356813632,LACavitySize,C_full_exploratory,own_complete_case
LACavitySize_Normal,0.3010802535073259,0.5832059901253196,0.7779225571845974,LACavitySize,C_full_exploratory,own_complete_case
LACavitySize_Severely dilated,1.8038229720719856,0.17925100247473486,2.479946907556922,LACavitySize,C_full_exploratory,own_complete_case
LV_EF,3.533331649116681,0.060146815258067386,4.055367840287449,LV_EF,C_full_exploratory,own_complete_case
TissueDopplerEERatioSeptal,4.510124471642731,0.033694788606908777,4.891330715054778,TissueDopplerEERatioSeptal,C_full_exploratory,own_complete_case
albumin-numeric result,5.9395140690697374,0.01480509998818847,6.077761955795797,albumin-numeric result,C_full_exploratory,own_complete_case
creatinine-numeric result,1.7864490658269747,0.1813594081836523,2.4630765065252223,creatinine-numeric result,C_full_exploratory,own_complete_case
m/f_m,0.08853489772201181,0.7660480581020985,0.38449319227927825,m/f,C_full_exploratory,own_complete_case
tricuspid_regurgitation_clin_grouped_Mild-to-mod,2.1794458382524313,0.13986481477991766,2.8378950196393564,tricuspid_regurgitation_clin_grouped,C_full_exploratory,own_complete_case
tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,1.0115199335995995,0.31453898514978307,1.6686892536283013,tricuspid_regurgitation_clin_grouped,C_full_exploratory,own_complete_case
tricuspid_regurgitation_clin_grouped_Trivial,3.9582508550220434,0.04664214548690672,4.42222203733988,tricuspid_regurgitation_clin_grouped,C_full_exploratory,own_complete_case
