term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),outcome,model_name,tier,sample_label,landmark_period
AgeAtFirstHFDate,0.040691699893311936,1.041530951938576,0.008839655299473526,0.0233662938705952,0.05801710591602867,1.0236414244634706,1.0597331232610623,0.0,4.603312970329902,4.158226248438315e-06,17.8756003121813,survival,cox_regular,C_minimal_early_0_to_6m,own_complete_case,early_0_to_6m
albumin-numeric result,-0.7160811770583615,0.4886634943239615,0.1640026370304012,-1.0375204390075428,-0.3946419151091802,0.35433218185843884,0.6739213170885658,0.0,-4.366278433228006,1.2638136030900602e-05,16.271856774946617,survival,cox_regular,C_minimal_early_0_to_6m,own_complete_case,early_0_to_6m
creatinine-numeric result,-0.151143973908745,0.8597239119363471,0.04745897879993231,-0.24416186309966229,-0.058126084717827736,0.7833608267888359,0.9435309750999022,0.0,-3.184728743235423,0.0014488975134612982,9.430828733970339,survival,cox_regular,C_minimal_early_0_to_6m,own_complete_case,early_0_to_6m
AFIB_binary,0.279457069336297,1.3224116395669103,0.1818126908673409,-0.07688925669600555,0.6358033953685995,0.9259923953858216,1.8885387754544192,0.0,1.537060300923669,0.12427854340191549,3.008350857223467,survival,cox_regular,C_minimal_early_0_to_6m,own_complete_case,early_0_to_6m
LV_EF,-0.027952971984897802,0.9724340973713466,0.005782979074979978,-0.039287402695207314,-0.01661854127458829,0.9614743391170886,0.9835187849098349,0.0,-4.833663000067934,1.3404342753203744e-06,19.508868087037616,survival,cox_regular,C_minimal_early_0_to_6m,own_complete_case,early_0_to_6m
TissueDopplerEERatioSeptal,0.0009460894565819323,1.0009465371403836,0.009003897340214138,-0.016701225050733765,0.01859340396389763,0.9834374672246615,1.0187673376333217,0.0,0.10507554904656782,0.916315860916677,0.12608310308366505,survival,cox_regular,C_minimal_early_0_to_6m,own_complete_case,early_0_to_6m
m/f_m,-0.27417532143285334,0.7601987844367135,0.1912724276976853,-0.6490623909558579,0.10071174809015132,0.5225354811425165,1.105957801363999,0.0,-1.4334283552159426,0.15173545988640386,2.720369818635792,survival,cox_regular,C_minimal_early_0_to_6m,own_complete_case,early_0_to_6m
AgeAtFirstHFDate,0.03721341324646229,1.0379145019072218,0.006040364408364931,0.025374516552569434,0.04905230994035514,1.0256991899243495,1.050275289140835,0.0,6.160789437625271,7.238318479542481e-10,30.36362636247454,survival,cox_regular,C_minimal_late_after_6m,own_complete_case,late_after_6m
albumin-numeric result,-0.08728281246983735,0.9164178845754803,0.12020214917307868,-0.3228746957133826,0.14830907077370792,0.7240645770791201,1.1598713232977689,0.0,-0.7261335431212558,0.46775690759536204,1.0961691362796893,survival,cox_regular,C_minimal_late_after_6m,own_complete_case,late_after_6m
creatinine-numeric result,-0.0468241839189804,0.9542551562444681,0.03380051334488499,-0.11307197273392046,0.019423604895959665,0.8930863799344421,1.0196134704080897,0.0,-1.385309845480979,0.16595774451147216,2.5911121397248733,survival,cox_regular,C_minimal_late_after_6m,own_complete_case,late_after_6m
AFIB_binary,0.18388339110445368,1.2018756655307092,0.13031443771029544,-0.07152821347331367,0.439294995682221,0.9309700113267618,1.5516129389992537,0.0,1.4110745849454411,0.1582226229998158,2.659972200789666,survival,cox_regular,C_minimal_late_after_6m,own_complete_case,late_after_6m
LV_EF,-0.013576631879741912,0.9865151149133812,0.0042917923770688805,-0.021988390367920465,-0.0051648733915633585,0.97825159212635,0.9948484416336759,0.0,-3.163394378600905,0.0015594092529473702,9.324784684583602,survival,cox_regular,C_minimal_late_after_6m,own_complete_case,late_after_6m
TissueDopplerEERatioSeptal,0.03050335993068425,1.0309733540419683,0.006800042418350024,0.01717552169737355,0.043831198163994944,1.017323869067646,1.0448059748354028,0.0,4.485760242961197,7.265440518661255e-06,17.07051829523471,survival,cox_regular,C_minimal_late_after_6m,own_complete_case,late_after_6m
m/f_m,0.15481222922309476,1.1674387296458837,0.13753864284919873,-0.11475855724385217,0.42438301569004167,0.8915813837883627,1.5286469774482343,0.0,1.1255907868222554,0.260338769604203,1.941537921252256,survival,cox_regular,C_minimal_late_after_6m,own_complete_case,late_after_6m
