term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),outcome,model_name,tier,sample_label
AgeAtFirstHFDate,0.04053392644144254,1.0413666389675131,0.004400187394604789,0.03190971762279002,0.04915813526009506,1.0324242913780792,1.050386440740346,0.0,9.21186367906569,3.2051096456726187e-20,64.75818818596957,survival,cox_regular,Model_B,own_complete_case
albumin-numeric result,-0.24560722377949798,0.7822294057044136,0.08393373267164642,-0.4101143169039378,-0.08110013065505817,0.6635743880306694,0.9221013562090641,0.0,-2.926203994052398,0.003431258623857913,8.187046414582456,survival,cox_regular,Model_B,own_complete_case
creatinine-numeric result,-0.09102852052955031,0.9129916715219923,0.0239533796468812,-0.13797628194545222,-0.04408075911364839,0.8711193527571042,0.9568766778401981,0.0,-3.8002370384257023,0.0001445577448874695,12.75606647421826,survival,cox_regular,Model_B,own_complete_case
AFIB_binary,0.165554512058138,1.1800472877725552,0.09206449737905734,-0.014888587059596559,0.3459976111758726,0.9852216999351276,1.4133992394514396,0.0,1.7982448910408981,0.07213820856248003,3.793092593238052,survival,cox_regular,Model_B,own_complete_case
LV_EF,-0.018862413303882174,0.9813143687568932,0.0029058853589050177,-0.02455784395053826,-0.01316698265722609,0.9757412465575945,0.9869193228492863,0.0,-6.491107175332554,8.52078333655354e-11,33.450222976712176,survival,cox_regular,Model_B,own_complete_case
m/f_m,-0.06684158899630994,0.9353433582818018,0.09856824282984099,-0.2600317949621967,0.12634861696957683,0.7710270706372754,1.1346776672299936,0.0,-0.6781249931755304,0.4976924451181015,1.0066736075577312,survival,cox_regular,Model_B,own_complete_case
AgeAtFirstHFDate,0.038170740629364895,1.0389086016445368,0.004979600269159291,0.028410903444406728,0.04793057781432306,1.0288183425802666,1.0490978221325786,0.0,7.665422637590403,1.7824327776023444e-14,45.67314566030846,survival,cox_regular,C_minimal,own_complete_case
albumin-numeric result,-0.27931032166937625,0.756305168912786,0.09620321659049562,-0.46786516138365386,-0.09075548195509861,0.626337972509523,0.913240987501362,0.0,-2.903336619796252,0.0036920955627762135,8.081344389815156,survival,cox_regular,C_minimal,own_complete_case
creatinine-numeric result,-0.08046924357397726,0.922683281587444,0.027229731249900586,-0.13383853613248725,-0.027099951015467284,0.8747312906988022,0.9732639579417074,0.0,-2.9551978620527537,0.003124685850445931,8.32207313321888,survival,cox_regular,C_minimal,own_complete_case
AFIB_binary,0.22447337363601705,1.2516633836594881,0.10498890149510287,0.018698907929191988,0.4302478393428421,1.0188748272973476,1.5376385636591117,0.0,2.138067647526414,0.03251125325178605,4.942917019311282,survival,cox_regular,C_minimal,own_complete_case
LV_EF,-0.01863612938494846,0.9815364495436691,0.003407842052679405,-0.025315377073201143,-0.011956881696695777,0.9750023701411923,0.9881143177562509,0.0,-5.46860127226139,4.536008675371677e-08,24.39400135958072,survival,cox_regular,C_minimal,own_complete_case
TissueDopplerEERatioSeptal,0.018384876704825557,1.018554919021078,0.00538416713621304,0.007832103031103837,0.02893765037854728,1.007862854179678,1.0293604122422408,0.0,3.4146184989637196,0.000638714035599331,10.612542225786067,survival,cox_regular,C_minimal,own_complete_case
m/f_m,0.012896895078841224,1.0129804187091103,0.11084997018122363,-0.204365054163696,0.23015884432137845,0.8151647375828519,1.2587999472729772,0.0,0.11634549885540493,0.9073787275565113,0.140223257116787,survival,cox_regular,C_minimal,own_complete_case
AgeAtFirstHFDate,0.03690011339786493,1.0375893743847784,0.0053782481480813505,0.026358940727706236,0.047441286068023614,1.0267094101643595,1.0485846327870425,0.0,6.860991233926007,6.8384360351054065e-12,37.08947072324346,survival,cox_regular,C_lite_supportive,own_complete_case
albumin-numeric result,-0.4986036998409819,0.607378150107033,0.11032147643950757,-0.7148298203837009,-0.28237757929826296,0.4892753694063867,0.7539889401647569,0.0,-4.519552456446507,6.197049221854677e-06,17.299987141946776,survival,cox_regular,C_lite_supportive,own_complete_case
creatinine-numeric result,-0.09257502637656362,0.911580815793219,0.0313513768703099,-0.1540225959081131,-0.031127456845014133,0.8572526503904919,0.9693520146525141,0.0,-2.952821713684709,0.0031488376688753165,8.310964900115133,survival,cox_regular,C_lite_supportive,own_complete_case
AFIB_binary,0.3061569191380125,1.3581954166809642,0.11486455850976061,0.08102652135878793,0.5312873169172371,1.0843996559377345,1.7011207812473699,0.0,2.6653732283487326,0.007690292036195177,7.022745899586726,survival,cox_regular,C_lite_supportive,own_complete_case
LV_EF,-0.019927554479541084,0.9802696868820728,0.003933625879248749,-0.027637319531523336,-0.012217789427558832,0.9727410970299755,0.9878565447207229,0.0,-5.065950624502929,4.0636724626738704e-07,21.23071254052644,survival,cox_regular,C_lite_supportive,own_complete_case
TissueDopplerEERatioSeptal,0.014049083838012946,1.0141482360045948,0.006052708560457534,0.0021859930505989025,0.02591217462542699,1.0021883840753447,1.0262508136533228,0.0,2.321123460296088,0.020280181552319258,5.6237856220755695,survival,cox_regular,C_lite_supportive,own_complete_case
EstimatedSysPAPressure,0.0030152515950991423,1.0030198020386178,0.004264337800623007,-0.005342696912034697,0.01137320010223298,0.9946715499096697,1.0114381208278769,0.0,0.7070855396724488,0.47951332161681537,1.0603571988023575,survival,cox_regular,C_lite_supportive,own_complete_case
m/f_m,-0.054253783456223316,0.9471916944148688,0.12403905341551645,-0.29736586082707556,0.1888582939146289,0.7427722113887197,1.207869777857087,0.0,-0.4373927562513673,0.6618265365551821,0.5954749558675639,survival,cox_regular,C_lite_supportive,own_complete_case
LACavitySize_Moderately dilated,0.13927116255353048,1.1494357416797523,0.13275272960206602,-0.12091940631590323,0.39946173142296415,0.8861053712115381,1.4910219113607814,0.0,1.0491020634453532,0.29413114653148054,1.7654685307668807,survival,cox_regular,C_lite_supportive,own_complete_case
LACavitySize_Normal,0.23562352809684697,1.265697720831484,0.20569806178075212,-0.16753726468312216,0.6387843208768161,0.8457451002784482,1.894176767906291,0.0,1.1454824904864276,0.2520093445416808,1.9884508648367958,survival,cox_regular,C_lite_supportive,own_complete_case
LACavitySize_Severely dilated,0.09727340980384115,1.1021616742370168,0.22342453568945567,-0.3406306334100759,0.5351774530177582,0.7113215981220217,1.7077512609824639,0.0,0.4353747877495618,0.6632904077426254,0.592287432576382,survival,cox_regular,C_lite_supportive,own_complete_case
