term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),outcome,model_name,tier
AgeAtFirstHFDate,0.03979092034121234,1.0405931845784313,0.004912271470332132,0.03016304517707774,0.04941879550534693,1.0306225582928827,1.0506602704143033,0.0,8.100309720570465,5.481944326728372e-16,50.69616184161396,survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal
albumin-numeric result,-1.4299901929472136,0.23931126917049542,0.32337685131176136,-2.06379717495223,-0.7961832109421972,0.12697092256079545,0.45104723504369026,0.0,-4.422054909454814,9.776660135922257e-06,16.642226867773537,survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal
creatinine-numeric result,-0.09623936169864902,0.9082465906013611,0.027310209872662552,-0.14976638945929785,-0.0427123339380002,0.8609090703687351,0.9581869883025851,0.0,-3.5239334354213208,0.0004251910499880729,11.199601150210343,survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal
AFIB_binary,0.19432993321982822,1.214496919740108,0.10425967984731452,-0.01001528432058471,0.3986751507602412,0.9900347016257566,1.4898495634911357,0.0,1.8639030304372617,0.06233532309620325,4.003806273486907,survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal
LV_EF,-0.021279345297781017,0.9789454625587379,0.0032709773372857037,-0.02769034307310772,-0.014868347522454313,0.9726895202193709,0.9852416405681105,0.0,-6.505500681774479,7.743503279679917e-11,33.58822263233214,survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal
m/f_m,-0.03272084406415208,0.9678086914238013,0.10996039600075531,-0.24823925995139468,0.18279757182309053,0.780173256730133,1.2005713540107223,0.0,-0.2975693545513179,0.7660318670515087,0.3845236851380516,survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal
albumin_x_log_time,0.20703974556666704,1.2300314591065795,0.0544885820285519,0.10024408722204889,0.31383540391128517,1.1054407090998613,1.3686644411927338,0.0,3.7996904646587915,0.00014487692996543146,12.752884499453087,survival,cox_time_varying_albumin,Model_B_matched_to_C_minimal
AgeAtFirstHFDate,0.03797912043652047,1.0387095448502017,0.004968951610707858,0.02824015423861078,0.04771808663443016,1.0286426876622583,1.0488749217815487,0.0,7.6432864338379245,2.1174621536400845e-14,45.42465714457692,survival,cox_time_varying_albumin,C_minimal_matched
albumin-numeric result,-1.4946030301803936,0.22433764233015288,0.32722941360183794,-2.135960895522157,-0.85324516483863,0.11813102425055237,0.426030148181131,0.0,-4.567447081633614,4.937002615314209e-06,17.627933159995653,survival,cox_time_varying_albumin,C_minimal_matched
creatinine-numeric result,-0.08937557412525111,0.9145020457625337,0.027489767120759335,-0.14325452762533275,-0.03549662062516948,0.8665334841142366,0.9651259957469879,0.0,-3.2512306754958913,0.0011490658609258722,9.765322793459571,survival,cox_time_varying_albumin,C_minimal_matched
AFIB_binary,0.2338537088733997,1.2634596457524183,0.1050627319442169,0.027934538145348714,0.43977287960145073,1.028328365936028,1.5523546070731784,0.0,2.225848353130246,0.02602434076338262,5.263994571473652,survival,cox_time_varying_albumin,C_minimal_matched
LV_EF,-0.01819117708058336,0.9819732836266708,0.0034126744249005606,-0.024879896044349398,-0.01150245811681732,0.9754270576414374,0.988563442240504,0.0,-5.330475403059704,9.795600058227527e-08,23.283290887380613,survival,cox_time_varying_albumin,C_minimal_matched
TissueDopplerEERatioSeptal,0.018784021347421447,1.0189615509072658,0.005381777106359682,0.008235932046134282,0.029332110648708613,1.008269940634496,1.0297665341227547,0.0,3.4903008757505476,0.0004824770163655819,11.0172521608271,survival,cox_time_varying_albumin,C_minimal_matched
m/f_m,0.015157177207029908,1.0152726297917107,0.11087201958507986,-0.20214798807294612,0.23246234248700595,0.8169740165853765,1.261702932869783,0.0,0.13670876803501125,0.891260998717973,0.16608011946215087,survival,cox_time_varying_albumin,C_minimal_matched
albumin_x_log_time,0.21279222621058183,1.2371275818527094,0.05503282623123677,0.1049298688299066,0.3206545835912571,1.110632717652351,1.378029504673572,0.0,3.866641798777916,0.00011034431629412139,13.145700059541925,survival,cox_time_varying_albumin,C_minimal_matched
