outcome,model_name,tier,term,estimate_log,se_log,IRR,ci_lower,ci_upper,p_value
hospitalization,negative_binomial,Model_B,const,-1.5766914702783341,0.2649535586147248,0.20665770152323193,0.12294718019335729,0.34736384788736013,2.667990939286824e-09
hospitalization,negative_binomial,Model_B,AgeAtFirstHFDate,0.02891130938245477,0.0026641884081181426,1.029333298220751,1.0239723252228508,1.034722338414196,0.0
hospitalization,negative_binomial,Model_B,albumin-numeric result,0.02214616436127404,0.05491110638890395,1.0223932110004124,0.9180718677092304,1.1385686836346833,0.6867206409710782
hospitalization,negative_binomial,Model_B,creatinine-numeric result,-0.07266437556334987,0.015661235864855065,0.929912879143405,0.901801907432282,0.9589001261473955,3.488140499108283e-06
hospitalization,negative_binomial,Model_B,AFIB_binary,-0.005357456806306338,0.06089003318459527,0.9946568687711045,0.8827599948394423,1.1207375644310673,0.9298879815860104
hospitalization,negative_binomial,Model_B,LV_EF,-0.007058351415831963,0.0019668477363338913,0.9929665002415697,0.989145961832043,0.9968017953344394,0.00033237963525922787
hospitalization,negative_binomial,Model_B,m/f_m,-0.05133502510109555,0.06435189004305568,0.9499603566493107,0.8373905339261449,1.0776628617644206,0.42503087194595945
hospitalization,poisson_robust,Model_B,const,-1.5766914702782096,0.5619469863802254,0.2066577015232577,0.0686930284146628,0.6217138272180148,0.00501972078368107
hospitalization,poisson_robust,Model_B,AgeAtFirstHFDate,0.028911309382455133,0.005737931128622102,1.0293332982207515,1.0178219126533607,1.0409748755201471,4.688769850158536e-07
hospitalization,poisson_robust,Model_B,albumin-numeric result,0.022146164361264573,0.10351151845712506,1.0223932110004026,0.8346553349880401,1.2523587091367385,0.8305869903127927
hospitalization,poisson_robust,Model_B,creatinine-numeric result,-0.072664375563349,0.03509412605221127,0.9299128791434059,0.8680995667823483,0.9961276285414705,0.038400248198084075
hospitalization,poisson_robust,Model_B,AFIB_binary,-0.005357456806299835,0.12459476193547335,0.9946568687711109,0.7791410451953373,1.2697858657228287,0.9657022885339537
hospitalization,poisson_robust,Model_B,LV_EF,-0.007058351415833984,0.00407655656676373,0.9929665002415677,0.9850642590864717,1.0009321336217873,0.08337164255206408
hospitalization,poisson_robust,Model_B,m/f_m,-0.0513350251011081,0.13517816031549762,0.9499603566492987,0.7288522668309824,1.2381448481033963,0.7041248570640508
hospitalization,zinb_intercept_inflation,Model_B,inflate_const,-17.19931189698912,738.9873545513174,3.391827450070864e-08,0.0,inf,0.9814315813367578
hospitalization,zinb_intercept_inflation,Model_B,const,-0.6841565945153553,0.6151315419929962,0.5045155613775797,0.15109984782451893,1.6845546526806687,0.2660470711284195
hospitalization,zinb_intercept_inflation,Model_B,AgeAtFirstHFDate,0.03391571533540668,0.006335205135698045,1.0344974107862384,1.0217314756434208,1.0474228487964488,8.625438163711863e-08
hospitalization,zinb_intercept_inflation,Model_B,albumin-numeric result,0.02843946465747043,0.13611599550553005,1.0288477272997825,0.7879285336825748,1.343431035582177,0.8344985845202313
hospitalization,zinb_intercept_inflation,Model_B,creatinine-numeric result,-0.06787174154518746,0.03235969722821318,0.9343803080666759,0.8769575002920882,0.9955631371098188,0.03595678009089043
hospitalization,zinb_intercept_inflation,Model_B,AFIB_binary,-0.003073062883091035,0.1442012024077026,0.9969316541415091,0.7514824528203327,1.3225494744412143,0.9829976185643536
hospitalization,zinb_intercept_inflation,Model_B,LV_EF,-0.01713536344967246,0.004818747463682023,0.9830106119210278,0.973770033475151,0.9923388787194714,0.00037657455638950843
hospitalization,zinb_intercept_inflation,Model_B,m/f_m,-0.2726318792949863,0.1573191845403439,0.7613730132177532,0.5593513439491395,1.036359117622842,0.08309823066681288
hospitalization,negative_binomial,C_minimal,const,-1.2039603193236408,0.70261101346282,0.30000374552406994,0.07569237079554647,1.1890530892680984,0.08661108465611367
hospitalization,negative_binomial,C_minimal,AgeAtFirstHFDate,0.030965016209538523,0.006630576259881335,1.0314494192449832,1.0181315021396449,1.0449415446089325,3.0114996858454646e-06
hospitalization,negative_binomial,C_minimal,albumin-numeric result,-0.1550173683330205,0.14437542225587233,0.8564003031087791,0.6453301736982017,1.1365057904572804,0.2829525733617695
hospitalization,negative_binomial,C_minimal,creatinine-numeric result,-0.03944135693362503,0.03549156955644119,0.9613263274612548,0.8967260833736409,1.0305803801238116,0.2664443837665902
hospitalization,negative_binomial,C_minimal,AFIB_binary,0.039618802073672424,0.1516683793288187,1.040414094895033,0.7728647437792139,1.4005833460110326,0.7939229165285486
