outcome,model_name,tier,cohort_label,n_initial,n_complete,n_lost,pct_lost,events_total,zero_count_n,zero_count_pct,llf,aic,bic,alpha,pearson_dispersion_nb,pearson_dispersion_poisson_scale,converged,warnflag,pearson_dispersion_poisson,nb_fit_flags,committee_model_use,locked_role
hospitalization,negative_binomial,Model_B,full_cohort_primary,644,639,5,0.7763975155279503,1164.0,248,38.810641627543035,-1707.7084543893966,3431.416908778793,3467.0961444138134,3.116545898743669e-08,9.181981849232596,9.181982044136836,True,0.0,,alpha_near_zero_degenerated_to_poisson_review;residual_overdispersion_after_NB_review;high_poisson_scale_dispersion_context,interpret_with_caution_review_sensitivity,supportive_or_exploratory
hospitalization,poisson_robust,Model_B,full_cohort_primary,644,639,5,0.7763975155279503,1164.0,248,38.810641627543035,-1707.7085103244922,3429.4170206489844,,,,,True,,7.817143262687057,,sensitivity_robust_poisson,supportive_or_exploratory
hospitalization,zinb_intercept_inflation,Model_B,full_cohort_primary,644,639,5,0.7763975155279503,1164.0,248,38.810641627543035,-1238.2556564516017,2494.5113129032034,2534.650452992601,1.757794335985311,,,True,0.0,,,sensitivity_zero_inflation_diagnostic,supportive_or_exploratory
hospitalization,negative_binomial,C_minimal,full_cohort_primary,644,518,126,19.565217391304348,955.0,195,37.64478764478765,-991.0608733995147,2000.1217467990293,2038.3715239793646,1.4965448275503297,2.0964588230329,5.276193170508549,True,0.0,,residual_overdispersion_after_NB_review;high_poisson_scale_dispersion_context,interpret_with_caution_review_sensitivity,primary_hospitalization_model
hospitalization,poisson_robust,C_minimal,full_cohort_primary,644,518,126,19.565217391304348,955.0,195,37.64478764478765,-1306.0717865575145,2628.143573115029,,,,,True,,6.861865659126646,,sensitivity_robust_poisson,supportive_or_exploratory
hospitalization,zinb_intercept_inflation,C_minimal,full_cohort_primary,644,518,126,19.565217391304348,955.0,195,37.64478764478765,-991.0608734052905,2002.121746810581,2044.6214992331759,1.4965454403630498,,,True,0.0,,,sensitivity_zero_inflation_diagnostic,supportive_or_exploratory
hospitalization,negative_binomial,C_lite_supportive,full_cohort_primary,644,415,229,35.55900621118012,781.0,161,38.795180722891565,,,,5.90261420984255e-29,8.962239635186327,8.962239635186327,False,3.0,,not_converged_review;alpha_near_zero_degenerated_to_poisson_review;residual_overdispersion_after_NB_review;high_poisson_scale_dispersion_context,interpret_with_caution_review_sensitivity,supportive_or_exploratory
hospitalization,poisson_robust,C_lite_supportive,full_cohort_primary,644,415,229,35.55900621118012,781.0,161,38.795180722891565,-1072.1965705036732,2168.3931410073465,,,,,True,,7.255547588108042,,sensitivity_robust_poisson,supportive_or_exploratory
hospitalization,zinb_intercept_inflation,C_lite_supportive,full_cohort_primary,644,415,229,35.55900621118012,781.0,161,38.795180722891565,-797.1739876533688,1622.3479753067377,1678.7438745899674,1.5635790742322175,,,True,0.0,,,sensitivity_zero_inflation_diagnostic,supportive_or_exploratory
hospitalization,negative_binomial,C_full_exploratory,full_cohort_primary,644,408,236,36.64596273291926,766.0,160,39.21568627450981,,,,3.141036157856035e-25,9.277720625492028,9.277720625492028,False,3.0,,not_converged_review;alpha_near_zero_degenerated_to_poisson_review;residual_overdispersion_after_NB_review;high_poisson_scale_dispersion_context,interpret_with_caution_review_sensitivity,supportive_or_exploratory
