ll_reduced,ll_full,lr_stat,df_diff,lr_p_value,outcome,model_family,comparison,role,matched_tier,n_matched,events,added_variables,aic_reduced,aic_full,delta_aic_full_minus_reduced,auc_reduced,auc_full,delta_auc_full_minus_reduced,committee_status,section,harrell_c_reduced,harrell_c_full,delta_harrell_c_full_minus_reduced,cohort_label,events_total,zero_count_n,alpha_reduced,alpha_full,pearson_dispersion_nb_reduced,pearson_dispersion_nb_full,pearson_dispersion_poisson_scale_reduced,pearson_dispersion_poisson_scale_full,converged_reduced,converged_full,nb_fit_flags_reduced,nb_fit_flags_full,interpretation_guardrail
-236.71097140791267,-235.63804499933633,2.1458528171526723,4,0.7089536873170712,one_year_mortality,logistic,C_lite_vs_C_minimal,supportive_sensitivity,C_lite_supportive,398,164.0,EstimatedSysPAPressure + LACavitySize,489.42194281582533,495.27608999867266,5.854147182847328,0.7382218052949759,0.7416614550760892,0.0034396497811132187,no_supportive_incremental_signal,logistic,,,,,,,,,,,,,,,,,supportive_or_exploratory_only; do_not_replace_primary_Cminimal
-232.20065888284483,-229.11961819824393,6.162081369201815,3,0.10398544279200571,one_year_mortality,logistic,C_full_vs_C_lite,exploratory_sensitivity,C_full_exploratory,391,163.0,tricuspid_regurgitation_clin_grouped,488.40131776568967,488.23923639648785,-0.1620813692018146,0.7397481433645463,0.7491658594338608,0.009417716069314519,no_supportive_incremental_signal,logistic,,,,,,,,,,,,,,,,,supportive_or_exploratory_only; do_not_replace_primary_Cminimal
-1706.4456988658308,-1705.1092140170222,2.672969697617191,4,0.6139527855816287,survival,cox_regular,C_lite_vs_C_minimal,supportive_sensitivity,C_lite_supportive,415,340.0,EstimatedSysPAPressure + LACavitySize,3426.8913977316615,3432.2184280340443,5.327030302382809,,,,no_supportive_incremental_signal,cox_regular,0.687195450306684,0.6898222940226171,0.002626843715933025,,,,,,,,,,,,,,supportive_or_exploratory_only; do_not_replace_primary_Cminimal
-1674.2916570255816,-1669.0608391598032,10.461635731556726,3,0.015023415223621104,survival,cox_regular,C_full_vs_C_lite,exploratory_sensitivity,C_full_exploratory,408,335.0,tricuspid_regurgitation_clin_grouped,3370.583314051163,3366.1216783196064,-4.461635731556726,,,,supportive_signal_exploratory_not_primary,cox_regular,0.6891103878491999,0.6948738812042311,0.005763493355031235,,,,,,,,,,,,,,supportive_or_exploratory_only; do_not_replace_primary_Cminimal
-1702.811941094398,-1701.2843397032811,3.055202782233664,4,0.5486302263059524,survival,cox_time_varying_albumin,C_lite_vs_C_minimal,supportive_sensitivity,C_lite_supportive,415,340.0,EstimatedSysPAPressure + LACavitySize,,,,,,,no_supportive_incremental_signal,cox_time_varying_albumin,,,,,,,,,,,,,,,,,supportive_or_exploratory_only; do_not_replace_primary_Cminimal
-1670.1072420039764,-1665.2505716603982,9.713340687156233,3,0.021166803419712363,survival,cox_time_varying_albumin,C_full_vs_C_lite,exploratory_sensitivity,C_full_exploratory,408,335.0,tricuspid_regurgitation_clin_grouped,,,,,,,supportive_signal_exploratory_not_primary,cox_time_varying_albumin,,,,,,,,,,,,,,,,,supportive_or_exploratory_only; do_not_replace_primary_Cminimal
,,0.0,4,1.0,hospitalization,negative_binomial,C_lite_vs_C_minimal,supportive_sensitivity,C_lite_supportive,415,,EstimatedSysPAPressure + LACavitySize,,,,,,,no_supportive_incremental_signal,hospitalization_NB,,,,full_cohort_primary,781.0,161.0,2.9274279185459684e-29,5.90261420984255e-29,8.91383303983304,8.962239635186327,8.91383303983304,8.962239635186327,False,False,not_converged_review;alpha_near_zero_degenerated_to_poisson_review;residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,not_converged_review;alpha_near_zero_degenerated_to_poisson_review;residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,supportive_or_exploratory_only; do_not_replace_primary_Cminimal
,,0.0,3,1.0,hospitalization,negative_binomial,C_full_vs_C_lite,exploratory_sensitivity,C_full_exploratory,408,,tricuspid_regurgitation_clin_grouped,,,,,,,no_supportive_incremental_signal,hospitalization_NB,,,,full_cohort_primary,766.0,160.0,4.533954430849507e-27,3.141036157856035e-25,9.037820362871715,9.277720625492028,9.037820362871715,9.277720625492028,False,False,not_converged_review;alpha_near_zero_degenerated_to_poisson_review;residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,not_converged_review;alpha_near_zero_degenerated_to_poisson_review;residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,supportive_or_exploratory_only; do_not_replace_primary_Cminimal
-649.5176767931353,-646.3786575141983,6.27803855787397,4,0.17932411568991388,hospitalization,negative_binomial,C_lite_vs_C_minimal,supportive_sensitivity,C_lite_supportive,287,,EstimatedSysPAPressure + LACavitySize,1317.0353535862705,1318.7573150283965,1.7219614421260303,,,,no_supportive_incremental_signal,hospitalization_NB,,,,observed_ge_6m_sensitivity,705.0,77.0,1.4858208065128464,1.44430285234143,2.9955840047703055,3.244953591256342,7.4446660129233315,7.738925513730448,True,True,residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,supportive_or_exploratory_only; do_not_replace_primary_Cminimal
-633.3888834766,-632.2473281354592,2.283110682281631,3,0.5157641713026362,hospitalization,negative_binomial,C_full_vs_C_lite,exploratory_sensitivity,C_full_exploratory,281,,tricuspid_regurgitation_clin_grouped,1292.7777669532,1296.4946562709183,3.716889317718369,,,,no_supportive_incremental_signal,hospitalization_NB,,,,observed_ge_6m_sensitivity,692.0,76.0,1.4610571276864797,1.4496818845955823,3.234427320278548,3.4551765995334582,7.768117642780075,8.047931539089609,True,True,residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,supportive_or_exploratory_only; do_not_replace_primary_Cminimal
