section,outcome,comparison,cohort_label,role,n_matched,added_variables,lr_p_value,delta_aic_full_minus_reduced,committee_status,interpretation
logistic,one_year_mortality,C_lite_vs_C_minimal,,supportive_sensitivity,398,EstimatedSysPAPressure + LACavitySize,0.7089536873170712,5.854147182847328,no_supportive_incremental_signal,supportive/exploratory only; check complete-case loss and diagnostics before citing in manuscript
logistic,one_year_mortality,C_full_vs_C_lite,,exploratory_sensitivity,391,tricuspid_regurgitation_clin_grouped,0.10398544279200571,-0.1620813692018146,no_supportive_incremental_signal,supportive/exploratory only; check complete-case loss and diagnostics before citing in manuscript
cox_regular,survival,C_lite_vs_C_minimal,,supportive_sensitivity,415,EstimatedSysPAPressure + LACavitySize,0.6139527855816287,5.327030302382809,no_supportive_incremental_signal,supportive/exploratory only; check complete-case loss and diagnostics before citing in manuscript
cox_regular,survival,C_full_vs_C_lite,,exploratory_sensitivity,408,tricuspid_regurgitation_clin_grouped,0.015023415223621104,-4.461635731556726,supportive_signal_exploratory_not_primary,supportive/exploratory only; check complete-case loss and diagnostics before citing in manuscript
cox_time_varying_albumin,survival,C_lite_vs_C_minimal,,supportive_sensitivity,415,EstimatedSysPAPressure + LACavitySize,0.5486302263059524,,no_supportive_incremental_signal,supportive/exploratory only; check complete-case loss and diagnostics before citing in manuscript
cox_time_varying_albumin,survival,C_full_vs_C_lite,,exploratory_sensitivity,408,tricuspid_regurgitation_clin_grouped,0.021166803419712363,,supportive_signal_exploratory_not_primary,supportive/exploratory only; check complete-case loss and diagnostics before citing in manuscript
hospitalization_NB,hospitalization,C_lite_vs_C_minimal,full_cohort_primary,supportive_sensitivity,415,EstimatedSysPAPressure + LACavitySize,1.0,,no_supportive_incremental_signal,supportive/exploratory only; check complete-case loss and diagnostics before citing in manuscript
hospitalization_NB,hospitalization,C_full_vs_C_lite,full_cohort_primary,exploratory_sensitivity,408,tricuspid_regurgitation_clin_grouped,1.0,,no_supportive_incremental_signal,supportive/exploratory only; check complete-case loss and diagnostics before citing in manuscript
hospitalization_NB,hospitalization,C_lite_vs_C_minimal,observed_ge_6m_sensitivity,supportive_sensitivity,287,EstimatedSysPAPressure + LACavitySize,0.17932411568991388,1.7219614421260303,no_supportive_incremental_signal,supportive/exploratory only; check complete-case loss and diagnostics before citing in manuscript
hospitalization_NB,hospitalization,C_full_vs_C_lite,observed_ge_6m_sensitivity,exploratory_sensitivity,281,tricuspid_regurgitation_clin_grouped,0.5157641713026362,3.716889317718369,no_supportive_incremental_signal,supportive/exploratory only; check complete-case loss and diagnostics before citing in manuscript
