outcome,model_name,tier,cohort_label,n_initial,n_complete,n_lost,pct_lost,events_total,zero_count_n,zero_count_pct,llf,aic,bic,alpha,pearson_dispersion_nb,pearson_dispersion_poisson_scale,converged,warnflag,nb_fit_flags,pearson_dispersion_poisson
hospitalization,negative_binomial,C_minimal_primary_reference,full_cohort_primary,644,518,126,19.565217391304348,955.0,195,37.64478764478765,-991.0608733995147,2000.1217467990293,2038.3715239793646,1.4965448275503297,2.0964588230329,5.276193170508549,True,0.0,residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,
hospitalization,poisson_robust,C_minimal_primary_reference,full_cohort_primary,644,518,126,19.565217391304348,955.0,195,37.64478764478765,-1306.0717865575145,2628.143573115029,,,,,True,,,6.861865659126646
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,full_cohort_primary,644,518,126,19.565217391304348,955.0,195,37.64478764478765,-991.0608734052905,2002.121746810581,2044.6214992331759,1.4965454403630498,,,True,0.0,,
hospitalization,negative_binomial,C_lite_supportive,full_cohort_primary,644,415,229,35.55900621118012,781.0,161,38.795180722891565,,,,5.90261420984255e-29,8.962239635186327,8.962239635186327,False,3.0,not_converged_review;alpha_near_zero_degenerated_to_poisson_review;residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,
hospitalization,poisson_robust,C_lite_supportive,full_cohort_primary,644,415,229,35.55900621118012,781.0,161,38.795180722891565,-1072.1965705036732,2168.3931410073465,,,,,True,,,7.255547588108042
hospitalization,zinb_intercept_inflation,C_lite_supportive,full_cohort_primary,644,415,229,35.55900621118012,781.0,161,38.795180722891565,-797.1739876533688,1622.3479753067377,1678.7438745899674,1.5635790742322175,,,True,0.0,,
hospitalization,negative_binomial,C_full_exploratory,full_cohort_primary,644,408,236,36.64596273291926,766.0,160,39.21568627450981,,,,3.141036157856035e-25,9.277720625492028,9.277720625492028,False,3.0,not_converged_review;alpha_near_zero_degenerated_to_poisson_review;residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,
hospitalization,poisson_robust,C_full_exploratory,full_cohort_primary,644,408,236,36.64596273291926,766.0,160,39.21568627450981,-1049.1022086830662,2128.2044173661325,,,,,True,,,7.278592169200249
hospitalization,zinb_intercept_inflation,C_full_exploratory,full_cohort_primary,644,408,236,36.64596273291926,766.0,160,39.21568627450981,,,,-13833.170757032001,,,False,2.0,,
hospitalization,negative_binomial,C_minimal_primary_reference,observed_ge_6m_sensitivity,452,371,81,17.920353982300885,874.0,96,25.87601078167116,-827.4264180218645,1672.852836043729,1708.0986546071958,1.3928841838628798,3.457027011323813,7.806604386490141,True,0.0,residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,
hospitalization,poisson_robust,C_minimal_primary_reference,observed_ge_6m_sensitivity,452,371,81,17.920353982300885,874.0,96,25.87601078167116,-1105.0808918325224,2226.161783665045,,,,,True,,,6.529126427914
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,observed_ge_6m_sensitivity,452,371,81,17.920353982300885,874.0,96,25.87601078167116,-827.4264181084668,1674.8528362169336,1714.014856843008,1.392886232406048,,,True,0.0,,
hospitalization,negative_binomial,C_lite_supportive,observed_ge_6m_sensitivity,452,287,165,36.50442477876106,705.0,77,26.82926829268293,-646.3786575141983,1318.7573150283965,1366.3305838332717,1.44430285234143,3.244953591256342,7.738925513730448,True,0.0,residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,
hospitalization,poisson_robust,C_lite_supportive,observed_ge_6m_sensitivity,452,287,165,36.50442477876106,705.0,77,26.82926829268293,-887.027687760579,1798.055375521158,,,,,True,,,6.7545582692303725
hospitalization,zinb_intercept_inflation,C_lite_supportive,observed_ge_6m_sensitivity,452,287,165,36.50442477876106,705.0,77,26.82926829268293,-646.3786575265165,1320.757315053033,1371.9900660736675,1.4443026578397093,,,True,0.0,,
hospitalization,negative_binomial,C_full_exploratory,observed_ge_6m_sensitivity,452,281,171,37.83185840707964,692.0,76,27.046263345195733,-632.2473281354592,1296.4946562709183,1354.7083309802583,1.4496818845955823,3.4551765995334582,8.047931539089609,True,0.0,residual_overdispersion_after_NB_review;high_poisson_scale_overdispersion_reference,
hospitalization,poisson_robust,C_full_exploratory,observed_ge_6m_sensitivity,452,281,171,37.83185840707964,692.0,76,27.046263345195733,-871.4288126282445,1772.857625256489,,,,,True,,,6.809579638702699
hospitalization,zinb_intercept_inflation,C_full_exploratory,observed_ge_6m_sensitivity,452,281,171,37.83185840707964,692.0,76,27.046263345195733,-632.2473282126746,1298.4946564253491,1360.3466858040229,1.4496815614296297,,,True,0.0,,
