algorithm,K,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size,n_clusters_below_30,disqualified_size_floor,mean_stability,min_stability
kmeans,2,0.12483235979667305,86.54469371918859,2.483816510829316,228,374,0,False,0.9601022562632948,0.9513328841163567
kmeans,3,0.10606055860095603,75.01958614559811,2.3862372516962482,192,206,0,False,0.9405612626862836,0.9104286649214661
kmeans,4,0.10834444355153736,66.06373828487665,2.211761015971357,100,180,0,False,0.8546443013471374,0.7611636363636362
kmeans,5,0.10119797141108827,59.07673878434567,2.1394269325324595,84,157,0,False,0.7050869793757726,0.46183800623052973
kmeans,6,0.09414677854708985,53.63422326223712,2.1794714991839266,76,142,0,False,0.6747002552274218,0.5034362846030658
ward,2,0.09733461150970447,49.43852751091807,2.460778152136541,103,499,0,False,0.7564812325758629,0.7115232875389331
ward,3,0.0643797330839157,48.263177354485194,2.9779705988432448,103,271,0,False,0.6000437651589112,0.49784063683437674
ward,4,0.06363230062298365,45.779953272223565,2.7510949009475185,103,228,0,False,0.5670251901135168,0.4064387648149642
ward,5,0.05581876187816525,42.393313438099,2.540599082267327,62,166,0,False,0.5097303987156014,0.34749657340965906
ward,6,0.05666531702655013,40.85986278395112,2.4531136928933166,56,166,0,False,0.4778442872501414,0.3987942887361184
gmm,2,0.06478291263584,26.085468917582084,2.7801140339752566,65,537,0,False,1.0,1.0
gmm,3,0.027558065355250676,23.8652283365577,3.9745310171489563,65,380,0,False,0.9030324457532917,0.857205618161032
gmm,4,0.01857129652542695,21.444299366213862,3.9496508647157653,65,298,0,False,0.8071145516398216,0.6938640458640455
gmm,5,0.016997740528891258,19.267900409370903,3.1939333571630373,16,363,2,True,0.67028923227002,0.39835497835497835
gmm,6,0.00706882481460344,22.472651732841577,3.0134410867392916,14,295,2,True,0.5946090049966676,0.34571428571428575
