K,algo_a,algo_b,ARI
2,kmeans,ward,0.2488204639732234
2,kmeans,gmm,-0.03651419544526777
2,ward,gmm,-0.08070355552520331
3,kmeans,ward,0.27617487710483213
3,kmeans,gmm,0.05967589450226265
3,ward,gmm,-0.010262878799873169
4,kmeans,ward,0.30284119223202915
4,kmeans,gmm,0.04091239250872695
4,ward,gmm,0.03546478318698825
5,kmeans,ward,0.32620339829732997
5,kmeans,gmm,0.04523318544656269
5,ward,gmm,0.02183578509016965
6,kmeans,ward,0.40018460704307474
6,kmeans,gmm,0.08926315099368148
6,ward,gmm,0.060100078256773305
