variable,new_column,original_level,mapped_to,decision_id,mapping_action
LeftVentricleCavitySize,LeftVentricleCavitySize_clin_grouped,Normal,Normal,DEC-037,
LeftVentricleCavitySize,LeftVentricleCavitySize_clin_grouped,Mildly dilated,Mildly dilated,DEC-037,
LeftVentricleCavitySize,LeftVentricleCavitySize_clin_grouped,Moderately dilated,Moderately-Severely dilated,DEC-037,
LeftVentricleCavitySize,LeftVentricleCavitySize_clin_grouped,Severely dilated,Moderately-Severely dilated,DEC-037,
LeftVentricleCavitySize,LeftVentricleCavitySize_clin_grouped,Small,IGNORE,DEC-037,
LeftVentricleWallThickness,LeftVentricleWallThickness_clin_grouped,Normal,Normal,DEC-037,
LeftVentricleWallThickness,LeftVentricleWallThickness_clin_grouped,Mildly increased,Mildly increased,DEC-037,
LeftVentricleWallThickness,LeftVentricleWallThickness_clin_grouped,Moderately increased,Moderately-Severely increased,DEC-037,
LeftVentricleWallThickness,LeftVentricleWallThickness_clin_grouped,Severely increased,Moderately-Severely increased,DEC-037,
LeftVentricleSystolicFunction,LeftVentricleSystolicFunction_clin_grouped,Normal,Normal,DEC-037,
LeftVentricleSystolicFunction,LeftVentricleSystolicFunction_clin_grouped,Mildly reduced,Mildly reduced,DEC-037,
LeftVentricleSystolicFunction,LeftVentricleSystolicFunction_clin_grouped,Mild-moderately reduced,Mild-moderately reduced,DEC-037,
LeftVentricleSystolicFunction,LeftVentricleSystolicFunction_clin_grouped,Moderately reduced,Moderately reduced,DEC-037,
LeftVentricleSystolicFunction,LeftVentricleSystolicFunction_clin_grouped,Moderate-severely reduced,Moderate-severely reduced,DEC-037,
LeftVentricleSystolicFunction,LeftVentricleSystolicFunction_clin_grouped,Severely reduced,Severely reduced,DEC-037,
LeftVentricleSystolicFunction,LeftVentricleSystolicFunction_clin_grouped,Increased (hyperdynamic),Increased (hyperdynamic),DEC-037,
RVSize,RVSize_clin_grouped,Normal,Normal,DEC-037,
RVSize,RVSize_clin_grouped,Mildly dilated,Mildly dilated,DEC-037,
RVSize,RVSize_clin_grouped,Dilated,Dilated,DEC-037,
RVSize,RVSize_clin_grouped,RVH,IGNORE,DEC-037,
AorticValveStructure,AorticValveStructure_clin_grouped,Normal,Normal,DEC-037,
AorticValveStructure,AorticValveStructure_clin_grouped,Thickened,Thickened,DEC-037,
AorticValveStructure,AorticValveStructure_clin_grouped,Calcified,Calcified,DEC-037,
AorticValveStructure,AorticValveStructure_clin_grouped,Bioprosthesis,Prosthetic_or_Bioprosthesis,DEC-037,
AorticValveStructure,AorticValveStructure_clin_grouped,Prosthetic,Prosthetic_or_Bioprosthesis,DEC-037,
AorticValveStructure,AorticValveStructure_clin_grouped,Focal calcification,IGNORE,DEC-037,
AorticValveStructure,AorticValveStructure_clin_grouped,Bicuspid,IGNORE,DEC-037,
AorticValveStructure,AorticValveStructure_clin_grouped,Not well seen,IGNORE,DEC-037,
AorticValveRegurgitation,AorticValveRegurgitation_clin_grouped,Trivial,Trivial,DEC-037,
AorticValveRegurgitation,AorticValveRegurgitation_clin_grouped,Mild (I),Mild_or_Mild-to-moderate,DEC-037,
AorticValveRegurgitation,AorticValveRegurgitation_clin_grouped,Mild-to-moderate (I-II),Mild_or_Mild-to-moderate,DEC-037,
AorticValveRegurgitation,AorticValveRegurgitation_clin_grouped,Moderate (II),Moderate-Severe,DEC-037,
AorticValveRegurgitation,AorticValveRegurgitation_clin_grouped,Moderately-severe (III),Moderate-Severe,DEC-037,
AorticValveRegurgitation,AorticValveRegurgitation_clin_grouped,Severe (IV),Moderate-Severe,DEC-037,
MitralRegurgitation,MitralRegurgitation_clin_grouped,Trivial,Trivial,DEC-037,
MitralRegurgitation,MitralRegurgitation_clin_grouped,Mild (I),Mild (I),DEC-037,
MitralRegurgitation,MitralRegurgitation_clin_grouped,Mild-to-moderate (I-II),Mild-to-moderate (I-II),DEC-037,
MitralRegurgitation,MitralRegurgitation_clin_grouped,Moderate (II),Moderate-Severe,DEC-037,
MitralRegurgitation,MitralRegurgitation_clin_grouped,Moderately-severe (III),Moderate-Severe,DEC-037,
MitralRegurgitation,MitralRegurgitation_clin_grouped,Severe (IV),Moderate-Severe,DEC-037,
TricuspidRegurgitation,TricuspidRegurgitation_clin_grouped,Trivial,Trivial,DEC-037,
TricuspidRegurgitation,TricuspidRegurgitation_clin_grouped,Mild (I),Mild (I),DEC-037,
TricuspidRegurgitation,TricuspidRegurgitation_clin_grouped,Mild-to-moderate (I-II),Mild-to-moderate (I-II),DEC-037,
TricuspidRegurgitation,TricuspidRegurgitation_clin_grouped,Moderate (II),Moderate-Severe,DEC-037,
TricuspidRegurgitation,TricuspidRegurgitation_clin_grouped,Moderately-severe (III),Moderate-Severe,DEC-037,
TricuspidRegurgitation,TricuspidRegurgitation_clin_grouped,Severe (IV),Moderate-Severe,DEC-037,
LACavitySize,LACavitySize_clin_grouped,,,DEC-037,no_change
RVSystolicFunction,RVSystolicFunction_clin_grouped,,,DEC-037,no_change
ECHO_SPAP,ECHO_SPAP_clin_grouped,,,DEC-037,no_change
