cohort,variable,n_total,n_missing,pct_missing
full_cohort,AFIB_binary,645,0,0.0
full_cohort,AgeAtFirstHFDate,645,0,0.0
full_cohort,CABG_binary,645,0,0.0
full_cohort,COPD_binary,645,0,0.0
full_cohort,Diabetes mellitus_binary,645,0,0.0
full_cohort,HD/PD,645,0,0.0
full_cohort,HTN_binary,645,0,0.0
full_cohort,IHD_binary,645,0,0.0
full_cohort,MI_binary,645,0,0.0
full_cohort,albumin-numeric result,645,1,0.16
full_cohort,creatinine-numeric result,645,1,0.16
full_cohort,crp-numeric result,645,25,3.88
full_cohort,hb-numeric result,645,66,10.23
full_cohort,m/f,645,1,0.16
full_cohort,LV_EF,645,4,0.62
full_cohort,LeftVentricleEstimatedMassIndex,645,67,10.39
full_cohort,MitralInflowPeakEWave,645,63,9.77
full_cohort,TissueDopplerEERatioLateral,645,122,18.91
full_cohort,TissueDopplerEERatioSeptal,645,122,18.91
full_cohort,TissueDopplerEVelosityLateral,645,114,17.67
full_cohort,TissueDopplerEVelositySeptal,645,114,17.67
full_cohort,LACavitySize,645,43,6.67
full_cohort,ECHO_SPAP,645,119,18.45
full_cohort,EstimatedSysPAPressure,645,108,16.74
full_cohort,TricuspidRegurgitation,645,45,6.98
full_cohort,MitralRegurgitation,645,48,7.44
full_cohort,days_echo_to_dialysis,645,0,0.0
full_cohort,BMI,645,126,19.53
full_cohort,DYSLIPIDEMIA_binary,645,0,0.0
full_cohort,OncologicalDiagnosis_binary,645,0,0.0
full_cohort,Weight,645,91,14.11
full_cohort,LeftVentricleScoreIndex,645,5,0.78
full_cohort,LeftVentricleSystolicFunction,645,75,11.63
full_cohort,TissueDopplerSVelocityLateral,645,131,20.31
full_cohort,TissueDopplerSVelocitySeptal,645,204,31.63
full_cohort,LeftVentricleCavitySize,645,74,11.47
full_cohort,LeftVentricleEndDiastolicDiameter,645,8,1.24
full_cohort,LeftVentricleEndSystolicDiameter,645,9,1.4
full_cohort,LeftVentricleEstimatedMass,645,16,2.48
full_cohort,LeftVentricleInterventricularSeptumThickness,645,8,1.24
full_cohort,LeftVentriclePosteriorWallThickness,645,13,2.02
full_cohort,LeftVentricleWallThickness,645,243,37.67
full_cohort,RVSize,645,345,53.49
full_cohort,RVSystolicFunction,645,341,52.87
full_cohort,AorticValveRegurgitation,645,343,53.18
full_cohort,AorticValveStructure,645,194,30.08
full_cohort,GFR,645,1,0.16
full_cohort,ca-numeric result,645,1,0.16
full_cohort,dbp-numeric result,645,137,21.24
full_cohort,hba1c-numeric result,645,65,10.08
full_cohort,k-numeric result,645,3,0.47
full_cohort,na-numeric result,645,3,0.47
full_cohort,p-numeric result,645,1,0.16
full_cohort,sbp-numeric result,645,164,25.43
full_cohort,ua-numeric result,645,1,0.16
full_cohort,urea-numeric result,645,4,0.62
full_cohort,years_since_MI,645,517,80.16
full_cohort,years_since_MI,645,517,80.16
full_cohort,LeftVentricleSummary,645,450,69.77
full_cohort,AorticValveSummary,645,507,78.6
full_cohort,MitralValveSummary,645,443,68.68
full_cohort,ProcedureSummary,645,0,0.0
