variable,n,n_missing_standard_after_processing,pct_missing_standard_after_processing,n_effective_missing_from_raw,pct_effective_missing_from_raw,decision
LeftVentricleCavitySize,645,74,11.47,74,11.47,"DEC-039: unusable echo values treated as missing, not normal."
LeftVentricleWallThickness,645,243,37.67,243,37.67,"DEC-039: unusable echo values treated as missing, not normal."
LeftVentricleSystolicFunction,645,75,11.63,75,11.63,"DEC-039: unusable echo values treated as missing, not normal."
RVSize,645,345,53.49,345,53.49,"DEC-039: unusable echo values treated as missing, not normal."
RVSystolicFunction,645,341,52.87,341,52.87,"DEC-039: unusable echo values treated as missing, not normal."
LACavitySize,645,43,6.67,43,6.67,"DEC-039: unusable echo values treated as missing, not normal."
AorticValveStructure,645,195,30.23,195,30.23,"DEC-039: unusable echo values treated as missing, not normal."
AorticValveRegurgitation,645,343,53.18,343,53.18,"DEC-039: unusable echo values treated as missing, not normal."
MitralValveStructure,645,463,71.78,463,71.78,"DEC-039: unusable echo values treated as missing, not normal."
MitralRegurgitation,645,48,7.44,48,7.44,"DEC-039: unusable echo values treated as missing, not normal."
TricuspidValveStructure,645,574,88.99,574,88.99,"DEC-039: unusable echo values treated as missing, not normal."
TricuspidRegurgitation,645,45,6.98,45,6.98,"DEC-039: unusable echo values treated as missing, not normal."
ECHO_SPAP,645,119,18.45,119,18.45,"DEC-039: unusable echo values treated as missing, not normal."
LV_EF,645,4,0.62,4,0.62,"DEC-039: unusable echo values treated as missing, not normal."
LeftVentricleEndDiastolicDiameter,645,8,1.24,8,1.24,"DEC-039: unusable echo values treated as missing, not normal."
LeftVentricleEndSystolicDiameter,645,9,1.4,9,1.4,"DEC-039: unusable echo values treated as missing, not normal."
LeftVentricleInterventricularSeptumThickness,645,8,1.24,8,1.24,"DEC-039: unusable echo values treated as missing, not normal."
LeftVentriclePosteriorWallThickness,645,13,2.02,13,2.02,"DEC-039: unusable echo values treated as missing, not normal."
LeftVentricleEstimatedMass,645,16,2.48,16,2.48,"DEC-039: unusable echo values treated as missing, not normal."
LeftVentricleEstimatedMassIndex,645,67,10.39,67,10.39,"DEC-039: unusable echo values treated as missing, not normal."
LeftVentricleScoreIndex,645,5,0.78,5,0.78,"DEC-039: unusable echo values treated as missing, not normal."
EstimatedSysPAPressure,645,108,16.74,108,16.74,"DEC-039: unusable echo values treated as missing, not normal."
MitralInflowPeakEWave,645,63,9.77,63,9.77,"DEC-039: unusable echo values treated as missing, not normal."
TissueDopplerSVelocitySeptal,645,204,31.63,204,31.63,"DEC-039: unusable echo values treated as missing, not normal."
TissueDopplerEVelositySeptal,645,114,17.67,114,17.67,"DEC-039: unusable echo values treated as missing, not normal."
TissueDopplerEERatioSeptal,645,122,18.91,122,18.91,"DEC-039: unusable echo values treated as missing, not normal."
TissueDopplerSVelocityLateral,645,131,20.31,131,20.31,"DEC-039: unusable echo values treated as missing, not normal."
TissueDopplerEVelosityLateral,645,114,17.67,114,17.67,"DEC-039: unusable echo values treated as missing, not normal."
TissueDopplerEERatioLateral,645,122,18.91,122,18.91,"DEC-039: unusable echo values treated as missing, not normal."
