column,dtype,vtype,n_available,pct_available,n_missing,pct_missing,n_unique_nonmissing,clinical_axis,proposed_status,sample_or_distribution,requires_review
censor_or_event_date,datetime64[ns],date,645,100.0,0,0.0,479,Admin,Excluded — identifier/date/QC only,"min=2012-02-17, max=2025-08-16",False
flag_echo_after_death,int64,binary,645,100.0,0,0.0,1,Admin,Excluded — identifier/date/QC only,0: 645 (100.0%),False
patient_id,int64,continuous,645,100.0,0,0.0,645,Admin,Excluded — identifier/date/QC only,"min=1, median=323, max=645",False
BMI,float64,continuous,521,80.8,124,19.2,471,Clinical core/covariate,Descriptive/sensitivity — held out of parsimonious base,"min=3.746, median=27.94, max=81.22",False
DYSLIPIDEMIA_binary,int64,binary,645,100.0,0,0.0,2,Clinical core/covariate,Descriptive/sensitivity — held out of parsimonious base,0: 334 (51.8%); 1: 311 (48.2%),False
OncologicalDiagnosis_binary,int64,binary,645,100.0,0,0.0,2,Clinical core/covariate,Descriptive/sensitivity — held out of parsimonious base,0: 502 (77.8%); 1: 143 (22.2%),False
Weight,float64,continuous,554,85.9,91,14.1,232,Clinical core/covariate,Descriptive/sensitivity — held out of parsimonious base,"min=42, median=80, max=166.5",False
death_event,int64,binary,645,100.0,0,0.0,2,Outcome,Outcome — not a predictor,1: 506 (78.4%); 0: 139 (21.6%),False
died_1year,float64,binary,618,95.8,27,4.2,2,Outcome,Outcome — not a predictor,0.0: 378 (58.6%); 1.0: 240 (37.2%); NaN: 27 (4.2%),False
followup_days,int64,continuous,645,100.0,0,0.0,511,Outcome,Outcome — not a predictor,"min=1, median=553, max=5911",False
hosp_total,int64,continuous,645,100.0,0,0.0,11,Outcome,Outcome — not a predictor,"min=0, median=1, max=10",False
hospitalization-count,int64,continuous,645,100.0,0,0.0,11,Outcome,Excluded — duplicate if hosp_total exists,"min=0, median=1, max=10",False
time_to_event_days,int64,continuous,645,100.0,0,0.0,511,Outcome,Outcome — not a predictor,"min=1, median=553, max=5911",False
MitralValveStructure,object,categorical/text,448,69.5,197,30.5,10,A6 Other valves,Excluded/descriptive — very high missingness,No Value: 261 (40.5%); NaN: 197 (30.5%); Thickened / sclerotic: 65 (10.1%); Calcified: 62 (9.6%); Normal: 20 (3.1%); Prosthetic: 14 (2.2%),False
TricuspidValveStructure,object,categorical/text,410,63.6,235,36.4,5,A6 Other valves,Excluded/descriptive — very high missingness,No Value: 339 (52.6%); NaN: 235 (36.4%); Normal: 54 (8.4%); s/p Repair: 11 (1.7%); Thickened: 3 (0.5%); Bioprosthetic: 3 (0.5%),False
AorticValveSummary,object,categorical/text,138,21.4,507,78.6,42,Echo free text,"Descriptive only — free text, not modeled in Stage 1",NaN: 507 (78.6%); Normal aortic valve structure and function.: 24 (3.7%); Moderate aortic stenosis.: 17 (2.6%); Mild aortic stenosis.: 14 (2.2%); Severe aortic stenosis.: 11 (1.7%); S/P Percutaneous aortic valve implantation.: 5 (0.8%),False
LeftVentricleSummary,object,categorical/text,195,30.2,450,69.8,52,Echo free text,"Descriptive only — free text, not modeled in Stage 1",NaN: 450 (69.8%); Normal left ventricle structure and function.: 53 (8.2%); Hypertrophy of interventricular septum.: 20 (3.1%); Regional LV dysfunction.: 12 (1.9%); Hypertrophy of LV.: 8 (1.2%); Regional LV dysfunction: 8 (1.2%),False
MitralValveSummary,object,categorical/text,202,31.3,443,68.7,57,Echo free text,"Descriptive only — free text, not modeled in Stage 1",NaN: 443 (68.7%); mitral annular calcification.: 60 (9.3%); Mild mitral annular calcification.: 31 (4.8%); Mitral annular calcification.: 11 (1.7%); Mild mitral annular calcification.   : 9 (1.4%); Severe mitral annular calcification.: 8 (1.2%),False
