column,dtype,vtype,n_available,pct_available,n_missing,pct_missing,n_unique_nonmissing,clinical_axis,proposed_status,sample_or_distribution,requires_review
AFIB_binary,int64,binary,645,100.0,0,0.0,2,Clinical core/covariate,Candidate covariate — full base model,0: 342 (53.0%); 1: 303 (47.0%),False
AgeAtFirstHFDate,float64,continuous,645,100.0,0,0.0,435,Clinical core/covariate,Core clinical,"min=26, median=71, max=95.44",False
CABG_binary,int64,binary,645,100.0,0,0.0,2,Clinical core/covariate,Candidate covariate — full base model,0: 512 (79.4%); 1: 133 (20.6%),False
COPD_binary,int64,binary,645,100.0,0,0.0,2,Clinical core/covariate,Candidate covariate — full base model,0: 540 (83.7%); 1: 105 (16.3%),False
Diabetes mellitus_binary,int64,binary,645,100.0,0,0.0,2,Clinical core/covariate,Candidate covariate — full base model,1: 410 (63.6%); 0: 235 (36.4%),False
HD/PD,object,categorical/text,645,100.0,0,0.0,2,Clinical core/covariate,Candidate covariate — full base model,HD: 513 (79.5%); PD: 132 (20.5%),False
HTN_binary,int64,binary,645,100.0,0,0.0,2,Clinical core/covariate,Candidate covariate — full base model,1: 533 (82.6%); 0: 112 (17.4%),False
IHD_binary,int64,binary,645,100.0,0,0.0,2,Clinical core/covariate,Candidate covariate — full base model,1: 396 (61.4%); 0: 249 (38.6%),False
MI_binary,int64,binary,645,100.0,0,0.0,2,Clinical core/covariate,Candidate covariate — full base model,0: 452 (70.1%); 1: 193 (29.9%),False
albumin-numeric result,float64,continuous,644,99.8,1,0.2,39,Clinical core/covariate,Candidate covariate — full base model,"min=1.5, median=3.1, max=4.8",False
creatinine-numeric result,float64,continuous,644,99.8,1,0.2,428,Clinical core/covariate,Core clinical renal function covariate in main base model; do not include with GFR in same base model,"min=0.96, median=5.07, max=13.83",False
crp-numeric result,float64,continuous,620,96.1,25,3.9,595,Clinical core/covariate,Candidate covariate — full base model,"min=0.27, median=38.06, max=688.3",False
hb-numeric result,float64,continuous,579,89.8,66,10.2,105,Clinical core/covariate,Candidate covariate — full base model,"min=4.5, median=9.69, max=16",False
m/f,object,categorical/text,644,99.8,1,0.2,2,Clinical core/covariate,Core clinical,m: 447 (69.3%); f: 197 (30.5%); NaN: 1 (0.2%),False
LV_EF,float64,continuous,641,99.4,4,0.6,35,A0 EF benchmark,Benchmark — fixed in all models,"min=7, median=50, max=75",False
LeftVentricleEstimatedMassIndex,float64,continuous,578,89.6,67,10.4,146,A2 LV structure/mass/dilation,Candidate — LVMI,"min=23, median=113.5, max=294",False
MitralInflowPeakEWave,float64,continuous,582,90.2,63,9.8,302,A3 Diastolic/filling pressure,Candidate,"min=38, median=104, max=230",False
TissueDopplerEERatioLateral,float64,continuous,523,81.1,122,18.9,452,A3 Diastolic/filling pressure,Candidate,"min=4.44, median=14.25, max=45.08",False
TissueDopplerEERatioSeptal,float64,continuous,523,81.1,122,18.9,474,A3 Diastolic/filling pressure,Candidate,"min=4.31, median=19.72, max=66.96",False
TissueDopplerEVelosityLateral,float64,continuous,531,82.3,114,17.7,255,A3 Diastolic/filling pressure,Candidate,"min=2, median=7, max=18",False
TissueDopplerEVelositySeptal,float64,continuous,531,82.3,114,17.7,245,A3 Diastolic/filling pressure,Candidate,"min=2, median=5, max=16",False
LACavitySize,object,categorical/text,631,97.8,14,2.2,5,A4 LA remodeling,Candidate — categorical,Mildly dilated: 324 (50.2%); Moderately dilated: 170 (26.4%); Normal: 68 (10.5%); Severely dilated: 40 (6.2%); No Value: 29 (4.5%); NaN: 14 (2.2%),False
ECHO_SPAP,object,categorical/text,526,81.6,119,18.4,4,A5 Right-heart/pulmonary/congestion,Candidate — categorical SPAP,Severely increased: 150 (23.3%); Moderately increased: 142 (22.0%); Mildly increased: 135 (20.9%); NaN: 119 (18.4%); Normal: 99 (15.3%),False
EstimatedSysPAPressure,float64,continuous,537,83.3,108,16.7,77,A5 Right-heart/pulmonary/congestion,Candidate — numeric SPAP,"min=19, median=49, max=105",False
TricuspidRegurgitation,object,categorical/text,626,97.1,19,2.9,7,A5 Right-heart/pulmonary/congestion,Candidate — categorical,Mild (I): 197 (30.5%); Trivial: 164 (25.4%); Mild-to-moderate (I-II): 93 (14.4%); Moderate (II): 64 (9.9%); Severe (IV): 51 (7.9%); Moderately-severe (III): 31 (4.8%),False
MitralRegurgitation,object,categorical/text,626,97.1,19,2.9,7,A6 Other valves,Candidate — categorical,Mild (I): 229 (35.5%); Trivial: 137 (21.2%); Mild-to-moderate (I-II): 106 (16.4%); Moderate (II): 67 (10.4%); Severe (IV): 34 (5.3%); No Value: 29 (4.5%),False
days_echo_to_dialysis,int64,continuous,645,100.0,0,0.0,296,Other/unmapped,Selected canonical timing covariate — Echo_Date minus Dialysis_Start_Date; negative values indicate echo before dialysis,"min=-366, median=-70, max=67",False
